Ethnicity,race,Confirmed_Cases,Deaths
Hispanic/Latino,African-American/Black,815,14
Hispanic/Latino,American Indian/Alaska Native,60,1
Hispanic/Latino,Asian,86,0
Hispanic/Latino,Native Hawaiian/Pacific Islander,90,0
Hispanic/Latino,Other,13680,152
Hispanic/Latino,Unknown,5351,4
Hispanic/Latino,White,18060,230
Non-Hispanic/Latino,African-American/Black,64466,2672
Non-Hispanic/Latino,American Indian/Alaska Native,125,6
Non-Hispanic/Latino,Asian,3438,118
Non-Hispanic/Latino,Native Hawaiian/Pacific Islander,193,6
Non-Hispanic/Latino,Other,3355,15
Non-Hispanic/Latino,Unknown,2568,21
Non-Hispanic/Latino,White,72517,3094
Unknown,African-American/Black,12029,16
Unknown,American Indian/Alaska Native,52,0
Unknown,Asian,1127,1
Unknown,Native Hawaiian/Pacific Islander,130,2
Unknown,Other,4996,6
Unknown,Unknown,81182,49
Unknown,White,14736,12
