"age group","county name","cases","deaths","hospitalization"
"01-04 years","Georgia","10710","1","195"
"05-09 years","Georgia","17651","2","160"
"10-17 years","Georgia","61363","7","614"
"18-29 years","Georgia","184953","102","3433"
"30-39 years","Georgia","133425","225","4479"
"40-49 years","Georgia","129832","527","6495"
"50-59 years","Georgia","123427","1427","9703"
"60-69 years","Georgia","83849","3046","11692"
"70-79 years","Georgia","49033","4479","11248"
"80 & Older years","Georgia","28560","5878","8809"
"<1 years","Georgia","2995","0","158"
"Unknown years","Georgia","5473","12","108"
"01-04 years","Appling","27","0","0"
"05-09 years","Appling","53","0","0"
"10-17 years","Appling","162","0","1"
"18-29 years","Appling","334","1","5"
"30-39 years","Appling","250","1","5"
"40-49 years","Appling","247","4","17"
"50-59 years","Appling","282","6","25"
"60-69 years","Appling","244","14","49"
"70-79 years","Appling","162","16","33"
"80 & Older years","Appling","78","18","29"
"<1 years","Appling","6","0","0"
"Unknown years","Appling","1","0","0"
"01-04 years","Atkinson","6","0","1"
"05-09 years","Atkinson","18","0","1"
"10-17 years","Atkinson","48","0","0"
"18-29 years","Atkinson","164","0","8"
"30-39 years","Atkinson","121","0","10"
"40-49 years","Atkinson","130","1","23"
"50-59 years","Atkinson","133","1","23"
"60-69 years","Atkinson","81","4","24"
"70-79 years","Atkinson","45","7","15"
"80 & Older years","Atkinson","14","5","10"
"<1 years","Atkinson","3","0","0"
"01-04 years","Bacon","17","0","0"
"05-09 years","Bacon","22","0","0"
"10-17 years","Bacon","72","0","1"
"18-29 years","Bacon","234","0","1"
"30-39 years","Bacon","131","0","4"
"40-49 years","Bacon","157","1","12"
"50-59 years","Bacon","144","2","16"
"60-69 years","Bacon","120","8","19"
"70-79 years","Bacon","76","7","15"
"80 & Older years","Bacon","38","9","7"
"<1 years","Bacon","6","0","0"
"Unknown years","Bacon","1","0","0"
"01-04 years","Baker","5","0","0"
"05-09 years","Baker","4","0","0"
"10-17 years","Baker","9","0","0"
"18-29 years","Baker","24","0","0"
"30-39 years","Baker","22","0","2"
"40-49 years","Baker","13","0","1"
"50-59 years","Baker","21","0","1"
"60-69 years","Baker","31","3","15"
"70-79 years","Baker","18","2","10"
"80 & Older years","Baker","9","3","3"
"<1 years","Baker","2","0","0"
"01-04 years","Baldwin","30","0","0"
"05-09 years","Baldwin","52","0","0"
"10-17 years","Baldwin","186","1","5"
"18-29 years","Baldwin","1256","0","15"
"30-39 years","Baldwin","456","1","15"
"40-49 years","Baldwin","474","2","30"
"50-59 years","Baldwin","484","12","56"
"60-69 years","Baldwin","382","22","71"
"70-79 years","Baldwin","255","25","55"
"80 & Older years","Baldwin","155","43","60"
"<1 years","Baldwin","13","0","0"
"01-04 years","Banks","10","0","0"
"05-09 years","Banks","25","0","1"
"10-17 years","Banks","103","0","2"
"18-29 years","Banks","291","0","7"
"30-39 years","Banks","201","0","5"
"40-49 years","Banks","225","0","16"
"50-59 years","Banks","247","1","23"
"60-69 years","Banks","203","5","41"
"70-79 years","Banks","151","15","55"
"80 & Older years","Banks","81","13","29"
"<1 years","Banks","5","0","1"
"Unknown years","Banks","34","0","1"
"01-04 years","Barrow","86","0","0"
"05-09 years","Barrow","157","0","0"
"10-17 years","Barrow","614","0","7"
"18-29 years","Barrow","1651","2","34"
"30-39 years","Barrow","1406","1","42"
"40-49 years","Barrow","1444","4","61"
"50-59 years","Barrow","1213","7","96"
"60-69 years","Barrow","813","25","135"
"70-79 years","Barrow","483","33","101"
"80 & Older years","Barrow","237","46","86"
"<1 years","Barrow","29","0","2"
"Unknown years","Barrow","26","1","1"
"01-04 years","Bartow","97","0","3"
"05-09 years","Bartow","207","0","2"
"10-17 years","Bartow","891","0","12"
"18-29 years","Bartow","1983","0","22"
"30-39 years","Bartow","1591","4","45"
"40-49 years","Bartow","1672","1","75"
"50-59 years","Bartow","1719","14","135"
"60-69 years","Bartow","1032","33","148"
"70-79 years","Bartow","700","63","172"
"80 & Older years","Bartow","339","71","118"
"<1 years","Bartow","35","0","1"
"Unknown years","Bartow","158","1","8"
"01-04 years","Ben Hill","29","0","1"
"05-09 years","Ben Hill","20","0","0"
"10-17 years","Ben Hill","98","0","0"
"18-29 years","Ben Hill","258","0","4"
"30-39 years","Ben Hill","213","3","9"
"40-49 years","Ben Hill","197","1","10"
"50-59 years","Ben Hill","238","5","29"
"60-69 years","Ben Hill","200","12","28"
"70-79 years","Ben Hill","144","19","51"
"80 & Older years","Ben Hill","68","16","17"
"<1 years","Ben Hill","5","0","0"
"Unknown years","Ben Hill","2","0","0"
"01-04 years","Berrien","15","0","0"
"05-09 years","Berrien","22","0","0"
"10-17 years","Berrien","90","0","1"
"18-29 years","Berrien","194","0","0"
"30-39 years","Berrien","156","0","3"
"40-49 years","Berrien","136","0","5"
"50-59 years","Berrien","162","2","16"
"60-69 years","Berrien","122","8","17"
"70-79 years","Berrien","79","9","14"
"80 & Older years","Berrien","47","10","13"
"<1 years","Berrien","2","0","0"
"Unknown years","Berrien","1","0","0"
"01-04 years","Bibb","134","0","5"
"05-09 years","Bibb","183","0","0"
"10-17 years","Bibb","637","0","8"
"18-29 years","Bibb","2875","1","78"
"30-39 years","Bibb","2024","6","104"
"40-49 years","Bibb","2058","15","191"
"50-59 years","Bibb","1913","24","262"
"60-69 years","Bibb","1534","80","399"
"70-79 years","Bibb","940","110","346"
"80 & Older years","Bibb","589","133","283"
"<1 years","Bibb","44","0","4"
"Unknown years","Bibb","15","0","0"
"01-04 years","Bleckley","5","0","0"
"05-09 years","Bleckley","16","0","0"
"10-17 years","Bleckley","70","0","0"
"18-29 years","Bleckley","187","0","3"
"30-39 years","Bleckley","92","0","2"
"40-49 years","Bleckley","104","1","2"
"50-59 years","Bleckley","103","2","4"
"60-69 years","Bleckley","83","7","10"
"70-79 years","Bleckley","63","5","12"
"80 & Older years","Bleckley","61","18","12"
"<1 years","Bleckley","3","0","0"
"01-04 years","Brantley","12","0","0"
"05-09 years","Brantley","12","0","0"
"10-17 years","Brantley","81","0","1"
"18-29 years","Brantley","153","0","1"
"30-39 years","Brantley","112","0","4"
"40-49 years","Brantley","122","1","5"
"50-59 years","Brantley","143","2","13"
"60-69 years","Brantley","111","4","13"
"70-79 years","Brantley","86","13","20"
"80 & Older years","Brantley","47","8","10"
"<1 years","Brantley","1","0","0"
"01-04 years","Brooks","15","0","1"
"05-09 years","Brooks","25","0","0"
"10-17 years","Brooks","86","0","0"
"18-29 years","Brooks","168","0","1"
"30-39 years","Brooks","123","0","2"
"40-49 years","Brooks","115","1","11"
"50-59 years","Brooks","143","2","20"
"60-69 years","Brooks","98","6","16"
"70-79 years","Brooks","84","10","20"
"80 & Older years","Brooks","56","18","15"
"<1 years","Brooks","4","0","0"
"01-04 years","Bryan","46","0","0"
"05-09 years","Bryan","73","0","0"
"10-17 years","Bryan","248","0","3"
"18-29 years","Bryan","509","0","12"
"30-39 years","Bryan","407","1","9"
"40-49 years","Bryan","444","0","14"
"50-59 years","Bryan","336","5","29"
"60-69 years","Bryan","238","10","28"
"70-79 years","Bryan","154","8","50"
"80 & Older years","Bryan","66","8","25"
"<1 years","Bryan","12","0","0"
"Unknown years","Bryan","2","0","0"
"01-04 years","Bulloch","57","0","0"
"05-09 years","Bulloch","102","0","0"
"10-17 years","Bulloch","362","0","2"
"18-29 years","Bulloch","2198","0","9"
"30-39 years","Bulloch","622","4","21"
"40-49 years","Bulloch","540","2","25"
"50-59 years","Bulloch","518","6","31"
"60-69 years","Bulloch","376","13","43"
"70-79 years","Bulloch","193","14","38"
"80 & Older years","Bulloch","106","13","35"
"<1 years","Bulloch","23","0","2"
"Unknown years","Bulloch","6","0","0"
"01-04 years","Burke","21","0","0"
"05-09 years","Burke","43","0","0"
"10-17 years","Burke","127","0","1"
"18-29 years","Burke","333","1","7"
"30-39 years","Burke","251","1","8"
"40-49 years","Burke","284","2","14"
"50-59 years","Burke","260","2","32"
"60-69 years","Burke","202","5","36"
"70-79 years","Burke","119","11","32"
"80 & Older years","Burke","39","10","14"
"<1 years","Burke","7","0","0"
"Unknown years","Burke","3","0","0"
"01-04 years","Butts","24","0","3"
"05-09 years","Butts","27","0","0"
"10-17 years","Butts","109","0","1"
"18-29 years","Butts","359","0","6"
"30-39 years","Butts","318","0","8"
"40-49 years","Butts","312","3","13"
"50-59 years","Butts","334","5","21"
"60-69 years","Butts","252","15","31"
"70-79 years","Butts","175","20","23"
"80 & Older years","Butts","107","26","7"
"<1 years","Butts","5","0","1"
"Unknown years","Butts","5","0","0"
"01-04 years","Calhoun","6","0","0"
"05-09 years","Calhoun","1","0","0"
"10-17 years","Calhoun","38","0","0"
"18-29 years","Calhoun","67","0","6"
"30-39 years","Calhoun","59","2","6"
"40-49 years","Calhoun","81","2","9"
"50-59 years","Calhoun","78","2","17"
"60-69 years","Calhoun","73","2","19"
"70-79 years","Calhoun","22","5","8"
"80 & Older years","Calhoun","15","2","8"
"<1 years","Calhoun","3","0","0"
"Unknown years","Calhoun","1","0","0"
"01-04 years","Camden","44","0","0"
"05-09 years","Camden","44","0","1"
"10-17 years","Camden","228","0","1"
"18-29 years","Camden","753","0","4"
"30-39 years","Camden","507","1","16"
"40-49 years","Camden","407","1","11"
"50-59 years","Camden","469","1","17"
"60-69 years","Camden","345","8","25"
"70-79 years","Camden","199","4","22"
"80 & Older years","Camden","89","13","22"
"<1 years","Camden","9","0","1"
"Unknown years","Camden","1","0","0"
"01-04 years","Candler","9","0","0"
"05-09 years","Candler","12","0","0"
"10-17 years","Candler","54","0","0"
"18-29 years","Candler","127","0","0"
"30-39 years","Candler","95","0","3"
"40-49 years","Candler","116","3","3"
"50-59 years","Candler","122","5","10"
"60-69 years","Candler","97","8","14"
"70-79 years","Candler","64","13","19"
"80 & Older years","Candler","28","6","11"
"<1 years","Candler","4","0","0"
"Unknown years","Candler","1","0","0"
"01-04 years","Carroll","87","0","1"
"05-09 years","Carroll","130","0","1"
"10-17 years","Carroll","596","0","6"
"18-29 years","Carroll","1666","0","12"
"30-39 years","Carroll","1035","4","18"
"40-49 years","Carroll","1017","4","28"
"50-59 years","Carroll","1037","11","54"
"60-69 years","Carroll","742","25","71"
"70-79 years","Carroll","445","33","64"
"80 & Older years","Carroll","268","50","44"
"<1 years","Carroll","25","0","0"
"Unknown years","Carroll","13","0","0"
"01-04 years","Catoosa","84","0","0"
"05-09 years","Catoosa","126","0","1"
"10-17 years","Catoosa","446","0","2"
"18-29 years","Catoosa","949","0","8"
"30-39 years","Catoosa","711","1","10"
"40-49 years","Catoosa","821","2","14"
"50-59 years","Catoosa","770","5","30"
"60-69 years","Catoosa","552","8","57"
"70-79 years","Catoosa","345","16","53"
"80 & Older years","Catoosa","238","30","48"
"<1 years","Catoosa","33","0","1"
"Unknown years","Catoosa","146","0","10"
"01-04 years","Charlton","12","0","0"
"05-09 years","Charlton","27","0","0"
"10-17 years","Charlton","62","0","0"
"18-29 years","Charlton","182","0","1"
"30-39 years","Charlton","200","0","4"
"40-49 years","Charlton","173","2","8"
"50-59 years","Charlton","145","1","5"
"60-69 years","Charlton","140","5","17"
"70-79 years","Charlton","52","5","11"
"80 & Older years","Charlton","30","6","13"
"<1 years","Charlton","2","0","0"
"Unknown years","Charlton","1","0","0"
"01-04 years","Chatham","379","0","3"
"05-09 years","Chatham","449","1","1"
"10-17 years","Chatham","1273","0","13"
"18-29 years","Chatham","4725","2","55"
"30-39 years","Chatham","3262","5","109"
"40-49 years","Chatham","2657","12","147"
"50-59 years","Chatham","2396","33","230"
"60-69 years","Chatham","1955","71","336"
"70-79 years","Chatham","1048","109","332"
"80 & Older years","Chatham","641","131","281"
"<1 years","Chatham","101","0","4"
