"ethnicity","race","cases","deaths"
"Hispanic/Latino","African-American/Black","9207","46"
"Hispanic/Latino","American Indian/Alaska Native","594","3"
"Hispanic/Latino","Asian","1061","3"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","658","4"
"Hispanic/Latino","Other","60847","497"
"Hispanic/Latino","Unknown","37493","8"
"Hispanic/Latino","White","88478","932"
"Non-Hispanic/Latino","African-American/Black","517594","10170"
"Non-Hispanic/Latino","American Indian/Alaska Native","1084","28"
"Non-Hispanic/Latino","Asian","44536","520"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","1409","15"
"Non-Hispanic/Latino","Other","34684","163"
"Non-Hispanic/Latino","Unknown","18489","6"
"Non-Hispanic/Latino","White","717869","18378"
"Unknown","African-American/Black","40582","11"
"Unknown","American Indian/Alaska Native","565","0"
"Unknown","Asian","7349","2"
"Unknown","Native Hawaiian/Pacific Islander","418","0"
"Unknown","Other","33739","10"
"Unknown","Unknown","256398","98"
"Unknown","White","51774","22"
