"age group","county name","cases","deaths","hospitalization"
"01-04 years","Georgia","7934","1","147"
"05-09 years","Georgia","12841","2","112"
"10-17 years","Georgia","45721","5","438"
"18-29 years","Georgia","151117","78","2917"
"30-39 years","Georgia","106566","175","3820"
"40-49 years","Georgia","103212","393","5531"
"50-59 years","Georgia","97554","971","7993"
"60-69 years","Georgia","66040","2085","9358"
"70-79 years","Georgia","39030","2989","8591"
"80 & Older years","Georgia","23111","4020","6780"
"<1 years","Georgia","2285","0","115"
"Unknown years","Georgia","5309","2","91"
"01-04 years","Appling","21","0","0"
"05-09 years","Appling","43","0","0"
"10-17 years","Appling","130","0","1"
"18-29 years","Appling","294","1","4"
"30-39 years","Appling","213","1","5"
"40-49 years","Appling","221","2","16"
"50-59 years","Appling","242","5","20"
"60-69 years","Appling","200","10","37"
"70-79 years","Appling","139","12","28"
"80 & Older years","Appling","66","12","22"
"<1 years","Appling","3","0","0"
"Unknown years","Appling","4","0","0"
"01-04 years","Atkinson","5","0","1"
"05-09 years","Atkinson","17","0","1"
"10-17 years","Atkinson","43","0","0"
"18-29 years","Atkinson","154","0","8"
"30-39 years","Atkinson","113","0","8"
"40-49 years","Atkinson","117","0","18"
"50-59 years","Atkinson","120","1","18"
"60-69 years","Atkinson","75","4","20"
"70-79 years","Atkinson","43","3","12"
"80 & Older years","Atkinson","14","3","9"
"<1 years","Atkinson","3","0","0"
"01-04 years","Bacon","17","0","0"
"05-09 years","Bacon","21","0","0"
"10-17 years","Bacon","61","0","1"
"18-29 years","Bacon","208","0","1"
"30-39 years","Bacon","117","0","4"
"40-49 years","Bacon","144","1","8"
"50-59 years","Bacon","136","2","16"
"60-69 years","Bacon","100","7","17"
"70-79 years","Bacon","69","4","11"
"80 & Older years","Bacon","36","7","7"
"<1 years","Bacon","6","0","0"
"Unknown years","Bacon","1","0","0"
"01-04 years","Baker","5","0","0"
"05-09 years","Baker","4","0","0"
"10-17 years","Baker","9","0","0"
"18-29 years","Baker","21","0","0"
"30-39 years","Baker","20","0","2"
"40-49 years","Baker","12","0","1"
"50-59 years","Baker","17","0","1"
"60-69 years","Baker","24","2","10"
"70-79 years","Baker","17","2","10"
"80 & Older years","Baker","8","2","3"
"<1 years","Baker","1","0","0"
"01-04 years","Baldwin","25","0","0"
"05-09 years","Baldwin","46","0","0"
"10-17 years","Baldwin","141","0","4"
"18-29 years","Baldwin","1125","0","13"
"30-39 years","Baldwin","380","1","12"
"40-49 years","Baldwin","400","2","28"
"50-59 years","Baldwin","411","9","43"
"60-69 years","Baldwin","323","16","56"
"70-79 years","Baldwin","207","19","41"
"80 & Older years","Baldwin","119","27","40"
"<1 years","Baldwin","8","0","0"
"Unknown years","Baldwin","1","0","0"
"01-04 years","Banks","6","0","0"
"05-09 years","Banks","19","0","1"
"10-17 years","Banks","88","0","2"
"18-29 years","Banks","232","0","5"
"30-39 years","Banks","165","0","3"
"40-49 years","Banks","180","0","14"
"50-59 years","Banks","202","0","18"
