"Ethnicity","race","cases","Deaths"
"Hispanic/Latino","African-American/Black","1985","12"
"Hispanic/Latino","American Indian/Alaska Native","97","0"
"Hispanic/Latino","Asian","198","0"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","150","0"
"Hispanic/Latino","Other","24444","223"
"Hispanic/Latino","Unknown","11282","5"
"Hispanic/Latino","White","32911","393"
"Non-Hispanic/Latino","African-American/Black","148183","3877"
"Non-Hispanic/Latino","American Indian/Alaska Native","284","10"
"Non-Hispanic/Latino","Asian","10526","190"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","462","6"
"Non-Hispanic/Latino","Other","7264","27"
"Non-Hispanic/Latino","Unknown","6540","32"
"Non-Hispanic/Latino","White","216716","5845"
"Unknown","African-American/Black","21797","26"
"Unknown","American Indian/Alaska Native","117","0"
"Unknown","Asian","2684","0"
"Unknown","Native Hawaiian/Pacific Islander","145","0"
"Unknown","Other","17574","16"
"Unknown","Unknown","123867","32"
"Unknown","White","33494","27"
