county_resident,Positive,DEATHS,HOSPITALIZATION,case_rate
Appling,885,23,82,4768.06
Atkinson,405,3,49,4861.94
Bacon,516,8,38,4524.73
Baker,71,3,16,2278.56
Baldwin,1652,50,128,3718.38
Banks,370,6,50,1851.67
Barrow,1725,37,212,1996.92
Bartow,2426,70,242,2190.1
Ben Hill,620,13,64,3724.84
Berrien,379,6,19,1966.18
Bibb,5375,119,742,3532.7
Bleckley,349,16,23,2718.49
Brantley,304,8,23,1583.17
Brooks,476,21,49,3026.64
Bryan,855,9,69,2184.63
Bulloch,1919,21,113,2414.84
Burke,650,8,72,2909.32
Butts,564,40,47,2240.41
Calhoun,227,7,45,3593.48
Camden,1013,7,36,1878.57
Candler,348,14,18,3211.22
Carroll,2310,61,146,1923.09
Catoosa,860,17,62,1250.53
Charlton,558,6,18,4211
Chatham,7012,121,653,2399.92
Chattahoochee,1113,2,11,10354.45
Chattooga,553,5,33,2232.9
Cherokee,4817,78,417,1806.71
Clarke,2842,26,168,2189.88
Clay,111,2,7,3887.92
Clayton,6458,137,605,2118.5
Clinch,285,4,24,4281.85
Cobb,16896,391,1583,2137.14
Coffee,1775,37,253,4123.88
Colquitt,1751,26,137,3857.42
Columbia,3109,44,154,1959.89
Cook,508,11,51,2913.35
Coweta,2244,26,108,1476.31
Crawford,151,3,23,1234.87
Crisp,466,15,63,2090.72
Dade,192,3,14,1187.97
Dawson,669,7,70,2475.85
DeKalb,16498,298,1840,2080.05
Decatur,986,21,76,3745.92
Dodge,323,6,26,1584.5
Dooly,283,14,47,2111.94
Dougherty,2977,179,602,3311.27
Douglas,3154,64,365,2076.28
Early,409,32,32,4031.15
Echols,234,2,9,5895.69
Effingham,1054,16,74,1646.21
Elbert,464,1,28,2449.2
Emanuel,765,22,60,3375.4
Evans,360,5,28,3368.58
Fannin,439,8,38,1667.93
Fayette,1568,38,80,1333.97
Floyd,2269,31,181,2270.91
Forsyth,3079,33,265,1219.37
Franklin,537,11,42,2301.86
Fulton,24801,515,2137,2256.32
Gilmer,745,7,71,2371.33
Glascock,34,2,4,1123.97
Glynn,3032,70,224,3523.66
Gordon,1522,29,100,2621.92
Grady,662,12,83,2697.64
Greene,433,16,47,2313.4
Gwinnett,24182,333,2433,2490.05
Habersham,1327,63,183,2897.38
Hall,7605,125,835,3685.5
Hancock,356,39,58,4345.17
Haralson,330,7,22,1074.15
Harris,723,21,78,2082.85
Hart,408,10,56,1562.8
Heard,169,5,11,1366.21
Henry,4399,78,174,1833.94
Houston,2616,67,332,1665.83
Irwin,220,4,27,2332.24
Jackson,1480,25,129,1981.26
Jasper,195,3,16,1373.34
Jeff Davis,639,11,35,4218.38
Jefferson,654,16,63,4270.88
Jenkins,309,25,54,3603.08
Johnson,312,13,47,3229.48
Jones,449,5,39,1570.42
Lamar,323,16,34,1669.51
Lanier,247,5,15,2386.24
Laurens,1323,45,111,2797.28
Lee,660,24,95,2202.13
Liberty,929,17,100,1500.71
Lincoln,192,7,24,2363.08
Long,184,3,12,923.93
Lowndes,3468,65,176,2942.02
Lumpkin,701,12,76,2073.84
Macon,205,10,44,1578.38
Madison,532,8,50,1762.93
Marion,169,6,16,2037.86
McDuffie,512,12,61,2370.7
McIntosh,245,5,20,1681.88
Meriwether,481,9,63,2288.3
Miller,212,0,9,3678
Mitchell,710,44,134,3219.08
Monroe,591,41,75,2131.5
Montgomery,213,3,17,2309.19
Morgan,414,2,26,2163.24
Murray,708,3,43,1758.53
Muscogee,5440,134,578,2838.86
Newton,2295,60,232,2042.65
Non-GA Resident/Unknown State,16160,126,561,0
Oconee,551,20,53,1320.17
Oglethorpe,280,9,42,1837.27
Paulding,2262,34,135,1310.99
Peach,564,16,88,2060.27
Pickens,517,6,50,1541.9
Pierce,518,12,60,2650.29
Pike,276,8,24,1463.41
Polk,1212,15,79,2787.36
Pulaski,210,7,25,1927.84
Putnam,610,20,63,2787.3
Quitman,33,1,7,1438.54
Rabun,278,5,37,1636.64
Randolph,310,27,50,4589.87
Richmond,5965,125,488,2949.47
Rockdale,1638,32,187,1724.94
Schley,94,2,13,1781.99
Screven,281,9,34,2021.58
Seminole,282,8,23,3464.37
Spalding,1163,50,152,1682.82
Stephens,820,26,89,3114.55
Stewart,354,11,86,5775.82
Sumter,852,59,186,2898.06
Talbot,154,5,22,2500.81
Taliaferro,19,0,1,1164.22
Tattnall,671,7,50,2640.59
Taylor,156,7,25,1960.29
Telfair,347,13,31,2218.1
Terrell,318,31,72,3755.76
Thomas,1396,49,155,3141.95
Tift,1499,49,188,3671.32
Toombs,1056,17,80,3913.58
Towns,204,6,24,1695.2
Treutlen,204,4,23,2987.26
Troup,2588,84,285,3675.41
Turner,277,19,44,3429.92
Twiggs,165,7,36,2040.56
Union,474,10,60,1870.93
Unknown,2598,4,65,0
Upson,659,55,67,2507.9
Walker,1025,21,51,1472.49
Walton,1458,47,149,1521.7
Ware,1333,44,153,3717.96
Warren,117,5,22,2245.68
Washington,609,4,41,2999.7
Wayne,954,25,81,3182.76
Webster,38,2,9,1490.2
Wheeler,147,5,15,1858.64
White,511,13,78,1609.04
Whitfield,3971,51,212,3793.76
Wilcox,222,20,45,2525.6
Wilkes,222,3,25,2216.9
Wilkinson,290,17,50,3251.49
Worth,497,28,82,2467.48
