Ethnicity,race,Confirmed_Cases,Deaths
Hispanic/Latino,African-American/Black,694,12
Hispanic/Latino,American Indian/Alaska Native,54,1
Hispanic/Latino,Asian,71,0
Hispanic/Latino,Native Hawaiian/Pacific Islander,79,0
Hispanic/Latino,Other,12179,134
Hispanic/Latino,Unknown,5053,5
Hispanic/Latino,White,16125,185
Non-Hispanic/Latino,African-American/Black,57953,2349
Non-Hispanic/Latino,American Indian/Alaska Native,109,6
Non-Hispanic/Latino,Asian,2768,101
Non-Hispanic/Latino,Native Hawaiian/Pacific Islander,157,6
Non-Hispanic/Latino,Other,2772,16
Non-Hispanic/Latino,Unknown,2221,26
Non-Hispanic/Latino,White,59502,2661
Unknown,African-American/Black,11097,24
Unknown,American Indian/Alaska Native,52,0
Unknown,Asian,977,0
Unknown,Native Hawaiian/Pacific Islander,122,1
Unknown,Other,4631,5
Unknown,Unknown,79873,54
Unknown,White,12484,18
