Ethnicity,race,Confirmed_Cases,Deaths
Hispanic/Latino,African-American/Black,684,12
Hispanic/Latino,American Indian/Alaska Native,54,1
Hispanic/Latino,Asian,70,0
Hispanic/Latino,Native Hawaiian/Pacific Islander,78,0
Hispanic/Latino,Other,11947,130
Hispanic/Latino,Unknown,4989,3
Hispanic/Latino,White,15914,183
Non-Hispanic/Latino,African-American/Black,57148,2300
Non-Hispanic/Latino,American Indian/Alaska Native,105,5
Non-Hispanic/Latino,Asian,2706,100
Non-Hispanic/Latino,Native Hawaiian/Pacific Islander,152,6
Non-Hispanic/Latino,Other,2706,15
Non-Hispanic/Latino,Unknown,2136,27
Non-Hispanic/Latino,White,57904,2596
Unknown,African-American/Black,11010,23
Unknown,American Indian/Alaska Native,50,0
Unknown,Asian,953,0
Unknown,Native Hawaiian/Pacific Islander,117,1
Unknown,Other,4625,5
Unknown,Unknown,79770,47
Unknown,White,12254,17
