"","ADM0_EN","ADM1_EN","DATE","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount"
"97","China","Gansu province","2020-01-04",0,0,0,0,0
"98","China","Gansu province","2020-01-05",0,0,0,0,0
"99","China","Gansu province","2020-01-06",0,0,0,0,0
"100","China","Gansu province","2020-01-07",0,0,0,0,0
"101","China","Gansu province","2020-01-08",0,0,0,0,0
"102","China","Gansu province","2020-01-09",0,0,0,0,0
"103","China","Gansu province","2020-01-10",0,0,0,0,0
"104","China","Gansu province","2020-01-11",0,0,0,0,0
"105","China","Gansu province","2020-01-12",0,0,0,0,0
"106","China","Gansu province","2020-01-13",0,0,0,0,0
"107","China","Gansu province","2020-01-14",0,0,0,0,0
"108","China","Gansu province","2020-01-15",0,0,0,0,0
"109","China","Gansu province","2020-01-16",0,0,0,0,0
"110","China","Gansu province","2020-01-17",0,0,0,0,0
"111","China","Gansu province","2020-01-18",0,0,0,0,0
"112","China","Gansu province","2020-01-19",0,0,0,0,0
"113","China","Gansu province","2020-01-20",0,0,0,0,0
"114","China","Gansu province","2020-01-21",0,0,0,0,0
"115","China","Gansu province","2020-01-22",0,0,0,0,0
"116","China","Guangdong Province","2019-12-31",0,0,0,0,0
"117","China","Guangdong Province","2020-01-01",0,0,0,0,0
"118","China","Guangdong Province","2020-01-02",0,0,0,0,0
"119","China","Guangdong Province","2020-01-03",0,0,0,0,0
"120","China","Guangdong Province","2020-01-04",0,0,0,0,0
"121","China","Guangdong Province","2020-01-05",0,0,0,0,0
"122","China","Guangdong Province","2020-01-06",0,0,0,0,0
"123","China","Guangdong Province","2020-01-07",0,0,0,0,0
"124","China","Guangdong Province","2020-01-08",0,0,0,0,0
"125","China","Guangdong Province","2020-01-09",0,0,0,0,0
"126","China","Guangdong Province","2020-01-10",0,0,0,0,0
"127","China","Guangdong Province","2020-01-11",0,0,0,0,0
"128","China","Guangdong Province","2020-01-12",0,0,0,0,0
"129","China","Guangdong Province","2020-01-13",0,0,0,0,0
"130","China","Guangdong Province","2020-01-14",0,0,0,0,0
"131","China","Guangdong Province","2020-01-15",0,0,0,0,0
"132","China","Guangdong Province","2020-01-16",0,0,0,0,0
"133","China","Guangdong Province","2020-01-17",0,0,0,0,0
"134","China","Guangdong Province","2020-01-18",0,0,0,0,0
"135","China","Guangdong Province","2020-01-19",1,0,0,0,0
"136","China","Guangdong Province","2020-01-20",13,0,0,0,0
"137","China","Guangdong Province","2020-01-21",26,0,0,0,0
"138","China","Guangdong Province","2020-01-22",26,0,0,0,0
"139","China","Guangxi Zhuang Autonomous Region","2019-12-31",0,0,0,0,0
"140","China","Guangxi Zhuang Autonomous Region","2020-01-01",0,0,0,0,0
"141","China","Guangxi Zhuang Autonomous Region","2020-01-02",0,0,0,0,0
"142","China","Guangxi Zhuang Autonomous Region","2020-01-03",0,0,0,0,0
"143","China","Guangxi Zhuang Autonomous Region","2020-01-04",0,0,0,0,0
"144","China","Guangxi Zhuang Autonomous Region","2020-01-05",0,0,0,0,0
"145","China","Guangxi Zhuang Autonomous Region","2020-01-06",0,0,0,0,0
"146","China","Guangxi Zhuang Autonomous Region","2020-01-07",0,0,0,0,0
"147","China","Guangxi Zhuang Autonomous Region","2020-01-08",0,0,0,0,0
"148","China","Guangxi Zhuang Autonomous Region","2020-01-09",0,0,0,0,0
"149","China","Guangxi Zhuang Autonomous Region","2020-01-10",0,0,0,0,0
"150","China","Guangxi Zhuang Autonomous Region","2020-01-11",0,0,0,0,0
"151","China","Guangxi Zhuang Autonomous Region","2020-01-12",0,0,0,0,0
"152","China","Guangxi Zhuang Autonomous Region","2020-01-13",0,0,0,0,0
"153","China","Guangxi Zhuang Autonomous Region","2020-01-14",0,0,0,0,0
"154","China","Guangxi Zhuang Autonomous Region","2020-01-15",0,0,0,0,0
"155","China","Guangxi Zhuang Autonomous Region","2020-01-16",0,0,0,0,0
"156","China","Guangxi Zhuang Autonomous Region","2020-01-17",0,0,0,0,0
"157","China","Guangxi Zhuang Autonomous Region","2020-01-18",0,0,0,0,0
"158","China","Guangxi Zhuang Autonomous Region","2020-01-19",0,0,0,0,0
"159","China","Guangxi Zhuang Autonomous Region","2020-01-20",0,0,0,0,0
"160","China","Guangxi Zhuang Autonomous Region","2020-01-21",0,0,0,0,0
"161","China","Guangxi Zhuang Autonomous Region","2020-01-22",2,0,0,0,0
"162","China","Guizhou Province","2019-12-31",0,0,0,0,0
"163","China","Guizhou Province","2020-01-01",0,0,0,0,0
"164","China","Guizhou Province","2020-01-02",0,0,0,0,0
"165","China","Guizhou Province","2020-01-03",0,0,0,0,0
"166","China","Guizhou Province","2020-01-04",0,0,0,0,0
"167","China","Guizhou Province","2020-01-05",0,0,0,0,0
"168","China","Guizhou Province","2020-01-06",0,0,0,0,0
"169","China","Guizhou Province","2020-01-07",0,0,0,0,0
"170","China","Guizhou Province","2020-01-08",0,0,0,0,0
"171","China","Guizhou Province","2020-01-09",0,0,0,0,0
"172","China","Guizhou Province","2020-01-10",0,0,0,0,0
"173","China","Guizhou Province","2020-01-11",0,0,0,0,0
"174","China","Guizhou Province","2020-01-12",0,0,0,0,0
"175","China","Guizhou Province","2020-01-13",0,0,0,0,0
"176","China","Guizhou Province","2020-01-14",0,0,0,0,0
"177","China","Guizhou Province","2020-01-15",0,0,0,0,0
"178","China","Guizhou Province","2020-01-16",0,0,0,0,0
"179","China","Guizhou Province","2020-01-17",0,0,0,0,0
"180","China","Guizhou Province","2020-01-18",0,0,0,0,0
"181","China","Guizhou Province","2020-01-19",0,0,0,0,0
"182","China","Guizhou Province","2020-01-20",0,0,0,0,0
"183","China","Guizhou Province","2020-01-21",0,0,0,0,0
"184","China","Guizhou Province","2020-01-22",1,0,0,0,0
"185","China","Hainan Province","2019-12-31",0,0,0,0,0
"186","China","Hainan Province","2020-01-01",0,0,0,0,0
"187","China","Hainan Province","2020-01-02",0,0,0,0,0
"188","China","Hainan Province","2020-01-03",0,0,0,0,0
"189","China","Hainan Province","2020-01-04",0,0,0,0,0
"190","China","Hainan Province","2020-01-05",0,0,0,0,0
"191","China","Hainan Province","2020-01-06",0,0,0,0,0
"192","China","Hainan Province","2020-01-07",0,0,0,0,0
"193","China","Hainan Province","2020-01-08",0,0,0,0,0
"194","China","Hainan Province","2020-01-09",0,0,0,0,0
"195","China","Hainan Province","2020-01-10",0,0,0,0,0
"196","China","Hainan Province","2020-01-11",0,0,0,0,0
"197","China","Hainan Province","2020-01-12",0,0,0,0,0
"198","China","Hainan Province","2020-01-13",0,0,0,0,0
"199","China","Hainan Province","2020-01-14",0,0,0,0,0
"200","China","Hainan Province","2020-01-15",0,0,0,0,0
"201","China","Hainan Province","2020-01-16",0,0,0,0,0
"202","China","Hainan Province","2020-01-17",0,0,0,0,0
"203","China","Hainan Province","2020-01-18",0,0,0,0,0
"204","China","Hainan Province","2020-01-19",0,0,0,0,0
"205","China","Hainan Province","2020-01-20",0,0,0,0,0
"206","China","Hainan Province","2020-01-21",0,0,0,0,0
"207","China","Hainan Province","2020-01-22",0,0,0,0,0
"208","China","Hebei Province","2019-12-31",0,0,0,0,0
"209","China","Hebei Province","2020-01-01",0,0,0,0,0
"210","China","Hebei Province","2020-01-02",0,0,0,0,0
"211","China","Hebei Province","2020-01-03",0,0,0,0,0
"212","China","Hebei Province","2020-01-04",0,0,0,0,0
"213","China","Hebei Province","2020-01-05",0,0,0,0,0
"214","China","Hebei Province","2020-01-06",0,0,0,0,0
"215","China","Hebei Province","2020-01-07",0,0,0,0,0
"216","China","Hebei Province","2020-01-08",0,0,0,0,0
"217","China","Hebei Province","2020-01-09",0,0,0,0,0
"218","China","Hebei Province","2020-01-10",0,0,0,0,0
"219","China","Hebei Province","2020-01-11",0,0,0,0,0
"220","China","Hebei Province","2020-01-12",0,0,0,0,0
"221","China","Hebei Province","2020-01-13",0,0,0,0,0
"222","China","Hebei Province","2020-01-14",0,0,0,0,0
"223","China","Hebei Province","2020-01-15",0,0,0,0,0
"224","China","Hebei Province","2020-01-16",0,0,0,0,0
"225","China","Hebei Province","2020-01-17",0,0,0,0,0
"226","China","Hebei Province","2020-01-18",0,0,0,0,0
"227","China","Hebei Province","2020-01-19",0,0,0,0,0
"228","China","Hebei Province","2020-01-20",0,0,0,0,0
"229","China","Hebei Province","2020-01-21",0,0,0,0,0
"230","China","Hebei Province","2020-01-22",0,0,0,0,0
"231","China","Heilongjiang Province","2019-12-31",0,0,0,0,0
"232","China","Heilongjiang Province","2020-01-01",0,0,0,0,0
"233","China","Heilongjiang Province","2020-01-02",0,0,0,0,0
"234","China","Heilongjiang Province","2020-01-03",0,0,0,0,0
"235","China","Heilongjiang Province","2020-01-04",0,0,0,0,0
"236","China","Heilongjiang Province","2020-01-05",0,0,0,0,0
"237","China","Heilongjiang Province","2020-01-06",0,0,0,0,0
"238","China","Heilongjiang Province","2020-01-07",0,0,0,0,0
"239","China","Heilongjiang Province","2020-01-08",0,0,0,0,0
"240","China","Heilongjiang Province","2020-01-09",0,0,0,0,0
"241","China","Heilongjiang Province","2020-01-10",0,0,0,0,0
"242","China","Heilongjiang Province","2020-01-11",0,0,0,0,0
"243","China","Heilongjiang Province","2020-01-12",0,0,0,0,0
"244","China","Heilongjiang Province","2020-01-13",0,0,0,0,0
"245","China","Heilongjiang Province","2020-01-14",0,0,0,0,0
"246","China","Heilongjiang Province","2020-01-15",0,0,0,0,0
"247","China","Heilongjiang Province","2020-01-16",0,0,0,0,0
"248","China","Heilongjiang Province","2020-01-17",0,0,0,0,0
"249","China","Heilongjiang Province","2020-01-18",0,0,0,0,0
"250","China","Heilongjiang Province","2020-01-19",0,0,0,0,0
"251","China","Heilongjiang Province","2020-01-20",0,0,0,0,0
"252","China","Heilongjiang Province","2020-01-21",0,0,0,0,0
"253","China","Heilongjiang Province","2020-01-22",0,0,0,0,0
"254","China","Henan Province","2019-12-31",0,0,0,0,0
"255","China","Henan Province","2020-01-01",0,0,0,0,0
"256","China","Henan Province","2020-01-02",0,0,0,0,0
"257","China","Henan Province","2020-01-03",0,0,0,0,0
"258","China","Henan Province","2020-01-04",0,0,0,0,0
"259","China","Henan Province","2020-01-05",0,0,0,0,0
"260","China","Henan Province","2020-01-06",0,0,0,0,0
"261","China","Henan Province","2020-01-07",0,0,0,0,0
"262","China","Henan Province","2020-01-08",0,0,0,0,0
"263","China","Henan Province","2020-01-09",0,0,0,0,0
"264","China","Henan Province","2020-01-10",0,0,0,0,0
"265","China","Henan Province","2020-01-11",0,0,0,0,0
"266","China","Henan Province","2020-01-12",0,0,0,0,0
"267","China","Henan Province","2020-01-13",0,0,0,0,0
"268","China","Henan Province","2020-01-14",0,0,0,0,0
"269","China","Henan Province","2020-01-15",0,0,0,0,0
"270","China","Henan Province","2020-01-16",0,0,0,0,0
"271","China","Henan Province","2020-01-17",0,0,0,0,0
"272","China","Henan Province","2020-01-18",0,0,0,0,0
"273","China","Henan Province","2020-01-19",0,0,0,0,0
"274","China","Henan Province","2020-01-20",0,0,0,0,0
"275","China","Henan Province","2020-01-21",0,0,0,0,0
"276","China","Henan Province","2020-01-22",5,0,0,0,0
"277","China","Hong Kong Special Administrative Region","2019-12-31",0,0,0,0,0
"278","China","Hong Kong Special Administrative Region","2020-01-01",0,0,0,0,0
"279","China","Hong Kong Special Administrative Region","2020-01-02",0,0,0,0,0
"280","China","Hong Kong Special Administrative Region","2020-01-03",0,0,0,0,0
"281","China","Hong Kong Special Administrative Region","2020-01-04",0,0,0,0,0
"282","China","Hong Kong Special Administrative Region","2020-01-05",0,0,0,0,0
"283","China","Hong Kong Special Administrative Region","2020-01-06",0,0,0,0,0
"284","China","Hong Kong Special Administrative Region","2020-01-07",0,0,0,0,0
"285","China","Hong Kong Special Administrative Region","2020-01-08",0,0,0,0,0
"286","China","Hong Kong Special Administrative Region","2020-01-09",0,0,0,0,0
"287","China","Hong Kong Special Administrative Region","2020-01-10",0,0,0,0,0
"288","China","Hong Kong Special Administrative Region","2020-01-11",0,0,0,0,0
"289","China","Hong Kong Special Administrative Region","2020-01-12",0,0,0,0,0
"290","China","Hong Kong Special Administrative Region","2020-01-13",0,0,0,0,0
"291","China","Hong Kong Special Administrative Region","2020-01-14",0,0,0,0,0
"292","China","Hong Kong Special Administrative Region","2020-01-15",0,0,0,0,0
"293","China","Hong Kong Special Administrative Region","2020-01-16",0,0,0,0,0
"294","China","Hong Kong Special Administrative Region","2020-01-17",0,0,0,0,0
"295","China","Hong Kong Special Administrative Region","2020-01-18",0,0,0,0,0
"296","China","Hong Kong Special Administrative Region","2020-01-19",0,0,0,0,0
"297","China","Hong Kong Special Administrative Region","2020-01-20",0,0,0,0,0
"298","China","Hong Kong Special Administrative Region","2020-01-21",0,0,0,0,0
"299","China","Hong Kong Special Administrative Region","2020-01-22",1,0,0,0,0
"300","China","Hubei Province","2019-12-31",15,0,0,0,0
"301","China","Hubei Province","2020-01-01",15,0,0,0,0
"302","China","Hubei Province","2020-01-02",15,0,0,0,0
"303","China","Hubei Province","2020-01-03",41,0,0,0,0
"304","China","Hubei Province","2020-01-04",41,0,0,0,0
"305","China","Hubei Province","2020-01-05",41,0,0,0,0
"306","China","Hubei Province","2020-01-06",41,0,0,0,0
"307","China","Hubei Province","2020-01-07",41,0,0,0,0
"308","China","Hubei Province","2020-01-08",41,0,0,0,0
"309","China","Hubei Province","2020-01-09",41,0,0,0,0
"310","China","Hubei Province","2020-01-10",41,0,0,0,0
"311","China","Hubei Province","2020-01-11",41,0,0,1,0
"312","China","Hubei Province","2020-01-12",41,0,0,1,0
"313","China","Hubei Province","2020-01-13",41,0,0,1,0
"314","China","Hubei Province","2020-01-14",41,0,0,1,0
"315","China","Hubei Province","2020-01-15",41,0,0,2,0
"316","China","Hubei Province","2020-01-16",41,0,0,2,0
"317","China","Hubei Province","2020-01-17",62,0,0,2,0
"318","China","Hubei Province","2020-01-18",198,0,0,3,0
"319","China","Hubei Province","2020-01-19",198,0,0,4,0
