"","ADM0_EN","ADM1_EN","ADM2_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE","source_type","source_url","who_by","access_date","notes"
"53","China","Guangdong Province","Shantou",28,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"54","China","Guangdong Province","Shanwei",4,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"55","China","Guangdong Province","Shaoguan",4,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"56","China","Guangdong Province","Shenzhen",170,0,0,0,5,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"57","China","Guangdong Province","Yangjiang",10,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"58","China","Guangdong Province","Yunfu",0,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"59","China","Guangdong Province","Zhanjiang",13,0,0,0,1,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"60","China","Guangdong Province","Zhaoqing",6,0,0,0,1,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"61","China","Guangdong Province","Zhongshan",36,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"62","China","Guangdong Province","Zhuhai",38,0,0,0,1,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"63","China","Guangxi Zhuang Autonomous Region","Area to be identified",0,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"64","China","Guangxi Zhuang Autonomous Region","Baise",2,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"65","China","Guangxi Zhuang Autonomous Region","Beihai",23,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"66","China","Guangxi Zhuang Autonomous Region","Chongzuo",0,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"67","China","Guangxi Zhuang Autonomous Region","Fangchenggang",8,0,0,0,1,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"68","China","Guangxi Zhuang Autonomous Region","Guigang",0,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"69","China","Guangxi Zhuang Autonomous Region","Guilin",21,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"70","China","Guangxi Zhuang Autonomous Region","Hechi",6,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"71","China","Guangxi Zhuang Autonomous Region","Hezhou",1,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"72","China","Guangxi Zhuang Autonomous Region","Laibin",0,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"73","China","Guangxi Zhuang Autonomous Region","Liuzhou",12,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"74","China","Guangxi Zhuang Autonomous Region","NanNing",16,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"75","China","Guangxi Zhuang Autonomous Region","Qinzhou",1,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"76","China","Guangxi Zhuang Autonomous Region","Wuzhou",5,0,0,0,1,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"77","China","Guangxi Zhuang Autonomous Region","Yulin",5,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"78","China","Guizhou Province","Anshun",0,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"79","China","Guizhou Province","Bijie",3,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"80","China","Guizhou Province","Guiyang",4,0,0,0,1,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"81","China","Guizhou Province","Liupanshui",8,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"82","China","Guizhou Province","Qiandongnan Miao and Dong Autonomous Prefecture",2,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"83","China","Guizhou Province","Qiannan Buyi and Miao Autonomous Prefecture",4,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"84","China","Guizhou Province","Qianxinan Buyi and Miao Autonomous Prefecture",1,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"85","China","Guizhou Province","Tongren",3,0,0,0,1,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"86","China","Guizhou Province","Zunyi",4,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"87","China","Hainan Province","Baisha Li Autonomous County",0,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"88","China","Hainan Province","Baoting Li and Miao Autonomous County",0,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"89","China","Hainan Province","Changjiang Li Autonomous County",1,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"90","China","Hainan Province","Chengmai County",2,0,0,1,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"91","China","Hainan Province","Danzhou",6,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"92","China","Hainan Province","Ding'an County",1,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"93","China","Hainan Province","Dongfang City",1,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"94","China","Hainan Province","Haikou",11,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"95","China","Hainan Province","Ledong Li Autonomous County",1,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"96","China","Hainan Province","Lingao County",3,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"97","China","Hainan Province","Lingshui Li Autonomous County",5,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"98","China","Hainan Province","Qionghai City",5,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"99","China","Hainan Province","Qiongzhong Li and Miao Autonomous County",1,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"100","China","Hainan Province","Sansha",0,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"101","China","Hainan Province","Sanya",15,0,0,0,1,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"102","China","Hainan Province","Tunchang County",0,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"103","China","Hainan Province","Wanning City",8,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"104","China","Hainan Province","Wuzhishan City",0,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"105","China","Hebei Province","Baoding",11,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"106","China","Hebei Province","Cangzhou",19,0,0,1,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"107","China","Hebei Province","Chengde",2,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"108","China","Hebei Province","Handan",10,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"109","China","Hebei Province","Hengshui",4,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"110","China","Hebei Province","Langfang",11,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"111","China","Hebei Province","Qinhuangdao",1,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"112","China","Hebei Province","Shijiazhuang",12,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"113","China","Hebei Province","Tangshan",8,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"114","China","Hebei Province","Xingtai",10,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"115","China","Hebei Province","Zhangjiakou",8,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"116","China","Heilongjiang Province","Daqing",8,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"117","China","Heilongjiang Province","Daxinganling Prefecture",2,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"118","China","Heilongjiang Province","Harbin",25,0,0,0,2,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"119","China","Heilongjiang Province","Hegang",1,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"120","China","Heilongjiang Province","Heihe",0,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"121","China","Heilongjiang Province","Jiamusi",11,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"122","China","Heilongjiang Province","Jixi",4,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"123","China","Heilongjiang Province","Mudanjiang",6,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"124","China","Heilongjiang Province","Qiqihar",3,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"125","China","Heilongjiang Province","Qitaihe",5,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"126","China","Heilongjiang Province","Shuangyashan",2,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"127","China","Heilongjiang Province","Suihua",13,0,0,2,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"128","China","Heilongjiang Province","Yichun",0,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"129","China","Henan Province","Anyang",24,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"130","China","Henan Province","Area to be identified",0,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"131","China","Henan Province","Hebi",6,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"132","China","Henan Province","Jiaozuo",2,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"133","China","Henan Province","Jiyuan",0,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"134","China","Henan Province","Kaifeng",8,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"135","China","Henan Province","Luohe",14,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"136","China","Henan Province","Luoyang",5,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"137","China","Henan Province","Nanyang",66,0,0,2,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"138","China","Henan Province","Pingdingshan",11,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"139","China","Henan Province","Puyang",3,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"140","China","Henan Province","Sanmenxia",7,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"141","China","Henan Province","Shangqiu",29,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"142","China","Henan Province","Xinxiang",21,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"143","China","Henan Province","Xinyang",70,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"144","China","Henan Province","Xuchang",12,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"145","China","Henan Province","Zhengzhou",112,0,0,0,2,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"146","China","Henan Province","Zhoukou",38,0,0,0,1,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"147","China","Henan Province","Zhumadian",40,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"148","China","Hubei Province","Enshi Tujia and Miao Autonomous Prefecture",87,0,0,0,1,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"149","China","Hubei Province","Ezhou",227,0,0,9,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"150","China","Hubei Province","Huanggang",726,0,0,14,17,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"151","China","Hubei Province","Huangshi",209,0,0,2,1,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"152","China","Hubei Province","Jingmen",251,0,0,5,1,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"153","China","Hubei Province","Jingzhou",287,0,0,4,2,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"154","China","Hubei Province","Qianjiang",27,0,0,1,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"155","China","Hubei Province","Shennongjia Forestry District",7,0,0,0,2,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"156","China","Hubei Province","Shiyan",177,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"157","China","Hubei Province","Suizhou",304,0,0,1,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"158","China","Hubei Province","Tianmen",82,0,0,7,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"159","China","Hubei Province","Wuhan",3215,0,0,192,106,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"160","China","Hubei Province","Xiangyang",347,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"161","China","Hubei Province","Xianning",206,0,0,0,1,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"162","China","Hubei Province","Xiantao",97,0,0,1,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"163","China","Hubei Province","Xiaogan",628,0,0,12,2,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"164","China","Hubei Province","Yichang",276,0,0,1,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"165","China","Hubei Province","Prison System",0,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"166","China","Hunan Province","Changde",39,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"167","China","Hunan Province","Changsha",86,0,0,0,2,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"168","China","Hunan Province","Chenzhou",13,0,0,0,1,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"169","China","Hunan Province","Hengyang",26,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"170","China","Hunan Province","Huaihua",28,0,0,0,1,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"171","China","Hunan Province","Loudi",26,0,0,0,1,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"172","China","Hunan Province","Shaoyang",41,0,0,0,1,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"173","China","Hunan Province","Xiangtan",13,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"174","China","Hunan Province","Xiangxi Tujia and Miao Autonomous Prefecture",6,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"175","China","Hunan Province","Yiyang",24,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"176","China","Hunan Province","Yongzhou",18,0,0,0,2,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"177","China","Hunan Province","Yueyang",45,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"178","China","Hunan Province","Zhangjiajie",2,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"179","China","Hunan Province","Zhuzhou",22,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"180","China","Inner Mongolia Autonomous Region","Alxa League",0,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"181","China","Inner Mongolia Autonomous Region","Baotou",3,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"182","China","Inner Mongolia Autonomous Region","Bayannur",3,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"183","China","Inner Mongolia Autonomous Region","Chifeng",2,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"184","China","Inner Mongolia Autonomous Region","Hinggan League",1,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"185","China","Inner Mongolia Autonomous Region","Hohhot",2,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"186","China","Inner Mongolia Autonomous Region","Hulunbuir",4,0,0,0,2,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"187","China","Inner Mongolia Autonomous Region","Ordos",5,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"188","China","Inner Mongolia Autonomous Region","Tongliao",1,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"189","China","Inner Mongolia Autonomous Region","Ulanqab",2,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"190","China","Inner Mongolia Autonomous Region","Wuhai",0,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"191","China","Inner Mongolia Autonomous Region","Xilingol League",2,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"192","China","Jiangsu Province","Changzhou",14,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"193","China","Jiangsu Province","Huai'an",12,0,0,0,1,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"194","China","Jiangsu Province","Lianyungang",13,0,0,0,1,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"195","China","Jiangsu Province","Nanjing",28,0,0,0,2,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"196","China","Jiangsu Province","Nantong",12,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"197","China","Jiangsu Province","Suqian",8,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"198","China","Jiangsu Province","Suzhou",34,0,0,0,2,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"199","China","Jiangsu Province","Taizhou",17,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"200","China","Jiangsu Province","Wuxi",13,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"201","China","Jiangsu Province","Xuzhou",23,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"202","China","Jiangsu Province","Yancheng",13,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"203","China","Jiangsu Province","Yangzhou",13,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"204","China","Jiangsu Province","Zhenjiang",2,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"205","China","Jiangxi Province","Fuzhou",18,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"206","China","Jiangxi Province","Ganzhou",30,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"207","China","Jiangxi Province","Ji'an",11,0,0,0,1,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"208","China","Jiangxi Province","Jingdezhen",3,0,0,0,1,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"209","China","Jiangxi Province","Jiujiang",43,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"210","China","Jiangxi Province","Nanchang",87,0,0,0,1,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"211","China","Jiangxi Province","Pingxiang",9,0,0,0,1,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"212","China","Jiangxi Province","Shangrao",16,0,0,0,1,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"213","China","Jiangxi Province","Xinyu",40,0,0,0,2,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"214","China","Jiangxi Province","Yichun",29,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"215","China","Jiangxi Province","Yingtan",4,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"216","China","Jilin Province","Baicheng",0,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"217","China","Jilin Province","Baishan",0,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"218","China","Jilin Province","Changchun",7,0,0,0,1,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"219","China","Jilin Province","Jilin",3,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"220","China","Jilin Province","Liaoyuan",0,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"221","China","Jilin Province","Siping",3,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"222","China","Jilin Province","Songyuan",2,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"223","China","Jilin Province","Tonghua",2,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
"224","China","Jilin Province","Yanbian Korean Autonomous Prefecture",2,0,0,0,0,"2020-02-01","DXY","see dxy-html-archive folder","ARW","",""
