"ethnicity","race","cases","deaths"
"Hispanic/Latino","African-American/Black","5171","39"
"Hispanic/Latino","American Indian/Alaska Native","273","1"
"Hispanic/Latino","Asian","521","6"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","365","6"
"Hispanic/Latino","Other","45866","451"
"Hispanic/Latino","Unknown","22126","9"
"Hispanic/Latino","White","61506","756"
"Non-Hispanic/Latino","African-American/Black","339836","8467"
"Non-Hispanic/Latino","American Indian/Alaska Native","609","17"
"Non-Hispanic/Latino","Asian","24461","421"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","976","16"
"Non-Hispanic/Latino","Other","21276","302"
"Non-Hispanic/Latino","Unknown","10538","14"
"Non-Hispanic/Latino","White","492824","14865"
"Unknown","African-American/Black","28262","27"
"Unknown","American Indian/Alaska Native","232","0"
"Unknown","Asian","5133","2"
"Unknown","Native Hawaiian/Pacific Islander","218","0"
"Unknown","Other","28684","17"
"Unknown","Unknown","145856","82"
"Unknown","White","43206","48"
