"county_name","cases","county_id","State FIPS code","County FIPS code","population","hospitalization","deaths","case rate","death rate","14 day case rate","14 day cases","antigen_cases","probable_deaths"
"Appling","2761","US-13001","13","1","18561","234","94","14875.28","506.44","269.38","50","720","9"
"Atkinson","1171","US-13003","13","3","8330","172","29","14057.62","348.14","252.1","21","395","5"
"Bacon","1856","US-13005","13","5","11404","147","47","16274.99","412.14","306.91","35","646","11"
"Baker","241","US-13007","13","7","3116","43","13","7734.27","417.2","64.18","2","138","1"
"Baldwin","5232","US-13009","13","9","44428","381","162","11776.36","364.63","126.05","56","1399","22"
"Banks","2387","US-13011","13","11","19982","273","56","11945.75","280.25","205.18","41","325","4"
"Barrow","12924","US-13013","13","13","86383","846","187","14961.28","216.48","294.04","254","1683","6"
"Bartow","15337","US-13015","13","15","110771","1007","298","13845.68","269.02","204.02","226","4949","33"
"Ben Hill","1850","US-13017","13","17","16645","180","68","11114.45","408.53","78.1","13","1344","33"
"Berrien","1527","US-13019","13","19","19276","88","45","7921.77","233.45","67.44","13","1935","16"
"Bibb","20106","US-13021","13","21","152150","2258","553","13214.59","363.46","105.82","161","5184","59"
"Bleckley","1095","US-13023","13","23","12838","60","38","8529.37","296","54.53","7","1198","34"
"Brantley","1880","US-13025","13","25","19202","154","72","9790.65","374.96","88.53","17","1228","12"
"Brooks","1382","US-13027","13","27","15727","124","51","8787.44","324.28","25.43","4","1022","17"
"Bryan","4588","US-13029","13","29","39137","309","60","11722.92","153.31","130.31","51","1648","6"
"Bulloch","7892","US-13031","13","31","79467","289","95","9931.17","119.55","37.75","30","3240","96"
"Burke","2287","US-13033","13","33","22342","191","47","10236.33","210.37","76.09","17","1429","36"
"Butts","3341","US-13035","13","35","25174","186","102","13271.63","405.18","174.78","44","1300","9"
"Calhoun","608","US-13037","13","37","6317","89","20","9624.82","316.61","15.83","1","218","0"
"Camden","5927","US-13039","13","39","53924","214","76","10991.4","140.94","191.01","103","1924","15"
"Candler","1108","US-13043","13","43","10837","80","48","10224.23","442.93","64.59","7","450","38"
"Carroll","9935","US-13045","13","45","120119","385","152","8270.96","126.54","75.76","91","6358","148"
"Catoosa","8267","US-13047","13","47","68771","294","87","12021.06","126.51","269.01","185","1131","18"
"Charlton","1725","US-13049","13","49","13251","102","41","13017.89","309.41","196.21","26","518","13"
"Chatham","32829","US-13051","13","51","292176","2573","624","11236.04","213.57","128.35","375","5467","44"
"Chattahoochee","5099","US-13053","13","53","10749","39","14","47436.97","130.24","3014.23","324","751","5"
"Chattooga","3647","US-13055","13","55","24766","248","87","14725.83","351.29","250.34","62","881","13"
"Cherokee","30857","US-13057","13","57","266617","1898","420","11573.53","157.53","135.4","361","12271","26"
"Clarke","17291","US-13059","13","59","129779","759","166","13323.42","127.91","138.7","180","2652","8"
"Clay","232","US-13061","13","61","2855","12","4","8126.09","140.11","35.03","1","80","0"
"Clayton","34788","US-13063","13","63","304838","2091","664","11411.96","217.82","164.68","502","4207","36"
"Clinch","999","US-13065","13","65","6656","82","33","15009.01","495.79","90.14","6","484","2"
"Cobb","83992","US-13067","13","67","790588","3997","1256","10623.99","158.87","154.69","1223","24454","108"
"Coffee","6258","US-13069","13","69","43042","891","177","14539.29","411.23","125.46","54","1555","43"
"Colquitt","5461","US-13071","13","71","45393","323","123","12030.49","270.97","138.79","63","1930","54"
"Columbia","14595","US-13073","13","73","158631","647","234","9200.6","147.51","103.38","164","10082","54"
"Cook","1661","US-13075","13","75","17437","125","52","9525.72","298.22","22.94","4","1924","7"
"Coweta","12611","US-13077","13","77","152001","785","321","8296.66","211.18","112.5","171","8060","31"
"Crawford","830","US-13079","13","79","12228","99","35","6787.7","286.23","122.67","15","296","6"
"Crisp","1846","US-13081","13","81","22289","183","63","8282.11","282.65","40.38","9","1280","44"
"Dade","1787","US-13083","13","83","16162","68","17","11056.8","105.19","216.56","35","336","3"
"Dawson","4133","US-13085","13","85","27021","324","66","15295.51","244.25","210.95","57","487","2"
"DeKalb","79326","US-13089","13","89","793154","6211","1180","10001.34","148.77","160.75","1275","11503","109"
"Decatur","3451","US-13087","13","87","26322","221","76","13110.71","288.73","72.18","19","1287","21"
"Dodge","1523","US-13091","13","91","20385","122","59","7471.18","289.43","58.87","12","2049","64"
"Dooly","1077","US-13093","13","93","13400","99","36","8037.31","268.66","44.78","6","562","22"
"Dougherty","9037","US-13095","13","95","89905","1310","374","10051.72","415.99","195.76","176","3301","32"
"Douglas","17441","US-13097","13","97","151906","1064","230","11481.44","151.41","192.88","293","4710","51"
"Early","1534","US-13099","13","99","10146","103","51","15119.26","502.66","157.7","16","314","6"
"Echols","406","US-13101","13","101","3969","13","5","10229.28","125.98","25.2","1","309","6"
"Effingham","6922","US-13103","13","103","64026","472","144","10811.23","224.91","101.52","65","1841","16"
"Elbert","2009","US-13105","13","105","18945","181","68","10604.38","358.93","174.19","33","1205","17"
"Emanuel","2678","US-13107","13","107","22664","158","69","11816.1","304.45","88.25","20","1724","53"
"Evans","1116","US-13109","13","109","10687","106","35","10442.59","327.5","74.86","8","495","17"
"Fannin","3161","US-13111","13","111","26320","249","88","12009.88","334.35","197.57","52","577","14"
"Fayette","9623","US-13113","13","113","117544","586","203","8186.72","172.7","108.04","127","3425","22"
"Floyd","15345","US-13115","13","115","99916","1170","298","15357.9","298.25","253.21","253","2841","64"
"Forsyth","26530","US-13117","13","117","252507","1207","257","10506.64","101.78","206.73","522","7036","10"
"Franklin","3268","US-13119","13","119","23329","213","66","14008.32","282.91","214.33","50","647","14"
"Fulton","110706","US-13121","13","121","1099181","7109","1595","10071.68","145.11","136.56","1501","20445","138"
"Gilmer","3470","US-13123","13","123","31417","319","117","11044.98","372.41","206.89","65","1143","16"
"Glascock","187","US-13125","13","125","3025","27","7","6181.82","231.4","132.23","4","226","13"
"Glynn","12321","US-13127","13","127","86047","652","298","14318.92","346.32","88.32","76","2955","32"
"Gordon","8650","US-13129","13","129","58049","421","170","14901.2","292.86","232.56","135","2562","21"
"Grady","2388","US-13131","13","131","24540","230","64","9731.05","260.8","134.47","33","1210","24"
"Greene","2180","US-13133","13","133","18717","191","61","11647.17","325.91","170.97","32","504","8"
"Gwinnett","111187","US-13135","13","135","971145","6149","1340","11449.06","137.98","198.01","1923","21079","89"
"Habersham","6347","US-13137","13","137","45800","607","184","13858.08","401.75","213.97","98","948","13"
"Hall","33742","US-13139","13","139","206349","3065","596","16351.91","288.83","275.26","568","3920","32"
"Hancock","998","US-13141","13","141","8193","121","75","12181.13","915.42","36.62","3","123","5"
"Haralson","2365","US-13143","13","143","30722","94","45","7698.07","146.47","152.98","47","1411","70"
"Harris","3154","US-13145","13","145","34712","234","77","9086.19","221.83","213.18","74","570","8"
"Hart","2285","US-13147","13","147","26107","158","44","8752.44","168.54","160.88","42","1206","21"
"Heard","1027","US-13149","13","149","12370","63","24","8302.34","194.02","32.34","4","435","12"
"Henry","28729","US-13151","13","151","239866","1202","454","11977.1","189.27","157.59","378","9064","32"
"Houston","15902","US-13153","13","153","157039","1054","276","10126.15","175.75","117.81","185","8939","95"
"Irwin","893","US-13155","13","155","9433","91","20","9466.77","212.02","21.2","2","525","18"
"Jackson","12777","US-13157","13","157","74700","791","194","17104.42","259.71","294.51","220","1877","13"
"Jasper","1011","US-13159","13","159","14199","99","32","7120.22","225.37","112.68","16","1111","26"
"Jeff Davis","1804","US-13161","13","161","15148","117","42","11909.16","277.26","132.03","20","1138","14"
"Jefferson","1847","US-13163","13","163","15313","183","67","12061.65","437.54","84.9","13","815","19"
"Jenkins","896","US-13165","13","165","8576","95","43","10447.76","501.4","11.66","1","287","12"
"Johnson","1019","US-13167","13","167","9661","113","51","10547.56","527.9","51.75","5","526","10"
"Jones","2555","US-13169","13","169","28591","241","81","8936.38","283.31","83.94","24","857","8"
"Lamar","2266","US-13171","13","171","19347","178","76","11712.41","392.83","118.88","23","1121","13"
"Lanier","775","US-13173","13","173","10351","32","11","7487.2","106.27","115.93","12","691","5"
"Laurens","5762","US-13175","13","175","47296","410","195","12182.85","412.3","169.15","80","3282","42"
"Lee","2595","US-13177","13","177","29971","293","71","8658.37","236.9","120.12","36","2062","8"
"Liberty","6541","US-13179","13","179","61904","321","94","10566.36","151.85","193.85","120","930","17"
"Lincoln","680","US-13181","13","181","8125","67","27","8369.23","332.31","160","13","497","5"
"Long","1361","US-13183","13","183","19915","74","19","6834.04","95.41","236","47","367","5"
"Lowndes","10905","US-13185","13","185","117878","498","217","9251.09","184.09","72.96","86","10226","87"
"Lumpkin","4431","US-13187","13","187","33802","411","87","13108.69","257.38","133.13","45","318","14"
"Macon","839","US-13193","13","193","12988","98","36","6459.81","277.18","53.9","7","476","6"
"Madison","4187","US-13195","13","195","30177","262","64","13874.81","212.08","215.4","65","749","10"
"Marion","657","US-13197","13","197","8293","59","33","7922.34","397.93","84.41","7","303","3"
"McDuffie","2227","US-13189","13","189","21597","209","58","10311.62","268.56","143.54","31","1266","14"
"McIntosh","1385","US-13191","13","191","14567","87","26","9507.79","178.49","41.19","6","313","3"
"Meriwether","2178","US-13199","13","199","21020","217","95","10361.56","451.95","90.39","19","771","14"
"Miller","981","US-13201","13","201","5764","50","15","17019.43","260.24","277.59","16","218","7"
"Mitchell","2172","US-13205","13","205","22056","282","89","9847.66","403.52","131.48","29","1175","10"
"Monroe","2745","US-13207","13","207","27727","240","115","9900.1","414.76","137.05","38","1396","29"
"Montgomery","1140","US-13209","13","209","9224","57","36","12359.06","390.29","216.83","20","375","3"
"Morgan","1855","US-13211","13","211","19138","129","32","9692.76","167.21","276.94","53","1302","8"
"Murray","6197","US-13213","13","213","40261","348","123","15392.07","305.51","392.44","158","1249","8"
"Muscogee","20659","US-13215","13","215","191626","1701","538","10780.9","280.76","156.55","300","3213","77"
"Newton","11043","US-13217","13","217","112354","1148","304","9828.76","270.57","154.87","174","5110","32"
"Non-GA Resident/Unknown State","33624","US-.",".",".","0","2056","705","0","0","0","517","9313","283"
"Oconee","4376","US-13219","13","219","41737","183","72","10484.7","172.51","215.64","90","1259","8"
"Oglethorpe","1679","US-13221","13","221","15240","122","37","11017.06","242.78","170.6","26","476","1"
"Paulding","16270","US-13223","13","223","172542","564","239","9429.59","138.52","207.49","358","8690","82"
"Peach","2633","US-13225","13","225","27375","288","82","9618.26","299.54","62.1","17","1419","14"
"Pickens","3576","US-13227","13","227","33530","316","86","10665.08","256.49","187.89","63","1925","26"
"Pierce","2075","US-13229","13","229","19545","223","81","10616.53","414.43","46.05","9","2155","20"
"Pike","1852","US-13231","13","231","18860","117","48","9819.72","254.51","68.93","13","1926","20"
"Polk","6341","US-13233","13","233","43482","521","135","14583.05","310.47","220.78","96","2082","16"
"Pulaski","885","US-13235","13","235","10893","63","36","8124.48","330.49","192.78","21","623","23"
"Putnam","2584","US-13237","13","237","21885","226","77","11807.17","351.84","137.08","30","619","3"
"Quitman","120","US-13239","13","239","2294","16","3","5231.04","130.78","43.59","1","133","1"
"Rabun","2083","US-13241","13","241","16986","193","53","12263.04","312.02","211.94","36","406","9"
"Randolph","599","US-13243","13","243","6754","99","38","8868.82","562.63","177.67","12","399","4"
"Richmond","26376","US-13245","13","245","202240","1724","546","13041.93","269.98","149.82","303","8449","130"
"Rockdale","8893","US-13247","13","247","94960","1359","213","9365","224.3","146.38","139","2417","21"
