"ethnicity","race","cases","deaths"
"Hispanic/Latino","African-American/Black","9005","43"
"Hispanic/Latino","American Indian/Alaska Native","600","3"
"Hispanic/Latino","Asian","1038","3"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","636","4"
"Hispanic/Latino","Other","59745","480"
"Hispanic/Latino","Unknown","37364","8"
"Hispanic/Latino","White","86302","902"
"Non-Hispanic/Latino","African-American/Black","498591","9596"
"Non-Hispanic/Latino","American Indian/Alaska Native","1108","29"
"Non-Hispanic/Latino","Asian","42497","495"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","1342","15"
"Non-Hispanic/Latino","Other","34059","126"
"Non-Hispanic/Latino","Unknown","18922","7"
"Non-Hispanic/Latino","White","690034","17286"
"Unknown","African-American/Black","44020","14"
"Unknown","American Indian/Alaska Native","742","0"
"Unknown","Asian","7374","2"
"Unknown","Native Hawaiian/Pacific Islander","423","0"
"Unknown","Other","33890","9"
"Unknown","Unknown","279732","98"
"Unknown","White","54787","31"
