"age group","county name","cases","deaths","confirmed_case_hospitalization"
"01-04 years","Georgia","42187","3","554"
"05-09 years","Georgia","73314","5","417"
"10-17 years","Georgia","181177","17","1522"
"18-29 years","Georgia","408376","252","7777"
"30-39 years","Georgia","320769","654","9585"
"40-49 years","Georgia","288474","1443","12799"
"50-59 years","Georgia","257188","3449","18625"
"60-69 years","Georgia","168980","6173","21030"
"70-79 years","Georgia","92827","7974","19141"
"80 & Older years","Georgia","48841","9178","14126"
"<1 years","Georgia","14021","2","627"
"Unknown years","Georgia","6057","1","264"
"01-04 years","Appling","74","0","0"
"05-09 years","Appling","125","0","0"
"10-17 years","Appling","413","0","3"
"18-29 years","Appling","631","1","8"
"30-39 years","Appling","491","4","10"
"40-49 years","Appling","479","9","29"
"50-59 years","Appling","479","11","44"
"60-69 years","Appling","396","22","73"
"70-79 years","Appling","270","25","53"
"80 & Older years","Appling","135","32","42"
"<1 years","Appling","15","0","0"
"Unknown years","Appling","6","0","0"
"01-04 years","Atkinson","34","0","2"
"05-09 years","Atkinson","71","0","1"
"10-17 years","Atkinson","181","0","2"
"18-29 years","Atkinson","313","0","16"
"30-39 years","Atkinson","232","0","15"
"40-49 years","Atkinson","220","4","36"
"50-59 years","Atkinson","209","5","37"
"60-69 years","Atkinson","141","7","44"
"70-79 years","Atkinson","77","9","31"
"80 & Older years","Atkinson","28","9","15"
"<1 years","Atkinson","11","0","2"
"01-04 years","Bacon","53","0","1"
"05-09 years","Bacon","76","0","0"
"10-17 years","Bacon","231","0","1"
"18-29 years","Bacon","632","0","10"
"30-39 years","Bacon","368","1","13"
"40-49 years","Bacon","380","5","24"
"50-59 years","Bacon","286","3","27"
"60-69 years","Bacon","243","18","51"
"70-79 years","Bacon","161","15","46"
"80 & Older years","Bacon","76","16","25"
"<1 years","Bacon","18","0","0"
"Unknown years","Bacon","2","0","0"
"01-04 years","Baker","12","0","0"
"05-09 years","Baker","21","0","0"
"10-17 years","Baker","22","0","0"
"18-29 years","Baker","56","0","0"
"30-39 years","Baker","35","0","4"
"40-49 years","Baker","35","3","3"
"50-59 years","Baker","40","0","4"
"60-69 years","Baker","46","3","17"
"70-79 years","Baker","24","3","11"
"80 & Older years","Baker","16","4","6"
"<1 years","Baker","3","0","0"
"Unknown years","Baker","3","0","0"
"01-04 years","Baldwin","117","0","2"
"05-09 years","Baldwin","249","0","0"
"10-17 years","Baldwin","562","1","5"
"18-29 years","Baldwin","2015","0","22"
"30-39 years","Baldwin","1026","2","21"
"40-49 years","Baldwin","964","6","46"
"50-59 years","Baldwin","916","22","82"
"60-69 years","Baldwin","706","42","94"
"70-79 years","Baldwin","433","48","73"
"80 & Older years","Baldwin","237","64","78"
"<1 years","Baldwin","38","0","3"
"Unknown years","Baldwin","3","0","0"
"01-04 years","Banks","47","0","2"
"05-09 years","Banks","88","0","1"
"10-17 years","Banks","247","0","5"
"18-29 years","Banks","644","0","21"
"30-39 years","Banks","472","0","21"
"40-49 years","Banks","482","6","31"
"50-59 years","Banks","492","7","42"
"60-69 years","Banks","393","16","71"
"70-79 years","Banks","276","27","79"
"80 & Older years","Banks","117","17","39"
"<1 years","Banks","27","0","3"
"Unknown years","Banks","26","0","1"
"01-04 years","Barrow","384","0","1"
"05-09 years","Barrow","687","0","3"
"10-17 years","Barrow","1908","1","15"
"18-29 years","Barrow","3780","1","66"
"30-39 years","Barrow","3398","3","92"
"40-49 years","Barrow","3203","14","122"
"50-59 years","Barrow","2677","22","179"
"60-69 years","Barrow","1735","53","197"
"70-79 years","Barrow","985","64","151"
"80 & Older years","Barrow","430","70","129"
"<1 years","Barrow","155","0","11"
"Unknown years","Barrow","20","0","2"
"01-04 years","Bartow","448","0","14"
"05-09 years","Bartow","679","0","4"
"10-17 years","Bartow","2001","0","17"
"18-29 years","Bartow","4098","0","41"
"30-39 years","Bartow","3347","7","74"
"40-49 years","Bartow","3214","11","130"
"50-59 years","Bartow","3303","38","230"
"60-69 years","Bartow","2091","93","244"
"70-79 years","Bartow","1277","118","264"
"80 & Older years","Bartow","607","106","165"
"<1 years","Bartow","195","0","8"
"Unknown years","Bartow","46","0","3"
"01-04 years","Ben Hill","43","0","1"
"05-09 years","Ben Hill","41","0","0"
"10-17 years","Ben Hill","178","0","1"
"18-29 years","Ben Hill","426","0","5"
"30-39 years","Ben Hill","338","3","13"
"40-49 years","Ben Hill","298","2","16"
"50-59 years","Ben Hill","306","8","34"
"60-69 years","Ben Hill","262","17","37"
"70-79 years","Ben Hill","172","22","56"
"80 & Older years","Ben Hill","78","20","21"
"<1 years","Ben Hill","15","0","2"
"01-04 years","Berrien","59","0","1"
"05-09 years","Berrien","70","0","0"
"10-17 years","Berrien","194","0","1"
"18-29 years","Berrien","377","0","0"
"30-39 years","Berrien","320","0","5"
"40-49 years","Berrien","245","1","8"
"50-59 years","Berrien","276","6","24"
"60-69 years","Berrien","214","11","30"
"70-79 years","Berrien","147","19","22"
"80 & Older years","Berrien","76","15","15"
"<1 years","Berrien","18","0","0"
"Unknown years","Berrien","2","0","0"
