"Ethnicity","race","cases","Deaths"
"Hispanic/Latino","African-American/Black","4622","33"
"Hispanic/Latino","American Indian/Alaska Native","280","1"
"Hispanic/Latino","Asian","449","5"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","335","4"
"Hispanic/Latino","Other","43713","385"
"Hispanic/Latino","Unknown","20946","7"
"Hispanic/Latino","White","57538","689"
"Non-Hispanic/Latino","African-American/Black","314143","7526"
"Non-Hispanic/Latino","American Indian/Alaska Native","603","20"
"Non-Hispanic/Latino","Asian","22207","402"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","908","11"
"Non-Hispanic/Latino","Other","20602","183"
"Non-Hispanic/Latino","Unknown","11079","7"
"Non-Hispanic/Latino","White","455675","13073"
"Unknown","African-American/Black","30146","21"
"Unknown","American Indian/Alaska Native","239","0"
"Unknown","Asian","5062","2"
"Unknown","Native Hawaiian/Pacific Islander","213","0"
"Unknown","Other","28780","11"
"Unknown","Unknown","160319","59"
"Unknown","White","45330","44"
