"measure","county","symptom date","cases","deaths","cases_cum","death_cum","moving_avg_cases","moving_avg_deaths"
"state_total","Georgia","2020-02-01","7","0","7","0","0","0"
"state_total","Georgia","2020-02-02","5","0","12","0","0","0"
"state_total","Georgia","2020-02-03","2","0","14","0","0","0"
"state_total","Georgia","2020-02-04","0","0","14","0","0","0"
"state_total","Georgia","2020-02-05","0","0","14","0","0","0"
"state_total","Georgia","2020-02-06","2","0","16","0","0","0"
"state_total","Georgia","2020-02-07","1","0","17","0","2.42857142857142","0"
"state_total","Georgia","2020-02-08","1","0","18","0","1.57142857142857","0"
"state_total","Georgia","2020-02-09","0","0","18","0","0.85714285714285","0"
"state_total","Georgia","2020-02-10","5","0","23","0","1.28571428571428","0"
"state_total","Georgia","2020-02-11","1","0","24","0","1.42857142857142","0"
"state_total","Georgia","2020-02-12","0","0","24","0","1.42857142857142","0"
"state_total","Georgia","2020-02-13","1","0","25","0","1.28571428571428","0"
"state_total","Georgia","2020-02-14","6","0","31","0","2","0"
"state_total","Georgia","2020-02-15","2","0","33","0","2.14285714285714","0"
"state_total","Georgia","2020-02-16","0","0","33","0","2.14285714285714","0"
"state_total","Georgia","2020-02-17","2","0","35","0","1.71428571428571","0"
"state_total","Georgia","2020-02-18","3","0","38","0","2","0"
"state_total","Georgia","2020-02-19","6","0","44","0","2.85714285714285","0"
"state_total","Georgia","2020-02-20","6","0","50","0","3.57142857142857","0"
"state_total","Georgia","2020-02-21","6","0","56","0","3.57142857142857","0"
"state_total","Georgia","2020-02-22","9","0","65","0","4.57142857142857","0"
"state_total","Georgia","2020-02-23","9","0","74","0","5.85714285714285","0"
"state_total","Georgia","2020-02-24","10","0","84","0","7","0"
"state_total","Georgia","2020-02-25","12","0","96","0","8.28571428571428","0"
"state_total","Georgia","2020-02-26","13","0","109","0","9.28571428571428","0"
"state_total","Georgia","2020-02-27","13","0","122","0","10.2857142857142","0"
"state_total","Georgia","2020-02-28","19","0","141","0","12.1428571428571","0"
"state_total","Georgia","2020-02-29","15","0","156","0","13","0"
"state_total","Georgia","2020-03-01","87","0","243","0","24.1428571428571","0"
"state_total","Georgia","2020-03-02","43","0","286","0","28.8571428571428","0"
"state_total","Georgia","2020-03-03","43","0","329","0","33.2857142857142","0"
"state_total","Georgia","2020-03-04","57","0","386","0","39.5714285714285","0"
"state_total","Georgia","2020-03-05","49","1","435","1","44.7142857142857","0.14285714285714"
"state_total","Georgia","2020-03-06","69","0","504","1","51.8571428571428","0.14285714285714"
"state_total","Georgia","2020-03-07","67","0","571","1","59.2857142857142","0.14285714285714"
"state_total","Georgia","2020-03-08","82","0","653","1","58.5714285714285","0.14285714285714"
"state_total","Georgia","2020-03-09","138","0","791","1","72.1428571428571","0.14285714285714"
"state_total","Georgia","2020-03-10","181","0","972","1","91.8571428571428","0.14285714285714"
