"Ethnicity","race","cases","Deaths"
"Hispanic/Latino","African-American/Black","2308","13"
"Hispanic/Latino","American Indian/Alaska Native","125","0"
"Hispanic/Latino","Asian","241","0"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","172","1"
"Hispanic/Latino","Other","27448","266"
"Hispanic/Latino","Unknown","12971","8"
"Hispanic/Latino","White","36452","451"
"Non-Hispanic/Latino","African-American/Black","171046","4557"
"Non-Hispanic/Latino","American Indian/Alaska Native","335","10"
"Non-Hispanic/Latino","Asian","12758","246"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","523","7"
"Non-Hispanic/Latino","Other","9074","38"
"Non-Hispanic/Latino","Unknown","8246","62"
"Non-Hispanic/Latino","White","249862","7481"
"Unknown","African-American/Black","25279","38"
"Unknown","American Indian/Alaska Native","132","0"
"Unknown","Asian","3171","2"
"Unknown","Native Hawaiian/Pacific Islander","166","0"
"Unknown","Other","24107","20"
"Unknown","Unknown","146423","65"
"Unknown","White","38986","59"
