"ethnicity","race","cases","deaths"
"Hispanic/Latino","African-American/Black","9373","51"
"Hispanic/Latino","American Indian/Alaska Native","573","2"
"Hispanic/Latino","Asian","1091","5"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","667","4"
"Hispanic/Latino","Other","61939","505"
"Hispanic/Latino","Unknown","36822","10"
"Hispanic/Latino","White","90486","971"
"Non-Hispanic/Latino","African-American/Black","532015","10375"
"Non-Hispanic/Latino","American Indian/Alaska Native","1066","29"
"Non-Hispanic/Latino","Asian","45994","533"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","1458","17"
"Non-Hispanic/Latino","Other","35074","93"
"Non-Hispanic/Latino","Unknown","17184","6"
"Non-Hispanic/Latino","White","736387","18754"
"Unknown","African-American/Black","39538","7"
"Unknown","American Indian/Alaska Native","473","0"
"Unknown","Asian","7226","2"
"Unknown","Native Hawaiian/Pacific Islander","416","0"
"Unknown","Other","33430","8"
"Unknown","Unknown","244240","92"
"Unknown","White","50510","22"
