"age group","county name","cases","deaths","confirmed_case_hospitalization"
"01-04 years","Georgia","43171","7","600"
"05-09 years","Georgia","74402","5","436"
"10-17 years","Georgia","182972","19","1570"
"18-29 years","Georgia","412666","261","8004"
"30-39 years","Georgia","324250","680","9808"
"40-49 years","Georgia","291548","1512","13092"
"50-59 years","Georgia","260181","3631","19153"
"60-69 years","Georgia","171461","6532","21792"
"70-79 years","Georgia","94459","8473","19929"
"80 & Older years","Georgia","49656","9733","14646"
"<1 years","Georgia","14340","3","652"
"Unknown years","Georgia","5221","0","349"
"01-04 years","Appling","77","0","0"
"05-09 years","Appling","125","0","0"
"10-17 years","Appling","415","0","3"
"18-29 years","Appling","636","1","8"
"30-39 years","Appling","495","4","10"
"40-49 years","Appling","483","9","30"
"50-59 years","Appling","487","12","47"
"60-69 years","Appling","402","24","74"
"70-79 years","Appling","276","25","54"
"80 & Older years","Appling","136","34","43"
"<1 years","Appling","15","0","0"
"Unknown years","Appling","4","0","0"
"01-04 years","Atkinson","36","1","3"
"05-09 years","Atkinson","72","0","1"
"10-17 years","Atkinson","183","0","2"
"18-29 years","Atkinson","316","0","16"
"30-39 years","Atkinson","237","0","15"
"40-49 years","Atkinson","224","4","37"
"50-59 years","Atkinson","211","5","39"
"60-69 years","Atkinson","144","8","47"
"70-79 years","Atkinson","76","10","31"
"80 & Older years","Atkinson","35","11","20"
"<1 years","Atkinson","11","0","1"
"01-04 years","Bacon","53","0","1"
"05-09 years","Bacon","72","0","0"
"10-17 years","Bacon","217","0","1"
"18-29 years","Bacon","617","0","11"
"30-39 years","Bacon","359","1","12"
"40-49 years","Bacon","351","5","23"
"50-59 years","Bacon","273","5","27"
"60-69 years","Bacon","222","18","49"
"70-79 years","Bacon","150","14","45"
"80 & Older years","Bacon","75","15","24"
"<1 years","Bacon","17","0","0"
"Unknown years","Bacon","1","0","0"
"01-04 years","Baker","12","0","0"
"05-09 years","Baker","21","0","0"
"10-17 years","Baker","22","0","0"
"18-29 years","Baker","56","0","0"
"30-39 years","Baker","35","0","4"
"40-49 years","Baker","35","3","3"
"50-59 years","Baker","40","0","5"
"60-69 years","Baker","46","3","17"
"70-79 years","Baker","24","3","11"
"80 & Older years","Baker","16","4","6"
"<1 years","Baker","3","0","0"
"Unknown years","Baker","3","0","0"
"01-04 years","Baldwin","116","0","2"
"05-09 years","Baldwin","247","0","0"
"10-17 years","Baldwin","564","1","5"
"18-29 years","Baldwin","2022","0","22"
"30-39 years","Baldwin","1032","2","21"
"40-49 years","Baldwin","970","6","46"
"50-59 years","Baldwin","922","23","83"
"60-69 years","Baldwin","715","44","100"
"70-79 years","Baldwin","434","50","75"
"80 & Older years","Baldwin","236","70","79"
"<1 years","Baldwin","38","0","3"
"Unknown years","Baldwin","2","0","0"
"01-04 years","Banks","46","0","2"
"05-09 years","Banks","91","0","1"
"10-17 years","Banks","249","0","5"
"18-29 years","Banks","650","0","22"
"30-39 years","Banks","485","0","21"
"40-49 years","Banks","487","7","31"
"50-59 years","Banks","500","8","46"
"60-69 years","Banks","398","17","77"
"70-79 years","Banks","279","28","84"
"80 & Older years","Banks","121","18","41"
"<1 years","Banks","27","0","2"
"Unknown years","Banks","23","0","1"
"01-04 years","Barrow","385","0","2"
"05-09 years","Barrow","688","0","3"
"10-17 years","Barrow","1907","1","16"
"18-29 years","Barrow","3790","1","70"
"30-39 years","Barrow","3406","3","92"
"40-49 years","Barrow","3209","14","122"
"50-59 years","Barrow","2694","23","178"
"60-69 years","Barrow","1749","55","200"
"70-79 years","Barrow","996","68","154"
"80 & Older years","Barrow","433","75","134"
"<1 years","Barrow","157","0","11"
"Unknown years","Barrow","22","0","2"
"01-04 years","Bartow","451","0","15"
"05-09 years","Bartow","692","0","4"
"10-17 years","Bartow","2029","0","19"
"18-29 years","Bartow","4137","0","43"
"30-39 years","Bartow","3381","7","76"
"40-49 years","Bartow","3253","11","130"
"50-59 years","Bartow","3345","38","234"
"60-69 years","Bartow","2125","96","251"
"70-79 years","Bartow","1297","121","270"
"80 & Older years","Bartow","617","110","167"
"<1 years","Bartow","199","0","8"
"Unknown years","Bartow","41","0","3"
"01-04 years","Ben Hill","43","0","1"
"05-09 years","Ben Hill","41","0","0"
"10-17 years","Ben Hill","177","0","0"
"18-29 years","Ben Hill","427","0","5"
"30-39 years","Ben Hill","340","3","12"
"40-49 years","Ben Hill","300","2","18"
"50-59 years","Ben Hill","308","8","35"
"60-69 years","Ben Hill","262","17","37"
"70-79 years","Ben Hill","173","24","57"
"80 & Older years","Ben Hill","78","20","22"
"<1 years","Ben Hill","15","0","2"
"01-04 years","Berrien","60","0","1"
"05-09 years","Berrien","72","0","0"
"10-17 years","Berrien","195","0","1"
"18-29 years","Berrien","380","0","0"
"30-39 years","Berrien","324","0","5"
"40-49 years","Berrien","248","1","8"
"50-59 years","Berrien","277","6","25"
"60-69 years","Berrien","215","11","30"
"70-79 years","Berrien","148","23","24"
"80 & Older years","Berrien","78","17","16"
"<1 years","Berrien","19","0","0"
"01-04 years","Bibb","501","0","8"
"05-09 years","Bibb","913","0","4"
"10-17 years","Bibb","2207","0","15"
"18-29 years","Bibb","6492","4","155"
"30-39 years","Bibb","4907","11","210"
"40-49 years","Bibb","4370","32","335"
"50-59 years","Bibb","3886","70","475"
"60-69 years","Bibb","2912","159","626"
"70-79 years","Bibb","1587","189","516"
"80 & Older years","Bibb","883","219","412"
"<1 years","Bibb","138","0","9"
"Unknown years","Bibb","6","0","1"
"01-04 years","Bleckley","24","0","0"
"05-09 years","Bleckley","60","0","0"
"10-17 years","Bleckley","167","0","1"
"18-29 years","Bleckley","339","0","6"
"30-39 years","Bleckley","209","1","5"
"40-49 years","Bleckley","188","1","3"
"50-59 years","Bleckley","178","4","12"
"60-69 years","Bleckley","127","9","16"
"70-79 years","Bleckley","89","8","16"
"80 & Older years","Bleckley","68","20","16"
"<1 years","Bleckley","10","0","0"
"Unknown years","Bleckley","1","0","0"
"01-04 years","Brantley","53","0","0"
"05-09 years","Brantley","87","0","0"
"10-17 years","Brantley","263","0","1"
"18-29 years","Brantley","465","0","6"
"30-39 years","Brantley","357","3","8"
"40-49 years","Brantley","333","5","19"
"50-59 years","Brantley","363","18","37"
"60-69 years","Brantley","258","18","42"
