"sex","county name","cases","deaths","confirmed_case_hospitalization"
"Female","Georgia","1041836","14288","56371"
"Male","Georgia","867276","16557","53289"
"Unknown","Georgia","15215","11","371"
"Female","Appling","1934","53","137"
"Male","Appling","1617","56","132"
"Female","Atkinson","855","17","106"
"Male","Atkinson","689","22","106"
"Unknown","Atkinson","1","0","0"
"Female","Bacon","1135","23","96"
"Male","Bacon","1269","35","97"
"Unknown","Bacon","3","0","0"
"Female","Baker","170","5","23"
"Male","Baker","141","8","23"
"Unknown","Baker","2","0","0"
"Female","Baldwin","4087","68","188"
"Male","Baldwin","3186","128","248"
"Unknown","Baldwin","25","0","0"
"Female","Banks","1821","37","180"
"Male","Banks","1518","41","151"
"Unknown","Banks","17","0","2"
"Female","Barrow","10541","114","528"
"Male","Barrow","8823","126","455"
"Unknown","Barrow","72","0","1"
"Female","Bartow","11566","174","605"
"Male","Bartow","9892","209","615"
"Unknown","Bartow","109","0","0"
"Female","Ben Hill","1238","32","101"
"Male","Ben Hill","922","42","88"
"Unknown","Ben Hill","4","0","0"
"Female","Berrien","1108","32","60"
"Male","Berrien","902","26","50"
"Unknown","Berrien","6","0","0"
"Female","Bibb","16359","339","1487"
"Male","Bibb","12130","344","1270"
"Unknown","Bibb","313","1","9"
"Female","Bleckley","843","24","41"
"Male","Bleckley","607","19","34"
"Unknown","Bleckley","10","0","0"
"Female","Brantley","1332","38","94"
"Male","Brantley","1109","51","88"
"Unknown","Brantley","4","0","0"
"Female","Brooks","1056","25","84"
"Male","Brooks","828","39","72"
"Unknown","Brooks","6","0","0"
"Female","Bryan","3584","29","188"
"Male","Bryan","3279","45","214"
"Unknown","Bryan","12","0","0"
"Female","Bulloch","5945","59","200"
"Male","Bulloch","4634","49","173"
"Unknown","Bulloch","2","0","0"
"Female","Burke","1632","29","116"
"Male","Burke","1318","32","122"
"Unknown","Burke","13","0","1"
"Female","Butts","2322","60","119"
"Male","Butts","2353","78","145"
"Unknown","Butts","36","0","0"
"Female","Calhoun","403","14","45"
"Male","Calhoun","565","7","56"
"Unknown","Calhoun","15","0","1"
"Female","Camden","4686","47","133"
"Male","Camden","3921","53","119"
"Unknown","Camden","56","0","0"
"Female","Candler","738","19","56"
"Male","Candler","610","35","44"
"Female","Carroll","7709","85","210"
"Male","Carroll","6626","95","230"
"Unknown","Carroll","63","0","7"
"Female","Catoosa","6597","68","197"
"Male","Catoosa","5744","58","191"
"Unknown","Catoosa","118","0","5"
"Female","Charlton","888","19","62"
"Male","Charlton","1332","29","58"
"Unknown","Charlton","11","0","0"
"Female","Chatham","29302","360","1679"
"Male","Chatham","24088","433","1566"
"Unknown","Chatham","148","0","5"
"Female","Chattahoochee","651","3","22"
"Male","Chattahoochee","5525","14","33"
"Unknown","Chattahoochee","28","0","0"
"Female","Chattooga","2857","53","150"
"Male","Chattooga","2374","59","163"
"Unknown","Chattooga","18","0","0"
"Female","Cherokee","24105","237","1096"
"Male","Cherokee","20807","328","1254"
"Unknown","Cherokee","176","0","0"
"Female","Clarke","14747","97","600"
"Male","Clarke","11297","117","545"
"Unknown","Clarke","60","0","1"
"Female","Clay","203","1","8"
"Male","Clay","147","5","6"
"Unknown","Clay","3","0","0"
"Female","Clayton","32996","436","1694"
"Male","Clayton","24215","445","1416"
"Unknown","Clayton","300","0","7"
"Female","Clinch","736","17","52"
"Male","Clinch","652","22","46"
"Unknown","Clinch","2","0","0"
"Female","Cobb","73393","724","2348"
"Male","Cobb","60568","874","2402"
"Unknown","Cobb","669","1","5"
"Female","Coffee","4746","121","611"
"Male","Coffee","3833","106","482"
"Unknown","Coffee","10","0","0"
"Female","Colquitt","4207","76","200"
"Male","Colquitt","3693","90","198"
"Unknown","Colquitt","47","0","0"
"Female","Columbia","10922","125","429"
"Male","Columbia","9604","181","426"
"Unknown","Columbia","55","0","1"
"Female","Cook","1164","26","77"
"Male","Cook","893","30","66"
"Unknown","Cook","3","0","0"
"Female","Coweta","11145","182","711"
"Male","Coweta","9592","236","661"
"Unknown","Coweta","89","0","5"
"Female","Crawford","636","20","59"
"Male","Crawford","542","24","63"
"Unknown","Crawford","8","0","0"
"Female","Crisp","1423","35","121"
"Male","Crisp","1065","36","81"
"Unknown","Crisp","57","0","0"
"Female","Dade","1323","14","50"
"Male","Dade","1209","11","49"
"Unknown","Dade","24","0","0"
"Female","Dawson","3297","38","182"
"Male","Dawson","2800","58","210"
"Unknown","Dawson","35","0","0"
"Female","DeKalb","70805","731","4350"
"Male","DeKalb","55731","780","3728"
"Unknown","DeKalb","1082","1","21"
"Female","Decatur","2984","43","142"
