Ethnicity,race,Confirmed_Cases,Deaths
Hispanic/Latino,African-American/Black,753,11
Hispanic/Latino,American Indian/Alaska Native,68,1
Hispanic/Latino,Asian,81,0
Hispanic/Latino,Native Hawaiian/Pacific Islander,89,0
Hispanic/Latino,Other,13008,139
Hispanic/Latino,Unknown,5208,5
Hispanic/Latino,White,17092,211
Non-Hispanic/Latino,African-American/Black,61057,2542
Non-Hispanic/Latino,American Indian/Alaska Native,112,5
Non-Hispanic/Latino,Asian,3096,106
Non-Hispanic/Latino,Native Hawaiian/Pacific Islander,175,7
Non-Hispanic/Latino,Other,3062,13
Non-Hispanic/Latino,Unknown,2354,17
Non-Hispanic/Latino,White,66134,2911
Unknown,African-American/Black,11258,18
Unknown,American Indian/Alaska Native,54,0
Unknown,Asian,1025,0
Unknown,Native Hawaiian/Pacific Islander,124,2
Unknown,Other,4682,3
Unknown,Unknown,80925,40
Unknown,White,13450,13
