"ethnicity","race","cases","deaths"
"Hispanic/Latino","African-American/Black","8294","37"
"Hispanic/Latino","American Indian/Alaska Native","560","3"
"Hispanic/Latino","Asian","900","3"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","583","4"
"Hispanic/Latino","Other","58484","459"
"Hispanic/Latino","Unknown","35378","15"
"Hispanic/Latino","White","81522","845"
"Non-Hispanic/Latino","African-American/Black","477015","9062"
"Non-Hispanic/Latino","American Indian/Alaska Native","1049","22"
"Non-Hispanic/Latino","Asian","38447","465"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","1285","17"
"Non-Hispanic/Latino","Other","32917","132"
"Non-Hispanic/Latino","Unknown","16954","15"
"Non-Hispanic/Latino","White","650439","16053"
"Unknown","African-American/Black","41525","16"
"Unknown","American Indian/Alaska Native","766","0"
"Unknown","Asian","6810","3"
"Unknown","Native Hawaiian/Pacific Islander","362","0"
"Unknown","Other","35440","14"
"Unknown","Unknown","252358","92"
"Unknown","White","50256","27"
