"Ethnicity","race","cases","Deaths"
"Hispanic/Latino","African-American/Black","988","11"
"Hispanic/Latino","American Indian/Alaska Native","47","0"
"Hispanic/Latino","Asian","99","1"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","98","0"
"Hispanic/Latino","Other","15588","167"
"Hispanic/Latino","Unknown","6253","6"
"Hispanic/Latino","White","20881","273"
"Non-Hispanic/Latino","African-American/Black","78400","3045"
"Non-Hispanic/Latino","American Indian/Alaska Native","129","9"
"Non-Hispanic/Latino","Asian","4447","136"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","232","7"
"Non-Hispanic/Latino","Other","4048","17"
"Non-Hispanic/Latino","Unknown","3147","45"
"Non-Hispanic/Latino","White","97512","3851"
"Unknown","African-American/Black","13121","17"
"Unknown","American Indian/Alaska Native","54","0"
"Unknown","Asian","1290","0"
"Unknown","Native Hawaiian/Pacific Islander","88","0"
"Unknown","Other","5016","3"
"Unknown","Unknown","73727","65"
"Unknown","White","17273","21"
