"sex","county name","cases","deaths","hospitalization"
"Female","Georgia","180185","3675","15583"
"Male","Georgia","155002","3992","14751"
"Unknown","Georgia","7251","7","207"
"Female","Appling","608","12","51"
"Male","Appling","513","23","51"
"Unknown","Appling","13","0","0"
"Female","Atkinson","249","3","30"
"Male","Atkinson","224","2","31"
"Unknown","Atkinson","1","0","0"
"Female","Bacon","322","5","20"
"Male","Bacon","302","9","28"
"Unknown","Bacon","8","0","1"
"Female","Baker","43","2","8"
"Male","Baker","45","4","12"
"Female","Baldwin","1230","14","73"
"Male","Baldwin","1004","49","103"
"Unknown","Baldwin","23","0","2"
"Female","Banks","306","3","39"
"Male","Banks","232","5","33"
"Unknown","Banks","6","0","0"
"Female","Barrow","1368","30","146"
"Male","Barrow","1117","20","114"
"Unknown","Barrow","22","0","1"
"Female","Bartow","1788","43","141"
"Male","Bartow","1572","50","176"
"Unknown","Bartow","52","0","2"
"Female","Ben Hill","510","13","49"
"Male","Ben Hill","336","19","42"
"Unknown","Ben Hill","1","0","0"
"Female","Berrien","268","6","14"
"Male","Berrien","204","6","10"
"Unknown","Berrien","8","0","0"
"Female","Bibb","3672","105","487"
"Male","Bibb","2744","83","407"
"Unknown","Bibb","67","0","1"
"Female","Bleckley","297","13","15"
"Male","Bleckley","195","8","18"
"Unknown","Bleckley","9","0","0"
"Female","Brantley","240","6","21"
"Male","Brantley","168","6","17"
"Unknown","Brantley","2","0","0"
"Female","Brooks","299","6","27"
"Male","Brooks","234","21","28"
"Unknown","Brooks","13","0","0"
"Female","Bryan","677","7","41"
"Male","Bryan","576","7","50"
"Unknown","Bryan","20","0","0"
"Female","Bulloch","1721","21","77"
"Male","Bulloch","1264","12","61"
"Unknown","Bulloch","43","0","0"
"Female","Burke","473","7","47"
"Male","Burke","392","4","42"
"Unknown","Burke","6","0","1"
"Female","Butts","337","20","23"
"Male","Butts","346","23","30"
"Unknown","Butts","42","0","2"
"Female","Calhoun","131","7","22"
"Male","Calhoun","129","2","26"
"Unknown","Calhoun","1","0","0"
"Female","Camden","718","8","37"
"Male","Camden","659","9","32"
"Unknown","Camden","10","0","0"
"Female","Candler","286","9","17"
"Male","Candler","237","15","18"
"Unknown","Candler","2","0","0"
"Female","Carroll","1663","36","85"
"Male","Carroll","1495","39","89"
"Unknown","Carroll","36","0","2"
"Female","Catoosa","697","13","54"
"Male","Catoosa","613","7","27"
"Unknown","Catoosa","40","0","0"
"Female","Charlton","221","4","13"
"Male","Charlton","417","6","14"
"Unknown","Charlton","5","0","0"
"Female","Chatham","5054","82","431"
"Male","Chatham","3962","101","384"
"Unknown","Chatham","159","0","3"
"Female","Chattahoochee","105","1","5"
"Male","Chattahoochee","1617","0","9"
"Unknown","Chattahoochee","6","0","0"
"Female","Chattooga","470","12","23"
"Male","Chattooga","395","15","39"
"Unknown","Chattooga","16","0","2"
"Female","Cherokee","3533","49","256"
"Male","Cherokee","3153","51","260"
"Unknown","Cherokee","92","0","3"
"Female","Clarke","3041","19","118"
"Male","Clarke","2481","27","119"
"Unknown","Clarke","47","0","2"
"Female","Clay","73","1","3"
"Male","Clay","46","2","6"
"Unknown","Clay","3","0","0"
"Female","Clayton","4378","93","358"
"Male","Clayton","3404","81","315"
"Unknown","Clayton","115","0","4"
"Female","Clinch","222","2","13"
