"age group","county name","cases","deaths","hospitalization"
"01-04 years","Georgia","3776","1","82"
"05-09 years","Georgia","5518","1","59"
"10-17 years","Georgia","19425","4","269"
"18-29 years","Georgia","82872","55","1981"
"30-39 years","Georgia","53868","129","2667"
"40-49 years","Georgia","51240","282","3791"
"50-59 years","Georgia","47115","692","5339"
"60-69 years","Georgia","31697","1441","5966"
"70-79 years","Georgia","18413","1987","5107"
"80 & Older years","Georgia","12051","2754","4127"
"<1 years","Georgia","1193","0","67"
"Unknown years","Georgia","1864","2","55"
"01-04 years","Appling","15","0","0"
"05-09 years","Appling","31","0","0"
"10-17 years","Appling","86","0","1"
"18-29 years","Appling","209","0","4"
"30-39 years","Appling","158","1","4"
"40-49 years","Appling","153","1","11"
"50-59 years","Appling","168","6","16"
"60-69 years","Appling","134","6","27"
"70-79 years","Appling","92","10","22"
"80 & Older years","Appling","41","10","14"
"<1 years","Appling","3","0","0"
"Unknown years","Appling","3","0","0"
"01-04 years","Atkinson","3","0","1"
"05-09 years","Atkinson","11","0","1"
"10-17 years","Atkinson","21","0","0"
"18-29 years","Atkinson","99","0","7"
"30-39 years","Atkinson","75","0","6"
"40-49 years","Atkinson","81","0","11"
"50-59 years","Atkinson","79","0","13"
"60-69 years","Atkinson","47","2","10"
"70-79 years","Atkinson","25","1","5"
"80 & Older years","Atkinson","8","1","5"
"<1 years","Atkinson","2","0","0"
"Unknown years","Atkinson","5","0","0"
"01-04 years","Bacon","11","0","0"
"05-09 years","Bacon","12","0","0"
"10-17 years","Bacon","41","0","0"
"18-29 years","Bacon","157","0","1"
"30-39 years","Bacon","79","0","2"
"40-49 years","Bacon","102","1","6"
"50-59 years","Bacon","90","2","12"
"60-69 years","Bacon","56","4","12"
"70-79 years","Bacon","37","3","8"
"80 & Older years","Bacon","21","4","6"
"<1 years","Bacon","4","0","0"
"Unknown years","Bacon","2","0","0"
"01-04 years","Baker","4","0","0"
"05-09 years","Baker","3","0","0"
"10-17 years","Baker","4","0","0"
"18-29 years","Baker","15","0","0"
"30-39 years","Baker","11","0","2"
"40-49 years","Baker","7","0","1"
"50-59 years","Baker","13","0","1"
"60-69 years","Baker","13","2","6"
"70-79 years","Baker","12","2","8"
"80 & Older years","Baker","3","2","2"
"01-04 years","Baldwin","10","0","0"
"05-09 years","Baldwin","24","0","0"
"10-17 years","Baldwin","74","0","1"
"18-29 years","Baldwin","884","0","8"
