"age group","county name","cases","deaths","hospitalization"
"01-04 years","Georgia","8959","1","166"
"05-09 years","Georgia","14640","2","123"
"10-17 years","Georgia","51581","6","504"
"18-29 years","Georgia","165057","81","3069"
"30-39 years","Georgia","117528","192","3999"
"40-49 years","Georgia","114193","426","5810"
"50-59 years","Georgia","108412","1106","8533"
"60-69 years","Georgia","73528","2372","10041"
"70-79 years","Georgia","43327","3374","9385"
"80 & Older years","Georgia","25545","4571","7395"
"<1 years","Georgia","2517","0","124"
"Unknown years","Georgia","6539","4","98"
"01-04 years","Appling","23","0","0"
"05-09 years","Appling","44","0","0"
"10-17 years","Appling","139","0","1"
"18-29 years","Appling","312","1","4"
"30-39 years","Appling","223","1","5"
"40-49 years","Appling","228","3","17"
"50-59 years","Appling","256","6","21"
"60-69 years","Appling","213","11","39"
"70-79 years","Appling","143","13","29"
"80 & Older years","Appling","68","14","25"
"<1 years","Appling","4","0","0"
"Unknown years","Appling","4","0","0"
"01-04 years","Atkinson","5","0","1"
"05-09 years","Atkinson","18","0","1"
"10-17 years","Atkinson","46","0","0"
"18-29 years","Atkinson","159","0","8"
"30-39 years","Atkinson","118","0","9"
"40-49 years","Atkinson","121","1","21"
"50-59 years","Atkinson","127","1","21"
"60-69 years","Atkinson","78","4","22"
"70-79 years","Atkinson","44","3","13"
"80 & Older years","Atkinson","14","4","9"
"<1 years","Atkinson","3","0","0"
"Unknown years","Atkinson","1","0","0"
"01-04 years","Bacon","17","0","0"
"05-09 years","Bacon","22","0","0"
"10-17 years","Bacon","67","0","1"
"18-29 years","Bacon","226","0","1"
"30-39 years","Bacon","128","0","4"
"40-49 years","Bacon","153","1","10"
"50-59 years","Bacon","144","2","16"
"60-69 years","Bacon","111","7","19"
"70-79 years","Bacon","70","6","12"
"80 & Older years","Bacon","36","8","7"
"<1 years","Bacon","6","0","0"
"Unknown years","Bacon","1","0","0"
"01-04 years","Baker","5","0","0"
"05-09 years","Baker","4","0","0"
"10-17 years","Baker","9","0","0"
"18-29 years","Baker","22","0","0"
"30-39 years","Baker","21","0","2"
"40-49 years","Baker","13","0","1"
"50-59 years","Baker","18","0","1"
"60-69 years","Baker","30","2","14"
"70-79 years","Baker","18","2","10"
"80 & Older years","Baker","8","2","3"
"<1 years","Baker","2","0","0"
"01-04 years","Baldwin","26","0","0"
"05-09 years","Baldwin","48","0","0"
"10-17 years","Baldwin","157","1","5"
"18-29 years","Baldwin","1169","0","13"
"30-39 years","Baldwin","407","1","15"
"40-49 years","Baldwin","427","2","29"
"50-59 years","Baldwin","439","10","49"
"60-69 years","Baldwin","347","18","59"
"70-79 years","Baldwin","230","21","45"
"80 & Older years","Baldwin","127","35","45"
"<1 years","Baldwin","11","0","0"
"01-04 years","Banks","7","0","0"
"05-09 years","Banks","20","0","1"
"10-17 years","Banks","93","0","2"
"18-29 years","Banks","259","0","5"
"30-39 years","Banks","176","0","4"
"40-49 years","Banks","195","0","14"
"50-59 years","Banks","220","0","18"
"60-69 years","Banks","184","4","35"
"70-79 years","Banks","139","11","50"
"80 & Older years","Banks","78","10","27"
"<1 years","Banks","4","0","1"
"Unknown years","Banks","46","0","1"
"01-04 years","Barrow","69","0","0"
"05-09 years","Barrow","127","0","0"
"10-17 years","Barrow","500","0","6"
"18-29 years","Barrow","1445","1","30"
"30-39 years","Barrow","1226","1","37"
"40-49 years","Barrow","1260","4","55"
"50-59 years","Barrow","1073","3","78"
"60-69 years","Barrow","710","18","111"
"70-79 years","Barrow","418","22","89"
"80 & Older years","Barrow","206","38","67"
"<1 years","Barrow","26","0","2"
"Unknown years","Barrow","22","0","0"
"01-04 years","Bartow","74","0","3"
"05-09 years","Bartow","162","0","1"
"10-17 years","Bartow","736","0","6"
"18-29 years","Bartow","1655","0","15"
"30-39 years","Bartow","1353","4","34"
"40-49 years","Bartow","1405","1","60"
"50-59 years","Bartow","1444","10","106"
"60-69 years","Bartow","864","24","114"
"70-79 years","Bartow","610","51","128"
"80 & Older years","Bartow","298","59","94"
"<1 years","Bartow","26","0","2"
"Unknown years","Bartow","101","0","7"
"01-04 years","Ben Hill","28","0","1"
"05-09 years","Ben Hill","19","0","0"
"10-17 years","Ben Hill","95","0","0"
"18-29 years","Ben Hill","247","0","4"
"30-39 years","Ben Hill","204","3","9"
"40-49 years","Ben Hill","189","1","9"
"50-59 years","Ben Hill","231","4","26"
"60-69 years","Ben Hill","191","11","25"
"70-79 years","Ben Hill","138","18","49"
"80 & Older years","Ben Hill","62","11","15"
