"","location","State_Code","date_time_accessed","WeekStart","state_weekly_cases","national_weekly_cases","national_weekly_deaths","national_weekly_rec","epiweek"
"37","Hawaii","HI",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"38","Hawaii","HI",2020-03-18 10:45:53,2020-03-01,1,353,19,0,10
"39","Hawaii","HI",2020-03-18 10:45:53,2020-03-08,3,2825,56,0,11
"40","Hawaii","HI",2020-03-18 10:45:53,2020-03-15,6,5626,90,0,12
"41","Idaho","ID",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"42","Idaho","ID",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"43","Idaho","ID",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"44","Idaho","ID",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"45","Idaho","ID",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"46","Idaho","ID",2020-03-18 10:45:53,2020-03-01,0,353,19,0,10
"47","Idaho","ID",2020-03-18 10:45:53,2020-03-08,5,2825,56,0,11
"48","Idaho","ID",2020-03-18 10:45:53,2020-03-15,3,5626,90,0,12
"49","Montana","MT",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"50","Montana","MT",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"51","Montana","MT",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"52","Montana","MT",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"53","Montana","MT",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"54","Montana","MT",2020-03-18 10:45:53,2020-03-01,0,353,19,0,10
"55","Montana","MT",2020-03-18 10:45:53,2020-03-08,6,2825,56,0,11
"56","Montana","MT",2020-03-18 10:45:53,2020-03-15,3,5626,90,0,12
"57","New Mexico","NM",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"58","New Mexico","NM",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"59","New Mexico","NM",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"60","New Mexico","NM",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"61","New Mexico","NM",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"62","New Mexico","NM",2020-03-18 10:45:53,2020-03-01,0,353,19,0,10
"63","New Mexico","NM",2020-03-18 10:45:53,2020-03-08,13,2825,56,0,11
