"ethnicity","race","cases","deaths"
"Hispanic/Latino","African-American/Black","5017","39"
"Hispanic/Latino","American Indian/Alaska Native","277","1"
"Hispanic/Latino","Asian","497","6"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","360","6"
"Hispanic/Latino","Other","45468","447"
"Hispanic/Latino","Unknown","22045","9"
"Hispanic/Latino","White","60347","746"
"Non-Hispanic/Latino","African-American/Black","332734","8294"
"Non-Hispanic/Latino","American Indian/Alaska Native","601","18"
"Non-Hispanic/Latino","Asian","23921","418"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","954","15"
"Non-Hispanic/Latino","Other","21389","290"
"Non-Hispanic/Latino","Unknown","11097","13"
"Non-Hispanic/Latino","White","482768","14565"
"Unknown","African-American/Black","28632","28"
"Unknown","American Indian/Alaska Native","217","0"
"Unknown","Asian","5116","2"
"Unknown","Native Hawaiian/Pacific Islander","216","0"
"Unknown","Other","28818","17"
"Unknown","Unknown","153656","80"
"Unknown","White","43632","48"
