"county_name","cases","county_id","State FIPS code","County FIPS code","population","confirmed_case_hospitalization","deaths","case rate","death rate","14 day case rate","14 day cases","antigen_cases","probable_deaths","antigen_case_hospitalization"
"Appling","2786","US-13001","13","1","18561","239","95","15009.97","511.83","123.92","23","723","9","15"
"Atkinson","1179","US-13003","13","3","8330","176","32","14153.66","384.15","108.04","9","394","5","17"
"Bacon","1937","US-13005","13","5","11404","152","50","16985.27","438.44","675.2","77","677","11","13"
"Baker","242","US-13007","13","7","3116","44","13","7766.37","417.2","32.09","1","127","1","3"
"Baldwin","5268","US-13009","13","9","44428","391","167","11857.39","375.89","69.78","31","1420","24","16"
"Banks","2412","US-13011","13","11","19982","278","58","12070.86","290.26","130.12","26","326","4","4"
"Barrow","13074","US-13013","13","13","86383","862","192","15134.92","222.27","158.6","137","1704","7","5"
"Bartow","15471","US-13015","13","15","110771","1017","308","13966.65","278.05","120.97","134","5022","39","69"
"Ben Hill","1860","US-13017","13","17","16645","180","68","11174.53","408.53","24.03","4","1364","33","60"
"Berrien","1536","US-13019","13","19","19276","91","48","7968.46","249.01","31.13","6","1950","20","32"
"Bibb","20246","US-13021","13","21","152150","2311","576","13306.61","378.57","60.47","92","5328","61","62"
"Bleckley","1096","US-13023","13","23","12838","63","39","8537.16","303.79","15.58","2","1209","36","61"
"Brantley","1890","US-13025","13","25","19202","158","75","9842.72","390.58","26.04","5","1235","12","31"
"Brooks","1391","US-13027","13","27","15727","130","53","8844.66","337","19.08","3","1028","17","24"
"Bryan","4621","US-13029","13","29","39137","320","64","11807.24","163.53","51.1","20","1661","7","13"
"Bulloch","7916","US-13031","13","31","79467","299","98","9961.37","123.32","27.68","22","3251","105","176"
"Burke","2301","US-13033","13","33","22342","193","48","10298.99","214.84","53.71","12","1440","36","27"
"Butts","3363","US-13035","13","35","25174","191","109","13359.02","432.99","79.45","20","1319","10","15"
"Calhoun","619","US-13037","13","37","6317","90","21","9798.96","332.44","158.3","10","224","0","2"
