"ethnicity","race","cases","deaths"
"Hispanic/Latino","African-American/Black","4977","39"
"Hispanic/Latino","American Indian/Alaska Native","277","1"
"Hispanic/Latino","Asian","489","6"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","360","6"
"Hispanic/Latino","Other","45436","446"
"Hispanic/Latino","Unknown","22061","9"
"Hispanic/Latino","White","60089","744"
"Non-Hispanic/Latino","African-American/Black","331222","8255"
"Non-Hispanic/Latino","American Indian/Alaska Native","601","18"
"Non-Hispanic/Latino","Asian","23776","417"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","951","15"
"Non-Hispanic/Latino","Other","21437","284"
"Non-Hispanic/Latino","Unknown","11119","13"
"Non-Hispanic/Latino","White","480478","14494"
"Unknown","African-American/Black","28606","28"
"Unknown","American Indian/Alaska Native","217","0"
"Unknown","Asian","5119","2"
"Unknown","Native Hawaiian/Pacific Islander","216","0"
"Unknown","Other","28816","18"
"Unknown","Unknown","156361","78"
"Unknown","White","43608","48"
