"county_name","cases","county_id","State FIPS code","County FIPS code","population","hospitalization","deaths","case rate","death rate","14 day case rate","14 day cases","antigen_cases","probable_deaths"
"Appling","1837","US-13001","13","1","18561","163","59","9897.1","317.87","317.87","59","371","5"
"Atkinson","760","US-13003","13","3","8330","115","18","9123.65","216.09","120.05","10","216","1"
"Bacon","1017","US-13005","13","5","11404","74","26","8917.92","227.99","78.92","9","335","8"
"Baker","158","US-13007","13","7","3116","32","7","5070.6","224.65","160.46","5","63","0"
"Baldwin","3721","US-13009","13","9","44428","300","102","8375.35","229.58","166.56","74","561","10"
"Banks","1552","US-13011","13","11","19982","178","33","7766.99","165.15","220.2","44","146","1"
"Barrow","8053","US-13013","13","13","86383","561","117","9322.44","135.44","328.77","284","967","1"
"Bartow","10255","US-13015","13","15","110771","726","184","9257.84","166.11","481.17","533","2804","14"
"Ben Hill","1465","US-13017","13","17","16645","148","55","8801.44","330.43","108.14","18","563","18"
"Berrien","1013","US-13019","13","19","19276","68","29","5255.24","150.45","103.76","20","715","12"
"Bibb","12845","US-13021","13","21","152150","1653","353","8442.33","232.01","331.25","504","2091","33"
"Bleckley","780","US-13023","13","23","12838","45","33","6075.71","257.05","124.63","16","628","16"
"Brantley","871","US-13025","13","25","19202","67","26","4535.99","135.4","104.16","20","648","3"
"Brooks","902","US-13027","13","27","15727","85","37","5735.36","235.26","120.81","19","408","8"
"Bryan","2504","US-13029","13","29","39137","170","30","6398.04","76.65","416.49","163","717","3"
"Bulloch","5066","US-13031","13","31","79467","203","50","6374.97","62.92","192.53","153","1370","42"
"Burke","1675","US-13033","13","33","22342","143","31","7497.09","138.75","223.79","50","719","21"
"Butts","1994","US-13035","13","35","25174","110","68","7920.87","270.12","258.2","65","705","5"
"Calhoun","448","US-13037","13","37","6317","73","15","7091.97","237.45","332.44","21","129","0"
"Camden","3071","US-13039","13","39","53924","117","26","5695.05","48.22","191.01","103","647","5"
"Candler","726","US-13043","13","43","10837","60","33","6699.27","304.51","110.73","12","186","26"
"Carroll","7008","US-13045","13","45","120119","291","124","5834.21","103.23","157.34","189","3568","91"
"Catoosa","5141","US-13047","13","47","68771","230","58","7475.53","84.34","347.53","239","451","5"
"Charlton","1017","US-13049","13","49","13251","56","19","7674.89","143.39","135.84","18","288","8"
"Chatham","18662","US-13051","13","51","292176","1500","348","6387.25","119.11","288.87","844","2267","24"
"Chattahoochee","2676","US-13053","13","53","10749","23","9","24895.34","83.73","781.47","84","411","2"
"Chattooga","2099","US-13055","13","55","24766","160","59","8475.33","238.23","246.31","61","482","7"
"Cherokee","20374","US-13057","13","57","266617","1127","256","7641.67","96.02","403.58","1076","7175","11"
"Clarke","12040","US-13059","13","59","129779","467","113","9277.31","87.07","228.08","296","2101","6"
"Clay","180","US-13061","13","61","2855","9","3","6304.73","105.08","105.08","3","52","0"
"Clayton","21190","US-13063","13","63","304838","1227","372","6951.23","122.03","267.36","815","2189","19"
"Clinch","701","US-13065","13","65","6656","63","23","10531.85","345.55","135.22","9","213","1"
"Cobb","55614","US-13067","13","67","790588","2808","852","7034.51","107.77","246.4","1948","14244","68"
"Coffee","4153","US-13069","13","69","43042","629","121","9648.72","281.12","176.57","76","1032","30"
"Colquitt","3308","US-13071","13","71","45393","228","66","7287.47","145.4","268.76","122","1090","35"
"Columbia","10540","US-13073","13","73","158631","448","148","6644.35","93.3","175.25","278","5239","39"
"Cook","1139","US-13075","13","75","17437","104","35","6532.09","200.72","97.49","17","588","4"
"Coweta","8063","US-13077","13","77","152001","283","151","5304.57","99.34","270.39","411","4932","12"
"Crawford","502","US-13079","13","79","12228","60","14","4105.33","114.49","57.25","7","119","2"
"Crisp","1316","US-13081","13","81","22289","149","41","5904.26","183.95","103.19","23","596","20"
"Dade","1103","US-13083","13","83","16162","51","9","6824.65","55.69","303.18","49","171","1"
"Dawson","2553","US-13085","13","85","27021","224","34","9448.21","125.83","236.85","64","248","1"
"DeKalb","51959","US-13089","13","89","793154","4153","778","6550.93","98.09","247.49","1963","5367","62"
"Decatur","2055","US-13087","13","87","26322","136","53","7807.16","201.35","163.36","43","685","12"
"Dodge","1075","US-13091","13","91","20385","104","57","5273.49","279.62","103.02","21","987","42"
"Dooly","744","US-13093","13","93","13400","84","28","5552.24","208.96","246.27","33","267","12"
"Dougherty","5282","US-13095","13","95","89905","966","265","5875.09","294.76","121.24","109","1784","17"
"Douglas","10894","US-13097","13","97","151906","747","153","7171.54","100.72","274.51","417","2599","29"
"Early","974","US-13099","13","99","10146","67","40","9599.84","394.24","177.41","18","148","4"
"Echols","354","US-13101","13","101","3969","12","2","8919.12","50.39","75.59","3","100","4"
"Effingham","3601","US-13103","13","103","64026","225","59","5624.28","92.15","306.13","196","616","2"
"Elbert","1485","US-13105","13","105","18945","120","50","7838.48","263.92","110.85","21","733","12"
"Emanuel","1695","US-13107","13","107","22664","120","51","7478.82","225.03","127.96","29","768","27"
"Evans","736","US-13109","13","109","10687","70","14","6886.87","131","205.86","22","181","9"
