Ethnicity,race,Confirmed_Cases,Deaths
Hispanic/Latino,African-American/Black,154,6
Hispanic/Latino,American Indian/Alaska Native,14,1
Hispanic/Latino,Asian,19,0
Hispanic/Latino,Native Hawaiian/Pacific Islander,8,0
Hispanic/Latino,Other,2350,34
Hispanic/Latino,Unknown,703,1
Hispanic/Latino,White,3649,51
Non-Hispanic/Latino,African-American/Black,13217,1039
Non-Hispanic/Latino,American Indian/Alaska Native,36,3
Non-Hispanic/Latino,Asian,549,31
Non-Hispanic/Latino,Native Hawaiian/Pacific Islander,26,5
Non-Hispanic/Latino,Other,437,4
Non-Hispanic/Latino,Unknown,347,2
Non-Hispanic/Latino,White,10843,969
Unknown,African-American/Black,2766,13
Unknown,American Indian/Alaska Native,5,0
Unknown,Asian,184,1
Unknown,Native Hawaiian/Pacific Islander,13,0
Unknown,Other,554,2
Unknown,Unknown,12857,8
Unknown,White,1890,4
