"ethnicity","race","cases","deaths"
"Hispanic/Latino","African-American/Black","9171","46"
"Hispanic/Latino","American Indian/Alaska Native","596","3"
"Hispanic/Latino","Asian","1052","3"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","660","4"
"Hispanic/Latino","Other","60677","499"
"Hispanic/Latino","Unknown","37603","8"
"Hispanic/Latino","White","87984","919"
"Non-Hispanic/Latino","African-American/Black","513483","10074"
"Non-Hispanic/Latino","American Indian/Alaska Native","1086","28"
"Non-Hispanic/Latino","Asian","44219","516"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","1399","15"
"Non-Hispanic/Latino","Other","34604","199"
"Non-Hispanic/Latino","Unknown","18591","6"
"Non-Hispanic/Latino","White","710945","18200"
"Unknown","African-American/Black","40577","15"
"Unknown","American Indian/Alaska Native","619","0"
"Unknown","Asian","7365","2"
"Unknown","Native Hawaiian/Pacific Islander","415","0"
"Unknown","Other","33796","10"
"Unknown","Unknown","265794","106"
"Unknown","White","51736","31"
