"ethnicity","race","cases","deaths"
"Hispanic/Latino","African-American/Black","5419","35"
"Hispanic/Latino","American Indian/Alaska Native","279","2"
"Hispanic/Latino","Asian","547","3"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","373","4"
"Hispanic/Latino","Other","46807","436"
"Hispanic/Latino","Unknown","24174","8"
"Hispanic/Latino","White","62828","800"
"Non-Hispanic/Latino","African-American/Black","348941","8641"
"Non-Hispanic/Latino","American Indian/Alaska Native","621","23"
"Non-Hispanic/Latino","Asian","25312","436"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","986","16"
"Non-Hispanic/Latino","Other","21377","89"
"Non-Hispanic/Latino","Unknown","10945","12"
"Non-Hispanic/Latino","White","507828","15177"
"Unknown","African-American/Black","26494","28"
"Unknown","American Indian/Alaska Native","220","0"
"Unknown","Asian","4899","2"
"Unknown","Native Hawaiian/Pacific Islander","208","0"
"Unknown","Other","27663","8"
"Unknown","Unknown","134352","80"
"Unknown","White","41196","47"
