"age group","county name","cases","deaths","hospitalization"
"01-04 years","Georgia","20833","2","353"
"05-09 years","Georgia","38699","3","273"
"10-17 years","Georgia","111748","11","1010"
"18-29 years","Georgia","258644","169","5002"
"30-39 years","Georgia","194531","376","6647"
"40-49 years","Georgia","181327","915","9438"
"50-59 years","Georgia","166057","2253","13887"
"60-69 years","Georgia","111101","4372","15848"
"70-79 years","Georgia","63119","5963","14578"
"80 & Older years","Georgia","35042","7362","10906"
"<1 years","Georgia","5583","0","293"
"Unknown years","Georgia","4421","0","141"
"01-04 years","Appling","53","0","0"
"05-09 years","Appling","89","0","0"
"10-17 years","Appling","315","0","2"
"18-29 years","Appling","477","1","7"
"30-39 years","Appling","352","1","9"
"40-49 years","Appling","362","5","24"
"50-59 years","Appling","385","10","36"
"60-69 years","Appling","317","16","63"
"70-79 years","Appling","214","22","39"
"80 & Older years","Appling","106","24","39"
"<1 years","Appling","8","0","0"
"Unknown years","Appling","3","0","0"
"01-04 years","Atkinson","17","0","1"
"05-09 years","Atkinson","46","0","1"
"10-17 years","Atkinson","105","0","1"
"18-29 years","Atkinson","238","0","14"
"30-39 years","Atkinson","168","0","13"
"40-49 years","Atkinson","182","2","31"
"50-59 years","Atkinson","169","2","32"
"60-69 years","Atkinson","105","7","32"
"70-79 years","Atkinson","59","6","23"
"80 & Older years","Atkinson","18","5","12"
"<1 years","Atkinson","3","0","0"
"01-04 years","Bacon","36","0","0"
"05-09 years","Bacon","53","0","0"
"10-17 years","Bacon","162","0","1"
"18-29 years","Bacon","495","0","6"
"30-39 years","Bacon","256","1","7"
"40-49 years","Bacon","255","4","18"
"50-59 years","Bacon","205","2","18"
"60-69 years","Bacon","177","13","41"
"70-79 years","Bacon","107","9","27"
"80 & Older years","Bacon","46","11","15"
"<1 years","Bacon","10","0","0"
"Unknown years","Bacon","5","0","0"
"01-04 years","Baker","9","0","0"
"05-09 years","Baker","9","0","0"
"10-17 years","Baker","13","0","0"
"18-29 years","Baker","40","0","0"
"30-39 years","Baker","27","0","4"
"40-49 years","Baker","26","3","3"
"50-59 years","Baker","34","0","2"
"60-69 years","Baker","38","3","16"
"70-79 years","Baker","20","3","11"
"80 & Older years","Baker","14","4","5"
"<1 years","Baker","2","0","0"
"01-04 years","Baldwin","64","0","0"
"05-09 years","Baldwin","125","0","0"
"10-17 years","Baldwin","386","1","6"
"18-29 years","Baldwin","1544","0","17"
"30-39 years","Baldwin","666","1","18"
"40-49 years","Baldwin","657","4","39"
"50-59 years","Baldwin","634","17","68"
"60-69 years","Baldwin","499","27","83"
"70-79 years","Baldwin","303","35","65"
"80 & Older years","Baldwin","191","57","69"
"<1 years","Baldwin","23","0","1"
"Unknown years","Baldwin","3","0","0"
"01-04 years","Banks","21","0","1"
"05-09 years","Banks","55","0","1"
"10-17 years","Banks","182","0","5"
"18-29 years","Banks","421","0","13"
"30-39 years","Banks","308","0","11"
