"Ethnicity","race","cases","Deaths"
"Hispanic/Latino","African-American/Black","3096","24"
"Hispanic/Latino","American Indian/Alaska Native","144","0"
"Hispanic/Latino","Asian","321","2"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","210","2"
"Hispanic/Latino","Other","34431","338"
"Hispanic/Latino","Unknown","14323","8"
"Hispanic/Latino","White","45611","616"
"Non-Hispanic/Latino","African-American/Black","225002","6304"
"Non-Hispanic/Latino","American Indian/Alaska Native","379","11"
"Non-Hispanic/Latino","Asian","17083","366"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","679","10"
"Non-Hispanic/Latino","Other","11676","57"
"Non-Hispanic/Latino","Unknown","6838","15"
"Non-Hispanic/Latino","White","328786","10363"
"Unknown","African-American/Black","24377","15"
"Unknown","American Indian/Alaska Native","138","0"
"Unknown","Asian","3824","1"
"Unknown","Native Hawaiian/Pacific Islander","170","0"
"Unknown","Other","25323","9"
"Unknown","Unknown","117242","29"
"Unknown","White","38211","20"
