,date,time_reported,cases_cumulative,fatalities_cumulative,hospitalizations_cumulative,tests_cumulative,new_cases,new_fatalities,new_tests,new_hospitalizations,source_cases,source_fatalities,source_tests
31,4/1/20,7:00 PM,4748,154,NA,20328,631,29,4147,NA,https://dph.georgia.gov/covid-19-daily-status-report,https://dph.georgia.gov/covid-19-daily-status-report,https://dph.georgia.gov/covid-19-daily-status-report
32,4/2/20,7:00 PM,5444,176,NA,22957,696,22,2629,NA,https://dph.georgia.gov/covid-19-daily-status-report,https://dph.georgia.gov/covid-19-daily-status-report,https://dph.georgia.gov/covid-19-daily-status-report
33,4/3/20,7:00 PM,5967,198,NA,25265,523,22,2308,NA,https://dph.georgia.gov/covid-19-daily-status-report,https://dph.georgia.gov/covid-19-daily-status-report,https://dph.georgia.gov/covid-19-daily-status-report
34,4/4/20,7:00 PM,6383,208,NA,26294,416,10,1029,NA,https://dph.georgia.gov/covid-19-daily-status-report,https://dph.georgia.gov/covid-19-daily-status-report,https://dph.georgia.gov/covid-19-daily-status-report
35,4/5/20,7:00 PM,6742,219,NA,27832,359,11,1538,NA,https://dph.georgia.gov/covid-19-daily-status-report,https://dph.georgia.gov/covid-19-daily-status-report,https://dph.georgia.gov/covid-19-daily-status-report
36,4/6/20,7:00 PM,7558,294,NA,31274,816,75,3442,NA,https://dph.georgia.gov/covid-19-daily-status-report,https://dph.georgia.gov/covid-19-daily-status-report,https://dph.georgia.gov/covid-19-daily-status-report
37,4/7/20,7:00 PM,9156,348,NA,33785,1598,54,2511,NA,https://dph.georgia.gov/covid-19-daily-status-report,https://dph.georgia.gov/covid-19-daily-status-report,https://dph.georgia.gov/covid-19-daily-status-report
38,4/8/20,7:00 PM,10189,369,NA,38787,1033,21,5002,NA,https://dph.georgia.gov/covid-19-daily-status-report,https://dph.georgia.gov/covid-19-daily-status-report,https://dph.georgia.gov/covid-19-daily-status-report
39,4/9/20,7:00 PM,10885,412,NA,41085,696,43,2298,NA,https://dph.georgia.gov/covid-19-daily-status-report,https://dph.georgia.gov/covid-19-daily-status-report,https://dph.georgia.gov/covid-19-daily-status-report
40,4/10/20,7:00 PM,11859,425,NA,46147,974,13,5062,NA,https://dph.georgia.gov/covid-19-daily-status-report,https://dph.georgia.gov/covid-19-daily-status-report,https://dph.georgia.gov/covid-19-daily-status-report
41,4/11/20,7:00 PM,12261,432,NA,51715,402,7,5568,NA,https://dph.georgia.gov/covid-19-daily-status-report,https://dph.georgia.gov/covid-19-daily-status-report,https://dph.georgia.gov/covid-19-daily-status-report
42,4/12/20,7:00 PM,12545,442,NA,54453,284,10,2738,NA,https://dph.georgia.gov/covid-19-daily-status-report,https://dph.georgia.gov/covid-19-daily-status-report,https://dph.georgia.gov/covid-19-daily-status-report
43,4/13/20,11:56:13,13315,464,2589,57021,770,22,2568,2589,https://d20s4vd27d0hk0.cloudfront.net/?initialWidth=578&childId=covid19dashdph&parentTitle=COVID-19%20Daily%20Status%20Report%20%7C%20Georgia%20Department%20of%20Public%20Health&parentUrl=https%3A%2F%2Fdph.georgia.gov%2Fcovid-19-daily-status-report%23main-content,https://d20s4vd27d0hk0.cloudfront.net/?initialWidth=578&childId=covid19dashdph&parentTitle=COVID-19%20Daily%20Status%20Report%20%7C%20Georgia%20Department%20of%20Public%20Health&parentUrl=https%3A%2F%2Fdph.georgia.gov%2Fcovid-19-daily-status-report%23main-content,https://d20s4vd27d0hk0.cloudfront.net/?initialWidth=578&childId=covid19dashdph&parentTitle=COVID-19%20Daily%20Status%20Report%20%7C%20Georgia%20Department%20of%20Public%20Health&parentUrl=https%3A%2F%2Fdph.georgia.gov%2Fcovid-19-daily-status-report%23main-content
