"ethnicity","race","cases","deaths"
"Hispanic/Latino","African-American/Black","6248","36"
"Hispanic/Latino","American Indian/Alaska Native","313","2"
"Hispanic/Latino","Asian","632","3"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","404","4"
"Hispanic/Latino","Other","48829","453"
"Hispanic/Latino","Unknown","25245","14"
"Hispanic/Latino","White","66894","833"
"Non-Hispanic/Latino","African-American/Black","387804","8840"
"Non-Hispanic/Latino","American Indian/Alaska Native","746","23"
"Non-Hispanic/Latino","Asian","28057","443"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","1041","17"
"Non-Hispanic/Latino","Other","23070","98"
"Non-Hispanic/Latino","Unknown","10098","12"
"Non-Hispanic/Latino","White","541535","15499"
"Unknown","African-American/Black","30160","15"
"Unknown","American Indian/Alaska Native","238","0"
"Unknown","Asian","5190","2"
"Unknown","Native Hawaiian/Pacific Islander","253","0"
"Unknown","Other","29212","13"
"Unknown","Unknown","153713","76"
"Unknown","White","42801","24"
