"Ethnicity","race","cases","Deaths"
"Hispanic/Latino","African-American/Black","2640","19"
"Hispanic/Latino","American Indian/Alaska Native","129","0"
"Hispanic/Latino","Asian","280","1"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","183","1"
"Hispanic/Latino","Other","29995","302"
"Hispanic/Latino","Unknown","13512","12"
"Hispanic/Latino","White","39966","533"
"Non-Hispanic/Latino","African-American/Black","193083","5425"
"Non-Hispanic/Latino","American Indian/Alaska Native","357","11"
"Non-Hispanic/Latino","Asian","14815","316"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","587","12"
"Non-Hispanic/Latino","Other","10314","52"
"Non-Hispanic/Latino","Unknown","7333","46"
"Non-Hispanic/Latino","White","283867","9120"
"Unknown","African-American/Black","26545","25"
"Unknown","American Indian/Alaska Native","162","0"
"Unknown","Asian","3505","2"
"Unknown","Native Hawaiian/Pacific Islander","171","0"
"Unknown","Other","26321","21"
"Unknown","Unknown","143529","51"
"Unknown","White","41276","48"
