"county_name","cases","county_id","State FIPS code","County FIPS code","population","hospitalization","deaths","case rate","death rate","14 day case rate","14 day cases","antigen_cases","probable_deaths"
"Appling","1859","US-13001","13","1","18561","165","61","10015.62","328.65","134.69","25","384","5"
"Atkinson","761","US-13003","13","3","8330","113","16","9135.65","192.08","24.01","2","219","1"
"Bacon","1022","US-13005","13","5","11404","76","28","8961.77","245.53","17.54","2","336","8"
"Baker","159","US-13007","13","7","3116","33","9","5102.7","288.83","0","0","63","0"
"Baldwin","3754","US-13009","13","9","44428","308","107","8449.63","240.84","78.78","35","590","12"
"Banks","1579","US-13011","13","11","19982","181","33","7902.11","165.15","130.12","26","154","1"
"Barrow","8234","US-13013","13","13","86383","568","118","9531.97","136.6","175.96","152","1024","1"
"Bartow","10577","US-13015","13","15","110771","756","191","9548.53","172.43","273.54","303","2948","14"
"Ben Hill","1472","US-13017","13","17","16645","148","55","8843.5","330.43","6.01","1","567","18"
"Berrien","1033","US-13019","13","19","19276","69","29","5359","150.45","93.38","18","738","12"
"Bibb","12988","US-13021","13","21","152150","1686","368","8536.31","241.87","94.64","144","2201","36"
"Bleckley","789","US-13023","13","23","12838","46","33","6145.82","257.05","62.32","8","630","16"
"Brantley","887","US-13025","13","25","19202","67","29","4619.31","151.03","62.49","12","656","4"
"Brooks","920","US-13027","13","27","15727","85","36","5849.81","228.91","114.45","18","426","8"
"Bryan","2578","US-13029","13","29","39137","170","32","6587.12","81.76","204.41","80","800","3"
"Bulloch","5122","US-13031","13","31","79467","207","54","6445.44","67.95","66.69","53","1437","43"
"Burke","1705","US-13033","13","33","22342","145","32","7631.37","143.23","134.28","30","741","22"
"Butts","2037","US-13035","13","35","25174","115","70","8091.68","278.06","170.81","43","734","6"
"Calhoun","437","US-13037","13","37","6317","72","14","6917.84","221.62","63.32","4","132","0"
"Camden","3101","US-13039","13","39","53924","120","26","5750.69","48.22","66.76","36","685","5"
"Candler","730","US-13043","13","43","10837","60","35","6736.18","322.97","27.68","3","189","26"
"Carroll","7109","US-13045","13","45","120119","301","127","5918.3","105.73","74.93","90","3633","93"
"Catoosa","5252","US-13047","13","47","68771","234","61","7636.94","88.7","120.69","83","475","5"
"Charlton","1037","US-13049","13","49","13251","61","21","7825.82","158.48","135.84","18","293","7"
"Chatham","19132","US-13051","13","51","292176","1534","376","6548.11","128.69","155.39","454","2530","24"
"Chattahoochee","2815","US-13053","13","53","10749","24","10","26188.48","93.03","1228.02","132","493","2"
"Chattooga","2134","US-13055","13","55","24766","161","61","8616.65","246.31","129.21","32","493","7"
"Cherokee","20993","US-13057","13","57","266617","1164","275","7873.84","103.14","199.54","532","7525","11"
"Clarke","12296","US-13059","13","59","129779","476","121","9474.57","93.24","147.17","191","2141","7"
"Clay","180","US-13061","13","61","2855","10","3","6304.73","105.08","0","0","51","0"
"Clayton","21798","US-13063","13","63","304838","1262","395","7150.68","129.58","174.52","532","2319","19"
"Clinch","717","US-13065","13","65","6656","63","24","10772.24","360.58","180.29","12","215","1"
"Cobb","56888","US-13067","13","67","790588","2904","885","7195.66","111.94","157.22","1243","15080","70"
