county_resident,Positive,DEATHS,HOSPITALIZATION,case_rate
Appling,778,19,69,4191.58
Atkinson,350,3,40,4201.68
Bacon,472,8,35,4138.9
Baker,71,3,15,2278.56
Baldwin,1148,44,110,2583.96
Banks,300,6,45,1501.35
Barrow,1412,33,186,1634.58
Bartow,2033,64,230,1835.32
Ben Hill,529,7,52,3178.13
Berrien,334,1,16,1732.72
Bibb,3997,83,633,2627.01
Bleckley,276,10,20,2149.87
Brantley,271,7,20,1411.31
Brooks,427,18,47,2715.08
Bryan,728,8,59,1860.13
Bulloch,1380,17,95,1736.57
Burke,538,7,69,2408.02
Butts,507,40,45,2013.98
Calhoun,213,6,43,3371.85
Camden,849,6,26,1574.44
Candler,279,9,9,2574.51
Carroll,2035,54,135,1694.15
Catoosa,709,11,55,1030.96
Charlton,451,3,17,3403.52
Chatham,6216,95,565,2127.48
Chattahoochee,810,2,11,7535.58
Chattooga,355,4,17,1433.42
Cherokee,3939,67,367,1477.4
Clarke,2238,21,150,1724.47
Clay,101,2,7,3537.65
Clayton,5450,116,548,1787.83
Clinch,214,4,16,3215.14
Cobb,14826,338,1460,1875.31
Coffee,1585,32,215,3682.45
Colquitt,1617,24,124,3562.22
Columbia,2596,34,135,1636.5
Cook,472,8,48,2706.89
Coweta,1750,26,106,1151.31
Crawford,116,0,16,948.64
Crisp,411,15,58,1843.96
Dade,153,2,10,946.67
Dawson,481,5,58,1780.1
DeKalb,14926,262,1696,1881.85
Decatur,839,17,67,3187.45
Dodge,250,3,20,1226.39
Dooly,263,14,47,1962.69
Dougherty,2805,173,574,3119.96
Douglas,2859,58,337,1882.08
Early,383,32,32,3774.89
Echols,226,2,8,5694.13
Effingham,810,5,54,1265.11
Elbert,383,1,22,2021.64
Emanuel,580,11,43,2559.12
Evans,312,3,20,2919.43
Fannin,365,5,32,1386.78
Fayette,1263,33,68,1074.49
Floyd,1789,18,134,1790.5
Forsyth,2554,26,236,1011.46
Franklin,452,6,34,1937.5
Fulton,21867,472,1987,1989.39
Gilmer,676,4,63,2151.7
Glascock,27,1,4,892.56
Glynn,2725,56,199,3166.87
Gordon,1325,24,88,2282.55
Grady,546,8,71,2224.94
Greene,356,13,42,1902.01
Gwinnett,21411,287,2251,2204.72
Habersham,1206,52,173,2633.19
Hall,6512,104,783,3155.82
Hancock,338,35,49,4125.47
Haralson,247,7,20,803.98
Harris,682,17,73,1964.74
Hart,345,8,48,1321.48
Heard,153,5,9,1236.86
Henry,3694,58,159,1540.03
Houston,2159,62,285,1374.82
Irwin,178,1,26,1886.99
Jackson,1176,17,110,1574.3
Jasper,176,2,13,1239.52
Jeff Davis,528,8,29,3485.61
Jefferson,555,10,56,3624.37
Jenkins,261,24,47,3043.38
Johnson,260,12,44,2691.23
Jones,341,4,31,1192.68
Lamar,292,14,30,1509.28
Lanier,229,4,15,2212.35
Laurens,1109,19,97,2344.81
Lee,603,23,86,2011.94
Liberty,798,7,73,1289.09
Lincoln,167,5,22,2055.38
Long,144,2,10,723.07
Lowndes,3249,50,157,2756.24
Lumpkin,416,9,62,1230.7
Macon,189,10,40,1455.19
Madison,440,7,47,1458.06
Marion,161,5,15,1941.4
McDuffie,412,10,55,1907.67
McIntosh,209,3,14,1434.75
Meriwether,430,7,51,2045.67
Miller,160,0,8,2775.85
Mitchell,664,41,127,3010.52
Monroe,490,30,62,1767.23
Montgomery,171,2,16,1853.86
Morgan,318,1,19,1661.62
Murray,651,3,36,1616.95
Muscogee,5029,109,510,2624.38
Newton,1987,48,205,1768.52
Non-GA Resident/Unknown State,16824,101,489,0
Oconee,469,16,45,1123.7
Oglethorpe,250,7,37,1640.42
Paulding,1868,26,127,1082.63
Peach,438,16,73,1600
Pickens,442,6,41,1318.22
Pierce,439,9,46,2246.1
Pike,241,6,22,1277.84
Polk,939,11,44,2159.51
Pulaski,137,3,18,1257.69
Putnam,469,18,49,2143.02
Quitman,31,1,6,1351.35
Rabun,232,3,35,1365.83
Randolph,280,26,45,4145.69
Richmond,4961,97,434,2453.03
Rockdale,1455,26,182,1532.22
Schley,78,1,10,1478.67
Screven,228,9,31,1640.29
Seminole,239,5,21,2936.12
Spalding,1028,43,132,1487.48
Stephens,693,17,81,2632.18
Stewart,260,9,53,4242.13
Sumter,779,56,178,2649.75
Talbot,146,5,21,2370.9
Taliaferro,17,0,1,1041.67
Tattnall,585,2,42,2302.15
Taylor,103,3,16,1294.3
Telfair,306,12,30,1956.02
Terrell,307,30,67,3625.84
Thomas,1237,44,142,2784.09
Tift,1395,45,182,3416.61
Toombs,857,9,59,3176.07
Towns,158,2,19,1312.95
Treutlen,138,3,19,2020.79
Troup,2400,76,271,3408.41
Turner,262,18,40,3244.18
Twiggs,132,4,32,1632.45
Union,331,7,50,1306.49
Unknown,2758,7,73,0
Upson,624,49,62,2374.7
Walker,808,17,43,1160.75
Walton,1259,41,139,1314
Ware,1210,33,118,3374.89
Warren,90,1,21,1727.45
Washington,531,3,36,2615.51
Wayne,863,13,69,2879.16
Webster,39,2,9,1529.41
Wheeler,103,1,5,1302.31
White,391,6,64,1231.19
Whitfield,3700,36,191,3534.85
Wilcox,198,19,42,2252.56
Wilkes,199,3,22,1987.22
Wilkinson,235,12,43,2634.82
Worth,468,23,78,2323.5
