Ethnicity,race,Confirmed_Cases,Deaths
Hispanic/Latino,African-American/Black,240,7
Hispanic/Latino,American Indian/Alaska Native,17,1
Hispanic/Latino,Asian,24,0
Hispanic/Latino,Native Hawaiian/Pacific Islander,14,0
Hispanic/Latino,Other,4014,54
Hispanic/Latino,Unknown,1901,1
Hispanic/Latino,White,5956,72
Non-Hispanic/Latino,African-American/Black,18232,1299
Non-Hispanic/Latino,American Indian/Alaska Native,46,3
Non-Hispanic/Latino,Asian,865,44
Non-Hispanic/Latino,Native Hawaiian/Pacific Islander,39,5
Non-Hispanic/Latino,Other,738,8
Non-Hispanic/Latino,Unknown,513,0
Non-Hispanic/Latino,White,16331,1240
Unknown,African-American/Black,3128,13
Unknown,American Indian/Alaska Native,8,0
Unknown,Asian,262,0
Unknown,Native Hawaiian/Pacific Islander,30,0
Unknown,Other,761,2
Unknown,Unknown,17268,16
Unknown,White,2608,5
