"ethnicity","race","cases","deaths"
"Hispanic/Latino","African-American/Black","9277","44"
"Hispanic/Latino","American Indian/Alaska Native","587","2"
"Hispanic/Latino","Asian","1068","4"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","665","4"
"Hispanic/Latino","Other","61386","505"
"Hispanic/Latino","Unknown","37260","8"
"Hispanic/Latino","White","89447","961"
"Non-Hispanic/Latino","African-American/Black","525933","10308"
"Non-Hispanic/Latino","American Indian/Alaska Native","1069","28"
"Non-Hispanic/Latino","Asian","45228","528"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","1434","16"
"Non-Hispanic/Latino","Other","34952","150"
"Non-Hispanic/Latino","Unknown","18412","6"
"Non-Hispanic/Latino","White","728240","18569"
"Unknown","African-American/Black","40627","7"
"Unknown","American Indian/Alaska Native","487","0"
"Unknown","Asian","7371","2"
"Unknown","Native Hawaiian/Pacific Islander","420","0"
"Unknown","Other","33616","9"
"Unknown","Unknown","251629","93"
"Unknown","White","51799","24"
