county_resident,Positive,DEATHS,HOSPITALIZATION,case_rate
Appling,204,13,35,1099.08
Atkinson,76,2,12,912.36
Bacon,177,3,16,1552.09
Baker,37,3,13,1187.42
Baldwin,429,32,71,965.61
Banks,109,1,16,545.49
Barrow,388,23,90,449.16
Bartow,548,39,148,494.71
Ben Hill,105,1,9,630.82
Berrien,73,0,4,378.71
Bibb,542,36,150,356.23
Bleckley,54,1,4,420.63
Brantley,69,2,5,359.34
Brooks,98,11,12,623.13
Bryan,86,5,18,219.74
Bulloch,108,3,12,135.91
Burke,126,6,31,563.96
Butts,245,32,28,973.23
Calhoun,148,6,20,2342.88
Camden,75,1,8,139.08
Candler,17,0,3,156.87
Carroll,614,37,108,511.16
Catoosa,234,0,17,340.26
Charlton,39,1,6,294.32
Chatham,636,31,138,217.68
Chattahoochee,252,0,7,2344.4
Chattooga,36,2,3,145.36
Cherokee,1040,38,155,390.07
Clarke,348,15,54,268.15
Clay,52,2,5,1821.37
Clayton,1440,72,202,472.38
Clinch,80,2,8,1201.92
Cobb,3618,217,767,457.63
Coffee,346,14,78,803.87
Colquitt,679,17,56,1495.83
Columbia,301,8,40,189.75
Cook,75,1,9,430.12
Coweta,515,12,53,338.81
Crawford,32,0,4,261.69
Crisp,242,10,41,1085.74
Dade,48,1,3,296.99
Dawson,119,3,18,440.4
DeKalb,4355,148,749,549.07
Decatur,224,8,25,851
Dodge,56,2,8,274.71
Dooly,191,12,41,1425.37
Dougherty,1839,150,448,2045.49
Douglas,660,28,148,434.48
Early,255,31,24,2513.31
Echols,161,0,6,4056.44
Effingham,86,1,13,134.32
Elbert,86,0,7,453.95
Emanuel,53,2,8,233.85
Evans,8,0,0,74.86
Fannin,67,1,5,254.56
Fayette,261,15,40,222.04
Floyd,371,15,46,371.31
Forsyth,598,13,76,236.83
Franklin,140,1,12,600.11
Fulton,5157,290,957,469.17
Gilmer,170,1,22,541.11
Glascock,1,0,0,33.06
Glynn,190,3,19,220.81
Gordon,256,18,37,441.01
Grady,139,4,30,566.42
Greene,86,8,19,459.48
Gwinnett,5308,155,783,546.57
Habersham,596,31,83,1301.31
Hall,2755,55,379,1335.12
Hancock,202,30,37,2465.52
Haralson,57,4,16,185.53
Harris,203,6,25,584.81
Hart,44,0,2,168.54
Heard,43,3,7,347.62
Henry,852,30,99,355.2
Houston,446,20,108,284.01
Irwin,38,1,8,402.84
Jackson,262,7,39,350.74
Jasper,56,1,7,394.39
Jeff Davis,55,2,5,363.08
Jefferson,56,1,10,365.7
Jenkins,45,6,16,524.72
Johnson,77,2,13,797.02
Jones,51,0,4,178.38
Lamar,79,5,12,408.33
Lanier,98,2,9,946.77
Laurens,118,1,17,249.49
Lee,374,22,67,1247.87
Liberty,95,1,15,153.46
Lincoln,18,1,6,221.54
Long,24,1,2,120.51
Lowndes,651,4,65,552.27
Lumpkin,107,1,24,316.55
Macon,116,8,36,893.13
Madison,73,2,14,241.91
Marion,62,2,11,747.62
McDuffie,74,5,20,342.64
McIntosh,19,1,2,130.43
Meriwether,127,3,19,604.19
Miller,45,0,3,780.71
Mitchell,432,37,96,1958.65
Monroe,131,14,26,472.46
Montgomery,21,0,2,227.67
Morgan,40,0,5,209.01
Murray,143,1,14,355.18
Muscogee,1022,28,153,533.33
Newton,420,11,70,373.82
Non-Georgia Resident,2909,37,155,0
Oconee,130,9,22,311.47
Oglethorpe,75,7,15,492.13
Paulding,408,13,81,236.46
Peach,91,8,25,332.42
Pickens,68,4,13,202.8
Pierce,131,4,24,670.25
Pike,70,3,11,371.16
Polk,165,1,15,379.47
Pulaski,46,2,7,422.29
Putnam,112,12,18,511.77
Quitman,14,1,4,610.29
Rabun,32,3,14,188.39
Randolph,191,22,36,2827.95
Richmond,682,38,185,337.22
Rockdale,345,9,77,363.31
Schley,19,1,7,360.19
Screven,63,4,19,453.24
Seminole,48,2,8,589.68
Spalding,317,24,57,458.69
Stephens,153,5,31,581.13
Stewart,63,1,13,1027.9
Sumter,512,50,140,1741.56
Talbot,47,2,13,763.23
Taliaferro,2,0,0,122.55
Tattnall,56,0,4,220.38
Taylor,26,2,10,326.72
Telfair,54,2,8,345.18
Terrell,218,26,52,2574.7
Thomas,364,33,68,819.25
Tift,423,22,80,1036
Toombs,108,4,12,400.25
Towns,35,1,10,290.84
Treutlen,17,0,2,248.94
Troup,792,23,99,1124.78
Turner,153,14,32,1894.5
Twiggs,22,1,7,272.08
Union,54,3,14,213.14
Unknown,1551,5,32,0
Upson,295,40,44,1122.65
Walker,225,2,11,323.23
Walton,327,23,54,341.29
Ware,286,14,57,797.7
Warren,20,0,9,383.88
Washington,76,1,9,374.35
Wayne,39,0,4,130.11
Webster,15,1,4,588.24
Wheeler,28,0,0,354.03
White,124,4,25,390.45
Whitfield,618,10,38,590.42
Wilcox,118,14,20,1342.43
Wilkes,39,1,7,389.45
Wilkinson,73,7,23,818.48
Worth,260,21,51,1290.84
