"Ethnicity","race","cases","Deaths"
"Hispanic/Latino","African-American/Black","3149","25"
"Hispanic/Latino","American Indian/Alaska Native","149","0"
"Hispanic/Latino","Asian","333","2"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","213","2"
"Hispanic/Latino","Other","34982","345"
"Hispanic/Latino","Unknown","13902","7"
"Hispanic/Latino","White","46758","621"
"Non-Hispanic/Latino","African-American/Black","227894","6375"
"Non-Hispanic/Latino","American Indian/Alaska Native","384","11"
"Non-Hispanic/Latino","Asian","17446","372"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","698","10"
"Non-Hispanic/Latino","Other","11854","58"
"Non-Hispanic/Latino","Unknown","6324","15"
"Non-Hispanic/Latino","White","333489","10485"
"Unknown","African-American/Black","23938","15"
"Unknown","American Indian/Alaska Native","137","0"
"Unknown","Asian","3840","1"
"Unknown","Native Hawaiian/Pacific Islander","174","0"
"Unknown","Other","24491","9"
"Unknown","Unknown","113252","32"
"Unknown","White","37661","18"
