Ethnicity,race,Confirmed_Cases,Deaths
Hispanic/Latino,African-American/Black,474,11
Hispanic/Latino,American Indian/Alaska Native,32,0
Hispanic/Latino,Asian,44,0
Hispanic/Latino,Native Hawaiian/Pacific Islander,45,0
Hispanic/Latino,Other,8222,92
Hispanic/Latino,Unknown,3616,3
Hispanic/Latino,White,11006,110
Non-Hispanic/Latino,African-American/Black,38854,1615
Non-Hispanic/Latino,American Indian/Alaska Native,72,3
Non-Hispanic/Latino,Asian,1605,61
Non-Hispanic/Latino,Native Hawaiian/Pacific Islander,88,7
Non-Hispanic/Latino,Other,1701,12
Non-Hispanic/Latino,Unknown,1263,11
Non-Hispanic/Latino,White,34589,1640
Unknown,African-American/Black,6697,19
Unknown,American Indian/Alaska Native,24,0
Unknown,Asian,537,1
Unknown,Native Hawaiian/Pacific Islander,89,0
Unknown,Other,3014,6
Unknown,Unknown,60024,35
Unknown,White,6327,16
