"ethnicity","race","cases","deaths"
"Hispanic/Latino","African-American/Black","9150","44"
"Hispanic/Latino","American Indian/Alaska Native","594","3"
"Hispanic/Latino","Asian","1053","3"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","657","4"
"Hispanic/Latino","Other","60598","496"
"Hispanic/Latino","Unknown","37644","8"
"Hispanic/Latino","White","87729","917"
"Non-Hispanic/Latino","African-American/Black","511052","9987"
"Non-Hispanic/Latino","American Indian/Alaska Native","1094","28"
"Non-Hispanic/Latino","Asian","43999","513"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","1386","15"
"Non-Hispanic/Latino","Other","34525","189"
"Non-Hispanic/Latino","Unknown","18699","6"
"Non-Hispanic/Latino","White","706900","18066"
"Unknown","African-American/Black","40623","15"
"Unknown","American Indian/Alaska Native","626","0"
"Unknown","Asian","7352","2"
"Unknown","Native Hawaiian/Pacific Islander","409","0"
"Unknown","Other","33791","10"
"Unknown","Unknown","269681","103"
"Unknown","White","51664","32"
