"Ethnicity","race","cases","Deaths"
"Hispanic/Latino","African-American/Black","3166","25"
"Hispanic/Latino","American Indian/Alaska Native","150","0"
"Hispanic/Latino","Asian","338","2"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","215","2"
"Hispanic/Latino","Other","35058","345"
"Hispanic/Latino","Unknown","13911","7"
"Hispanic/Latino","White","47065","622"
"Non-Hispanic/Latino","African-American/Black","228899","6393"
"Non-Hispanic/Latino","American Indian/Alaska Native","382","11"
"Non-Hispanic/Latino","Asian","17561","374"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","708","10"
"Non-Hispanic/Latino","Other","11891","58"
"Non-Hispanic/Latino","Unknown","6211","14"
"Non-Hispanic/Latino","White","335001","10508"
"Unknown","African-American/Black","23812","15"
"Unknown","American Indian/Alaska Native","138","0"
"Unknown","Asian","3855","1"
"Unknown","Native Hawaiian/Pacific Islander","175","0"
"Unknown","Other","24362","9"
"Unknown","Unknown","111786","30"
"Unknown","White","37458","19"
