"sex","county name","cases","deaths","hospitalization"
"Female","Georgia","252267","4402","19143"
"Male","Georgia","216880","4792","18326"
"Unknown","Georgia","6897","11","168"
"Female","Appling","697","15","58"
"Male","Appling","587","26","56"
"Unknown","Appling","9","0","0"
"Female","Atkinson","302","5","43"
"Male","Atkinson","258","4","40"
"Unknown","Atkinson","1","0","0"
"Female","Bacon","356","8","22"
"Male","Bacon","329","12","30"
"Unknown","Bacon","7","0","1"
"Female","Baker","59","2","8"
"Male","Baker","56","4","14"
"Female","Baldwin","1457","17","82"
"Male","Baldwin","1171","54","114"
"Unknown","Baldwin","14","0","1"
"Female","Banks","506","5","60"
"Male","Banks","409","7","53"
"Unknown","Banks","9","0","0"
"Female","Barrow","2060","36","188"
"Male","Barrow","1713","24","147"
"Unknown","Barrow","23","0","1"
"Female","Bartow","2804","47","192"
"Male","Bartow","2419","57","208"
"Unknown","Bartow","46","0","1"
"Female","Ben Hill","639","13","56"
"Male","Ben Hill","419","22","49"
"Unknown","Ben Hill","2","0","0"
"Female","Berrien","361","10","17"
"Male","Berrien","288","8","16"
"Unknown","Berrien","7","0","0"
"Female","Bibb","4624","123","562"
"Male","Bibb","3396","106","478"
"Unknown","Bibb","71","0","2"
"Female","Bleckley","343","18","19"
"Male","Bleckley","228","12","17"
"Unknown","Bleckley","7","0","0"
"Female","Brantley","314","8","27"
"Male","Brantley","271","10","21"
"Unknown","Brantley","4","0","0"
"Female","Brooks","381","6","29"
"Male","Brooks","286","20","29"
"Unknown","Brooks","13","0","0"
"Female","Bryan","831","8","48"
"Male","Bryan","714","8","60"
"Unknown","Bryan","14","0","0"
"Female","Bulloch","1959","21","87"
"Male","Bulloch","1451","14","68"
"Unknown","Bulloch","40","0","0"
"Female","Burke","570","8","52"
"Male","Burke","483","5","52"
"Unknown","Burke","6","0","1"
"Female","Butts","498","22","30"
"Male","Butts","484","24","39"
"Unknown","Butts","40","0","2"
"Female","Calhoun","153","8","25"
"Male","Calhoun","154","3","30"
"Unknown","Calhoun","1","0","0"
"Female","Camden","1011","8","52"
"Male","Camden","922","10","38"
"Unknown","Camden","9","0","0"
"Female","Candler","324","11","25"
"Male","Candler","261","16","23"
"Unknown","Candler","2","0","0"
"Female","Carroll","2455","43","115"
"Male","Carroll","2141","46","116"
"Unknown","Carroll","33","1","2"
"Female","Catoosa","1333","19","68"
"Male","Catoosa","1120","15","53"
"Unknown","Catoosa","46","0","0"
"Female","Charlton","282","4","22"
"Male","Charlton","470","7","21"
"Unknown","Charlton","5","0","0"
"Female","Chatham","6264","97","492"
"Male","Chatham","5071","115","455"
"Unknown","Chatham","122","0","3"
"Female","Chattahoochee","151","1","7"
"Male","Chattahoochee","1942","0","10"
"Unknown","Chattahoochee","6","0","0"
"Female","Chattooga","709","18","39"
"Male","Chattooga","581","18","51"
"Unknown","Chattooga","6","0","0"
"Female","Cherokee","5435","57","337"
"Male","Cherokee","4906","58","347"
"Unknown","Cherokee","80","0","3"
"Female","Clarke","4164","23","144"
"Male","Clarke","3260","34","145"
"Unknown","Clarke","43","0","2"
"Female","Clay","78","1","3"
"Male","Clay","51","2","6"
"Unknown","Clay","3","0","0"
"Female","Clayton","6318","106","432"
"Male","Clayton","4860","96","383"
"Unknown","Clayton","102","0","1"
"Female","Clinch","256","2","17"
"Male","Clinch","243","12","23"
"Unknown","Clinch","4","0","0"
"Female","Cobb","16047","248","1119"
"Male","Cobb","14045","265","1115"
"Unknown","Cobb","202","0","6"
"Female","Coffee","1583","34","232"
"Male","Coffee","1358","38","183"
"Unknown","Coffee","23","0","0"
"Female","Colquitt","1219","17","96"
"Male","Colquitt","1144","27","83"
"Unknown","Colquitt","21","0","0"
"Female","Columbia","3216","38","117"
"Male","Columbia","2894","43","130"
"Unknown","Columbia","21","0","2"
"Female","Cook","479","6","39"
"Male","Cook","353","11","36"
"Unknown","Cook","25","2","2"
"Female","Coweta","2156","32","90"
"Male","Coweta","1990","40","98"
"Unknown","Coweta","19","0","0"
"Female","Crawford","151","5","20"
"Male","Crawford","111","2","9"
"Unknown","Crawford","7","0","2"
"Female","Crisp","452","9","57"
"Male","Crisp","362","17","43"
"Unknown","Crisp","6","0","0"
"Female","Dade","315","6","19"
"Male","Dade","271","1","18"
"Unknown","Dade","8","0","0"
"Female","Dawson","706","2","58"
"Male","Dawson","617","9","64"
"Unknown","Dawson","8","0","0"
"Female","DeKalb","15878","205","1454"
"Male","DeKalb","13378","255","1333"
"Unknown","DeKalb","382","1","10"
"Female","Decatur","809","23","59"
"Male","Decatur","652","18","50"
"Unknown","Decatur","12","0","0"
"Female","Dodge","405","22","35"
"Male","Dodge","324","17","37"
"Unknown","Dodge","29","1","1"
"Female","Dooly","252","9","30"
"Male","Dooly","216","11","30"
"Unknown","Dooly","2","0","0"
"Female","Dougherty","2186","113","420"
"Male","Dougherty","1417","87","289"
"Unknown","Dougherty","24","0","0"
"Female","Douglas","3153","44","301"
"Male","Douglas","2510","51","249"
"Unknown","Douglas","36","0","1"
"Female","Early","413","22","31"
"Male","Early","233","16","20"
"Unknown","Early","4","0","0"
"Female","Echols","102","0","2"
"Male","Echols","190","2","8"
"Unknown","Echols","3","0","0"
"Female","Effingham","1146","15","70"
"Male","Effingham","1048","18","70"
"Unknown","Effingham","15","0","0"
"Female","Elbert","605","10","59"
"Male","Elbert","402","12","28"
"Unknown","Elbert","6","0","0"
"Female","Emanuel","768","26","59"
"Male","Emanuel","539","17","37"
"Unknown","Emanuel","6","0","0"
"Female","Evans","293","3","40"
"Male","Evans","222","5","14"
"Unknown","Evans","19","0","0"
"Female","Fannin","619","15","43"
"Male","Fannin","499","16","51"
"Unknown","Fannin","7","0","0"
"Female","Fayette","1661","26","73"
"Male","Fayette","1425","36","87"
"Unknown","Fayette","17","0","0"
"Female","Floyd","3088","43","222"
"Male","Floyd","2608","49","250"
"Unknown","Floyd","46","0","5"
"Female","Forsyth","3777","26","217"
"Male","Forsyth","3528","42","285"
"Unknown","Forsyth","91","0","0"
"Female","Franklin","786","6","52"
"Male","Franklin","539","15","40"
"Unknown","Franklin","7","0","0"
"Female","Fulton","22028","334","1524"
"Male","Fulton","19945","373","1525"
"Unknown","Fulton","494","0","5"
"Female","Gilmer","744","12","67"
"Male","Gilmer","578","17","54"
"Unknown","Gilmer","47","0","1"
"Female","Glascock","34","1","2"
"Male","Glascock","33","1","4"
"Unknown","Glascock","2","0","0"
"Female","Glynn","2312","55","190"
"Male","Glynn","2001","63","170"
"Unknown","Glynn","22","0","2"
"Female","Gordon","1835","24","90"
"Male","Gordon","1603","31","89"
"Unknown","Gordon","27","0","1"
"Female","Grady","528","10","54"
"Male","Grady","417","17","58"
"Unknown","Grady","17","0","0"
"Female","Greene","405","14","37"
"Male","Greene","313","12","30"
"Unknown","Greene","2","0","0"
"Female","Gwinnett","22112","252","1733"
"Male","Gwinnett","19480","275","1607"
"Unknown","Gwinnett","709","0","8"
"Female","Habersham","1522","51","147"
"Male","Habersham","1208","31","158"
"Unknown","Habersham","26","0","0"
"Female","Hall","7461","95","655"
"Male","Hall","6629","105","715"
"Unknown","Hall","207","0","1"
"Female","Hancock","263","19","35"
"Male","Hancock","263","27","36"
"Unknown","Hancock","2","0","0"
"Female","Haralson","535","8","26"
"Male","Haralson","481","13","18"
"Unknown","Haralson","15","0","0"
"Female","Harris","554","15","50"
"Male","Harris","477","13","51"
"Unknown","Harris","13","0","0"
"Female","Hart","499","10","45"
"Male","Hart","371","10","44"
"Unknown","Hart","6","0","0"
"Female","Heard","203","6","10"
"Male","Heard","159","2","14"
"Female","Henry","5005","61","197"
"Male","Henry","3879","75","158"
"Unknown","Henry","44","0","0"
"Female","Houston","2657","42","231"
"Male","Houston","2141","62","207"
"Unknown","Houston","30","0","3"
"Female","Irwin","238","7","20"
"Male","Irwin","215","4","25"
"Unknown","Irwin","2","0","0"
"Female","Jackson","2072","27","122"
"Male","Jackson","1771","26","154"
"Unknown","Jackson","21","1","1"
"Female","Jasper","182","2","8"
"Male","Jasper","148","3","15"
"Female","Jeff Davis","461","13","32"
"Male","Jeff Davis","409","17","48"
"Unknown","Jeff Davis","4","0","0"
"Female","Jefferson","611","21","59"
"Male","Jefferson","405","17","42"
"Unknown","Jefferson","7","0","1"
"Female","Jenkins","299","15","31"
"Male","Jenkins","195","19","38"
"Female","Johnson","262","13","37"
"Male","Johnson","224","16","35"
"Female","Jones","509","10","39"
"Male","Jones","327","13","26"
"Unknown","Jones","1","0","0"
"Female","Lamar","362","13","25"
"Male","Lamar","278","11","30"
"Unknown","Lamar","3","0","0"
"Female","Lanier","143","2","4"
"Male","Lanier","210","5","13"
"Unknown","Lanier","4","0","0"
"Female","Laurens","1400","45","108"
"Male","Laurens","968","66","112"
"Unknown","Laurens","22","1","1"
"Female","Lee","497","17","53"
"Male","Lee","394","15","60"
"Unknown","Lee","4","0","0"
"Female","Liberty","867","11","64"
"Male","Liberty","734","19","70"
"Unknown","Liberty","20","0","0"
"Female","Lincoln","173","5","22"
"Male","Lincoln","126","4","14"
"Female","Long","181","1","12"
"Male","Long","171","4","10"
"Unknown","Long","1","0","0"
"Female","Lowndes","3081","52","135"
"Male","Lowndes","2483","45","111"
"Unknown","Lowndes","59","0","2"
"Female","Lumpkin","788","12","77"
"Male","Lumpkin","683","7","62"
"Unknown","Lumpkin","12","0","0"
"Female","Macon","174","4","24"
"Male","Macon","154","11","33"
"Unknown","Macon","1","0","1"
"Female","Madison","658","6","39"
"Male","Madison","581","9","42"
"Unknown","Madison","8","0","0"
"Female","Marion","131","6","13"
"Male","Marion","91","4","11"
"Unknown","Marion","1","0","0"
"Female","McDuffie","501","11","50"
"Male","McDuffie","366","10","44"
"Unknown","McDuffie","6","0","0"
"Female","McIntosh","219","7","19"
"Male","McIntosh","181","0","18"
"Unknown","McIntosh","7","0","0"
"Female","Meriwether","422","13","52"
"Male","Meriwether","266","6","35"
"Unknown","Meriwether","4","0","0"
"Female","Miller","218","1","13"
"Male","Miller","154","1","10"
"Unknown","Miller","3","0","0"
"Female","Mitchell","494","22","82"
"Male","Mitchell","477","27","82"
"Unknown","Mitchell","1","0","0"
"Female","Monroe","550","32","53"
"Male","Monroe","468","27","56"
"Unknown","Monroe","13","0","0"
"Female","Montgomery","220","5","15"
"Male","Montgomery","196","4","13"
"Unknown","Montgomery","1","0","0"
"Female","Morgan","349","2","24"
"Male","Morgan","289","5","24"
"Unknown","Morgan","4","0","0"
"Female","Murray","1131","11","55"
"Male","Murray","944","19","62"
"Unknown","Murray","38","1","5"
"Female","Muscogee","4241","104","404"
"Male","Muscogee","3292","91","351"
"Unknown","Muscogee","63","0","0"
"Female","Newton","2200","58","205"
"Male","Newton","1652","50","172"
"Unknown","Newton","55","0","2"
"Female","Non-GA Resident/Unknown State","7832","105","326"
"Male","Non-GA Resident/Unknown State","9089","122","427"
"Unknown","Non-GA Resident/Unknown State","1930","0","36"
"Female","Oconee","623","19","49"
"Male","Oconee","583","16","37"
"Unknown","Oconee","1","0","0"
"Female","Oglethorpe","324","2","24"
"Male","Oglethorpe","245","11","26"
"Unknown","Oglethorpe","2","0","0"
"Female","Paulding","2546","37","95"
"Male","Paulding","2093","50","89"
"Unknown","Paulding","86","0","7"
"Female","Peach","610","17","77"
"Male","Peach","415","12","43"
"Unknown","Peach","5","0","0"
"Female","Pickens","650","5","46"
"Male","Pickens","547","9","46"
"Unknown","Pickens","16","0","0"
"Female","Pierce","433","15","45"
"Male","Pierce","337","12","47"
"Unknown","Pierce","5","0","0"
"Female","Pike","280","5","31"
"Male","Pike","236","7","14"
"Unknown","Pike","4","0","1"
"Female","Polk","1146","17","103"
"Male","Polk","1000","20","92"
"Unknown","Polk","21","0","2"
"Female","Pulaski","269","14","24"
"Male","Pulaski","130","11","18"
"Unknown","Pulaski","2","0","0"
"Female","Putnam","518","13","40"
"Male","Putnam","467","17","43"
"Unknown","Putnam","4","0","0"
"Female","Quitman","32","0","4"
"Male","Quitman","13","1","2"
"Unknown","Quitman","1","0","1"
"Female","Rabun","407","8","52"
"Male","Rabun","358","6","37"
"Unknown","Rabun","6","0","0"
"Female","Randolph","206","20","35"
"Male","Randolph","141","10","26"
"Female","Richmond","5894","75","374"
"Male","Richmond","4904","128","408"
"Unknown","Richmond","80","0","12"
"Female","Rockdale","1641","30","226"
"Male","Rockdale","1324","28","186"
"Unknown","Rockdale","48","0","2"
"Female","Schley","75","0","9"
"Male","Schley","65","2","8"
"Female","Screven","280","8","28"
"Male","Screven","202","3","22"
"Unknown","Screven","4","0","0"
"Female","Seminole","290","7","26"
"Male","Seminole","215","5","16"
"Unknown","Seminole","3","0","0"
"Female","Spalding","1246","48","154"
"Male","Spalding","896","32","92"
"Unknown","Spalding","10","0","4"
"Female","Stephens","996","27","85"
"Male","Stephens","766","20","79"
"Unknown","Stephens","12","0","0"
"Female","Stewart","126","7","18"
"Male","Stewart","461","10","95"
"Unknown","Stewart","2","0","0"
"Female","Sumter","666","26","112"
"Male","Sumter","476","43","102"
"Unknown","Sumter","3","0","1"
"Female","Talbot","133","4","17"
"Male","Talbot","80","4","14"
"Unknown","Talbot","4","0","0"
"Female","Taliaferro","27","0","1"
"Male","Taliaferro","14","0","1"
"Female","Tattnall","543","12","40"
"Male","Tattnall","551","9","40"
"Unknown","Tattnall","9","0","0"
