"county_name","cases","county_id","State FIPS code","County FIPS code","population","hospitalization","deaths","case rate","death rate","14 day case rate","14 day cases"
"Appling","1134","US-13001","13","1","18561","101","35","6109.58","188.57","296.32","55"
"Atkinson","472","US-13003","13","3","8330","61","5","5666.27","60.02","264.11","22"
"Bacon","623","US-13005","13","5","11404","49","14","5463","122.76","122.76","14"
"Baker","87","US-13007","13","7","3116","20","6","2792.04","192.55","64.18","2"
"Baldwin","2250","US-13009","13","9","44428","177","63","5064.37","141.8","204.83","91"
"Banks","541","US-13011","13","11","19982","71","8","2707.44","40.04","180.16","36"
"Barrow","2487","US-13013","13","13","86383","259","50","2879.04","57.88","203.74","176"
"Bartow","3367","US-13015","13","15","110771","315","92","3039.6","83.05","283.47","314"
"Ben Hill","846","US-13017","13","17","16645","91","32","5082.61","192.25","234.3","39"
"Berrien","478","US-13019","13","19","19276","24","12","2479.77","62.25","72.63","14"
"Bibb","6474","US-13021","13","21","152150","908","188","4255.01","123.56","209","318"
"Bleckley","501","US-13023","13","23","12838","32","21","3902.48","163.58","482.94","62"
"Brantley","408","US-13025","13","25","19202","39","12","2124.78","62.49","255.18","49"
"Brooks","544","US-13027","13","27","15727","55","26","3459.02","165.32","89.02","14"
"Bryan","1264","US-13029","13","29","39137","91","14","3229.68","35.77","204.41","80"
"Bulloch","3019","US-13031","13","31","79467","138","33","3799.06","41.53","109.48","87"
"Burke","869","US-13033","13","33","22342","90","11","3889.54","49.23","102.95","23"
"Butts","724","US-13035","13","35","25174","54","43","2875.98","170.81","103.28","26"
"Calhoun","261","US-13037","13","37","6317","48","9","4131.71","142.47","158.3","10"
"Camden","1385","US-13039","13","39","53924","69","17","2568.43","31.53","98.29","53"
"Candler","522","US-13043","13","43","10837","35","24","4816.83","221.46","406.02","44"
"Carroll","3184","US-13045","13","45","120119","174","75","2650.7","62.44","159.01","191"
"Catoosa","1345","US-13047","13","47","68771","81","20","1955.77","29.08","139.59","96"
"Charlton","643","US-13049","13","49","13251","27","10","4852.46","75.47","45.28","6"
"Chatham","9125","US-13051","13","51","292176","814","182","3123.12","62.29","142.04","415"
"Chattahoochee","1718","US-13053","13","53","10749","14","1","15982.88","9.3","325.61","35"
"Chattooga","875","US-13055","13","55","24766","63","27","3533.07","109.02","242.27","60"
"Cherokee","6756","US-13057","13","57","266617","519","100","2533.97","37.51","160.15","427"
"Clarke","5551","US-13059","13","59","129779","239","46","4277.27","35.44","230.39","299"
"Clay","122","US-13061","13","61","2855","9","3","4273.2","105.08","35.03","1"
"Clayton","7859","US-13063","13","63","304838","675","174","2578.09","57.08","133.84","408"
"Clinch","424","US-13065","13","65","6656","30","12","6370.19","180.29","225.36","15"
"Cobb","21196","US-13067","13","67","790588","1925","448","2681.04","56.67","114.72","907"
"Coffee","2187","US-13069","13","69","43042","317","59","5081.08","137.08","183.54","79"
"Colquitt","2072","US-13071","13","71","45393","162","39","4564.58","85.92","319.43","145"
"Columbia","4180","US-13073","13","73","158631","194","64","2635.05","40.35","180.29","286"
"Cook","571","US-13075","13","75","17437","61","16","3274.65","91.76","86.02","15"
"Coweta","2861","US-13077","13","77","152001","142","60","1882.22","39.47","88.82","135"
"Crawford","189","US-13079","13","79","12228","28","6","1545.63","49.07","114.49","14"
"Crisp","631","US-13081","13","81","22289","81","23","2830.99","103.19","188.43","42"
"Dade","325","US-13083","13","83","16162","21","5","2010.89","30.94","198","32"
"Dawson","886","US-13085","13","85","27021","84","10","3278.93","37.01","125.83","34"
"DeKalb","20306","US-13089","13","89","793154","2235","390","2560.16","49.17","117.13","929"
"Decatur","1260","US-13087","13","87","26322","99","34","4786.87","129.17","178.56","47"
"Dodge","526","US-13091","13","91","20385","47","14","2580.33","68.68","416.97","85"
"Dooly","360","US-13093","13","93","13400","54","16","2686.57","119.4","111.94","15"
"Dougherty","3267","US-13095","13","95","89905","662","190","3633.84","211.33","80.08","72"
"Douglas","3948","US-13097","13","97","151906","449","71","2598.98","46.74","150.09","228"
"Early","530","US-13099","13","99","10146","42","34","5223.73","335.11","147.84","15"
"Echols","244","US-13101","13","101","3969","9","2","6147.64","50.39","25.2","1"
"Effingham","1707","US-13103","13","103","64026","109","28","2666.1","43.73","287.38","184"
"Elbert","749","US-13105","13","105","18945","54","8","3953.55","42.23","211.14","40"
"Emanuel","1165","US-13107","13","107","22664","83","36","5140.31","158.84","251.5","57"
"Evans","464","US-13109","13","109","10687","42","6","4341.72","56.14","224.57","24"
"Fannin","780","US-13111","13","111","26320","68","28","2963.53","106.38","250.76","66"
"Fayette","2049","US-13113","13","113","117544","119","53","1743.18","45.09","82.52","97"
"Floyd","3626","US-13115","13","115","99916","274","55","3629.05","55.05","267.22","267"
"Forsyth","4560","US-13117","13","117","252507","349","52","1805.89","20.59","82.37","208"
"Franklin","843","US-13119","13","119","23329","64","17","3613.53","72.87","282.91","66"
"Fulton","29885","US-13121","13","121","1099181","2542","607","2718.84","55.22","139.65","1535"
"Gilmer","982","US-13123","13","123","31417","89","19","3125.7","60.48","334.21","105"
"Glascock","43","US-13125","13","125","3025","4","2","1421.49","66.12","99.17","3"
"Glynn","3628","US-13127","13","127","86047","310","101","4216.3","117.38","116.22","100"
"Gordon","2158","US-13129","13","129","58049","125","42","3717.55","72.35","389.33","226"
"Grady","843","US-13131","13","131","24540","98","25","3435.21","101.87","138.55","34"
"Greene","556","US-13133","13","133","18717","60","25","2970.56","133.57","128.23","24"
"Gwinnett","29748","US-13135","13","135","971145","2840","434","3063.19","44.69","134.69","1308"
"Habersham","1829","US-13137","13","137","45800","238","75","3993.45","163.76","170.31","78"
"Hall","10345","US-13139","13","139","206349","1051","168","5013.35","81.42","257.82","532"
"Hancock","412","US-13141","13","141","8193","68","44","5028.68","537.04","109.85","9"
"Haralson","600","US-13143","13","143","30722","29","10","1953","32.55","221.34","68"
"Harris","837","US-13145","13","145","34712","92","25","2411.27","72.02","72.02","25"
"Hart","559","US-13147","13","147","26107","70","16","2141.19","61.29","114.91","30"
"Heard","212","US-13149","13","149","12370","15","6","1713.82","48.5","72.76","9"
"Henry","5936","US-13151","13","151","239866","263","111","2474.72","46.28","133.41","320"
"Houston","3449","US-13153","13","153","157039","396","89","2196.27","56.67","157.92","248"
"Irwin","347","US-13155","13","155","9433","40","6","3678.58","63.61","222.62","21"
"Jackson","2259","US-13157","13","157","74700","183","40","3024.1","53.55","216.87","162"
"Jasper","242","US-13159","13","159","14199","20","4","1704.35","28.17","126.77","18"
"Jeff Davis","773","US-13161","13","161","15148","57","22","5102.98","145.23","237.66","36"
"Jefferson","835","US-13163","13","163","15313","80","32","5452.88","208.97","104.49","16"
"Jenkins","462","US-13165","13","165","8576","65","32","5387.13","373.13","256.53","22"
"Johnson","438","US-13167","13","167","9661","59","22","4533.69","227.72","175.97","17"
"Jones","628","US-13169","13","169","28591","51","14","2196.5","48.97","150.4","43"
"Lamar","402","US-13171","13","171","19347","45","19","2077.84","98.21","93.04","18"
