,GID_0,NAME_0,GID_1,NL_NAME_0,NAME_1,NL_NAME_1,NL_Name_1_short,GID_2,NAME_2,VARNAME_2,NL_NAME_2,NL_NAME_2_short,TYPE_2,ENGTYPE_2,HASC_2,GID_3,NAME_3,VARNAME_3,NL_NAME_3,NL_NAME_3_short,TYPE_3,NL_NAME_4,ENGTYPE_3,CC_3,HASC_3,manual_addition,flags
180854,CHN,China,CHN.28_1,,Xinjiang Uygur,新疆維吾爾自治區|新疆维吾尔自治区,新疆维吾尔自治区,CHN.28.2_1,Altay,,阿勒泰地区,阿勒,,,,CHN.28.2.2_1,Burqin,Bù'ěrjīn,布尔津县,,Xiàn,,County,NA,NA,autofill,
180946,CHN,China,CHN.28_1,,Xinjiang Uygur,新疆維吾爾自治區|新疆维吾尔自治区,新疆维吾尔自治区,CHN.28.2_1,Altay,,阿勒泰地区,阿勒,,,,CHN.28.2.3_1,Fuhai,Fúhǎi,福海县,,Xiàn,,County,NA,NA,autofill,
180960,CHN,China,CHN.28_1,,Xinjiang Uygur,新疆維吾爾自治區|新疆维吾尔自治区,新疆维吾尔自治区,CHN.28.2_1,Altay,,阿勒泰地区,阿勒,,,,CHN.28.2.4_1,Fuyun,Fùyùn,富蕴县,,Xiàn,,County,NA,NA,autofill,
180856,CHN,China,CHN.28_1,,Xinjiang Uygur,新疆維吾爾自治區|新疆维吾尔自治区,新疆维吾尔自治区,CHN.28.2_1,Altay,,阿勒泰地区,阿勒,,,,CHN.28.2.5_1,Habahe,Hābāhé,哈巴河县,,Xiàn,,County,NA,NA,autofill,
180971,CHN,China,CHN.28_1,,Xinjiang Uygur,新疆維吾爾自治區|新疆维吾尔自治区,新疆维吾尔自治区,CHN.28.2_1,Altay,,阿勒泰地区,阿勒,,,,CHN.28.2.6_1,Jeminay,Jímùnǎi,吉木乃县,,Xiàn,,County,NA,NA,autofill,
181033,CHN,China,CHN.28_1,,Xinjiang Uygur,新疆維吾爾自治區|新疆维吾尔自治区,新疆维吾尔自治区,CHN.28.2_1,Altay,,阿勒泰地区,阿勒,,,,CHN.28.2.7_1,Qinggil,Qīnghé,清河县,,Xiàn,,County,NA,NA,autofill,
181661,CHN,China,CHN.19_1,,Nei Mongol,內蒙古自治區|内蒙古自治区,内蒙古自治区,CHN.19.1_1,Alxa,,阿拉善盟,阿拉,,,,CHN.19.1.1_1,Alxa Left,Ālāshàn Zuǒ,阿拉善左旗,,Qí,,Banner,NA,NA,autofill,
181648,CHN,China,CHN.19_1,,Nei Mongol,內蒙古自治區|内蒙古自治区,内蒙古自治区,CHN.19.1_1,Alxa,,阿拉善盟,阿拉,,,,CHN.19.1.2_1,Alxa Right,Ālāshàn Yòu,阿拉善右旗,,Qí,,Banner,NA,NA,autofill,
181550,CHN,China,CHN.19_1,,Nei Mongol,內蒙古自治區|内蒙古自治区,内蒙古自治区,CHN.19.1_1,Alxa,,阿拉善盟,阿拉,,,,CHN.19.1.3_1,Ejin,Éjìnà,额济纳旗,,Qí,,Banner,NA,NA,autofill,
185177,CHN,China,CHN.22_1,,Shaanxi,陝西|陕西,陕西省,CHN.22.1_1,Ankang,,安康市,安康,,,,CHN.22.1.1_1,Ankang,NA,NA,,Xiàn,,County,NA,NA,autofill,
185300,CHN,China,CHN.22_1,,Shaanxi,陝西|陕西,陕西省,CHN.22.1_1,Ankang,,安康市,安康,,,,CHN.22.1.2_1,Baihe,Báihé,白河县,,Xiàn,,County,NA,NA,autofill,
185234,CHN,China,CHN.22_1,,Shaanxi,陝西|陕西,陕西省,CHN.22.1_1,Ankang,,安康市,安康,,,,CHN.22.1.3_1,Hanyin,Hànyīn,汉阴县,,Xiàn,,County,NA,NA,autofill,
185405,CHN,China,CHN.22_1,,Shaanxi,陝西|陕西,陕西省,CHN.22.1_1,Ankang,,安康市,安康,,,,CHN.22.1.4_1,Langao,Lángāo,岚皋县,,Xiàn,,County,NA,NA,autofill,
184939,CHN,China,CHN.22_1,,Shaanxi,陝西|陕西,陕西省,CHN.22.1_1,Ankang,,安康市,安康,,,,CHN.22.1.5_1,Ningshan,Níngshǎn,宁陕县,,Xiàn,,County,NA,NA,autofill,
185378,CHN,China,CHN.22_1,,Shaanxi,陝西|陕西,陕西省,CHN.22.1_1,Ankang,,安康市,安康,,,,CHN.22.1.6_1,Pingli,Pínglì,平利县,,Xiàn,,County,NA,NA,autofill,
185162,CHN,China,CHN.22_1,,Shaanxi,陝西|陕西,陕西省,CHN.22.1_1,Ankang,,安康市,安康,,,,CHN.22.1.7_1,Shiquan,Shíquán,石泉县,,Xiàn,,County,NA,NA,autofill,
185210,CHN,China,CHN.22_1,,Shaanxi,陝西|陕西,陕西省,CHN.22.1_1,Ankang,,安康市,安康,,,,CHN.22.1.8_1,Xunyang,Xúnyáng,旬阳县,,Xiàn,,County,NA,NA,autofill,
185474,CHN,China,CHN.22_1,,Shaanxi,陝西|陕西,陕西省,CHN.22.1_1,Ankang,,安康市,安康,,,,CHN.22.1.9_1,Zhenping,Zhènpíng,镇坪县,,Xiàn,,County,NA,NA,autofill,
185331,CHN,China,CHN.22_1,,Shaanxi,陝西|陕西,陕西省,CHN.22.1_1,Ankang,,安康市,安康,,,,CHN.22.1.10_1,Ziyang,Zǐyáng,紫阳县,,Xiàn,,County,NA,NA,autofill,
185838,CHN,China,CHN.1_1,,Anhui,安徽|安徽,安徽省,CHN.1.1_1,Anqing,,安庆市,安庆,,,,CHN.1.1.1_1,Anqing,NA,NA,,Xiànjíshì,,County City,NA,NA,autofill,
185818,CHN,China,CHN.1_1,,Anhui,安徽|安徽,安徽省,CHN.1.1_1,Anqing,,安庆市,安庆,,,,CHN.1.1.2_1,Huaining,Huáiníng,怀宁县,,Xiàn,,County,NA,NA,autofill,
185767,CHN,China,CHN.1_1,,Anhui,安徽|安徽,安徽省,CHN.1.1_1,Anqing,,安庆市,安庆,,,,CHN.1.1.3_1,Qianshan,Qiánshān,潜山县,,Xiàn,,County,NA,NA,autofill,
185912,CHN,China,CHN.1_1,,Anhui,安徽|安徽,安徽省,CHN.1.1_1,Anqing,,安庆市,安庆,,,,CHN.1.1.4_1,Susong,Sùsōng,宿松县,宿松,Xiàn,,County,NA,NA,autofill,
185835,CHN,China,CHN.1_1,,Anhui,安徽|安徽,安徽省,CHN.1.1_1,Anqing,,安庆市,安庆,,,,CHN.1.1.5_1,Taihu,Tàihú,太湖县,,Xiàn,,County,NA,NA,autofill,
185720,CHN,China,CHN.1_1,,Anhui,安徽|安徽,安徽省,CHN.1.1_1,Anqing,,安庆市,安庆,,,,CHN.1.1.6_1,Tongcheng,Tóngchéng,桐城市,,Xiànjíshì,,County City,NA,NA,autofill,
185913,CHN,China,CHN.1_1,,Anhui,安徽|安徽,安徽省,CHN.1.1_1,Anqing,,安庆市,安庆,,,,CHN.1.1.7_1,Wangjiang,Wàngjiāng,望江县,,Xiàn,,County,NA,NA,autofill,
185740,CHN,China,CHN.1_1,,Anhui,安徽|安徽,安徽省,CHN.1.1_1,Anqing,,安庆市,安庆,,,,CHN.1.1.8_1,Yuexi,Yuèxī,岳西县,,Xiàn,,County,NA,NA,autofill,
185763,CHN,China,CHN.1_1,,Anhui,安徽|安徽,安徽省,CHN.1.1_1,Anqing,,安庆市,安庆,,,,CHN.1.1.9_1,Zongyang,Zōngyáng,枞阳县,,Xiàn,,County,NA,NA,autofill,
181765,CHN,China,CHN.18_1,,Liaoning,遼寧|辽宁,辽宁省,CHN.18.1_1,Anshan,,鞍山市,鞍山,,,,CHN.18.1.1_1,Anshan,NA,NA,,Shìxiáqū,,District,NA,NA,autofill,
181767,CHN,China,CHN.18_1,,Liaoning,遼寧|辽宁,辽宁省,CHN.18.1_1,Anshan,,鞍山市,鞍山,,,,CHN.18.1.2_1,Haicheng,Hǎichéng,海城市,,Xiànjíshì,,County City,NA,NA,autofill,
181701,CHN,China,CHN.18_1,,Liaoning,遼寧|辽宁,辽宁省,CHN.18.1_1,Anshan,,鞍山市,鞍山,,,,CHN.18.1.3_1,Tai'an,Tái'ān,台安县,,Xiàn,,County,NA,NA,autofill,
181841,CHN,China,CHN.18_1,,Liaoning,遼寧|辽宁,辽宁省,CHN.18.1_1,Anshan,,鞍山市,鞍山,,,,CHN.18.1.4_1,Xiuyan Manchu,Xiùyán Mǎnzú Zì,岫岩满族自治县,,Zìzhìxiàn,,Autonomous County,NA,NA,autofill,
191080,CHN,China,CHN.8_1,,Guizhou,貴州|贵州,贵州省,CHN.8.1_1,Anshun,,安顺市,安顺,,,,CHN.8.1.1_1,Anshun,NA,NA,,Xiàn,,County,NA,NA,autofill,
191322,CHN,China,CHN.8_1,,Guizhou,貴州|贵州,贵州省,CHN.8.1_1,Anshun,,安顺市,安顺,,,,CHN.8.1.2_1,Guanling Buyei and Miao,Guānlǐng Bùyīzú|Miáozú,关岭布依族|苗族自治县,,Zìzhìxiàn,,Autonomous County,NA,NA,autofill,
190833,CHN,China,CHN.8_1,,Guizhou,貴州|贵州,贵州省,CHN.8.1_1,Anshun,,安顺市,安顺,,,,CHN.8.1.3_1,Pingba,Píngbà,平坝县,,Xiàn,,County,NA,NA,autofill,
190987,CHN,China,CHN.8_1,,Guizhou,貴州|贵州,贵州省,CHN.8.1_1,Anshun,,安顺市,安顺,,,,CHN.8.1.4_1,Puding,Pǔdìng,普定县,,Xiàn,,County,NA,NA,autofill,
191241,CHN,China,CHN.8_1,,Guizhou,貴州|贵州,贵州省,CHN.8.1_1,Anshun,,安顺市,安顺,,,,CHN.8.1.5_1,Zhenning Buyei and Miao,Zhènníng Bùyīzú|Miáozú,镇宁布依族|苗族自治县,,Zìzhìxiàn,,Autonomous County,NA,NA,autofill,
191355,CHN,China,CHN.8_1,,Guizhou,貴州|贵州,贵州省,CHN.8.1_1,Anshun,,安顺市,安顺,,,,CHN.8.1.6_1,Ziyun Miao and Buyei,Zǐyún Miáozú|Bùyīzú,紫云苗族|布依族自治县,,Zìzhìxiàn,,Autonomous County,NA,NA,autofill,
183537,CHN,China,CHN.12_1,,Henan,河南,河南省,CHN.12.1_1,Anyang,,安阳市,安阳,,,,CHN.12.1.1_1,Anyang Shì,NA,NA,,Xiànjíshì,,County City,NA,NA,autofill,
183453,CHN,China,CHN.12_1,,Henan,河南,河南省,CHN.12.1_1,Anyang,,安阳市,安阳,,,,CHN.12.1.2_1,Anyang Xiàn,Ānyáng,NA,,Xiàn,,County,NA,NA,autofill,
183871,CHN,China,CHN.12_1,,Henan,河南,河南省,CHN.12.1_1,Anyang,,安阳市,安阳,,,,CHN.12.1.3_1,Hua,Huá,滑县,,Xiàn,,County,NA,NA,autofill,
183447,CHN,China,CHN.12_1,,Henan,河南,河南省,CHN.12.1_1,Anyang,,安阳市,安阳,,,,CHN.12.1.4_1,Lin,NA,NA,,Xiàn,,County,NA,NA,autofill,
183564,CHN,China,CHN.12_1,,Henan,河南,河南省,CHN.12.1_1,Anyang,,安阳市,安阳,,,,CHN.12.1.5_1,Neihuang,Nèihuáng,内黄县,,Xiàn,,County,NA,NA,autofill,
183640,CHN,China,CHN.12_1,,Henan,河南,河南省,CHN.12.1_1,Anyang,,安阳市,安阳,,,,CHN.12.1.6_1,Tangyin,Tāngyīn,汤阴县,,Xiàn,,County,NA,NA,autofill,
,,Area to be identified,,待明确地区,Area to be identified,待明确地区,未知地区,,Area to be identified,待明确地区,,,,,,,Shanghai Pu Dong Apt,,,,,,Airport,,,,
181173,CHN,China,CHN.17_1,,Jilin,吉林,吉林省,CHN.17.1_1,Baicheng,,白城市,白城,,,,CHN.17.1.1_1,Baicheng,NA,NA,,Xiànjíshì,,County City,NA,NA,autofill,
181181,CHN,China,CHN.17_1,,Jilin,吉林,吉林省,CHN.17.1_1,Baicheng,,白城市,白城,,,,CHN.17.1.2_1,Da'an,Dà'ān,大安市,,Xiànjíshì,,County City,NA,NA,autofill,
181158,CHN,China,CHN.17_1,,Jilin,吉林,吉林省,CHN.17.1_1,Baicheng,,白城市,白城,,,,CHN.17.1.3_1,Taonan,Táonán,洮南市,,Xiànjíshì,,County City,NA,NA,autofill,
