"age group","county name","cases","deaths","confirmed_case_hospitalization"
"<1 years","Brantley","5","0","0"
"Unknown years","Brantley","2","0","0"
"01-04 years","Brooks","37","0","1"
"05-09 years","Brooks","56","0","0"
"10-17 years","Brooks","134","0","0"
"18-29 years","Brooks","285","0","4"
"30-39 years","Brooks","219","1","10"
"40-49 years","Brooks","215","2","15"
"50-59 years","Brooks","243","6","30"
"60-69 years","Brooks","148","12","28"
"70-79 years","Brooks","125","17","26"
"80 & Older years","Brooks","79","19","22"
"<1 years","Brooks","14","0","0"
"01-04 years","Bryan","145","0","0"
"05-09 years","Bryan","254","0","2"
"10-17 years","Bryan","648","0","4"
"18-29 years","Bryan","1053","1","20"
"30-39 years","Bryan","930","4","29"
"40-49 years","Bryan","911","5","51"
"50-59 years","Bryan","633","8","54"
"60-69 years","Bryan","400","18","61"
"70-79 years","Bryan","239","19","87"
"80 & Older years","Bryan","88","10","31"
"<1 years","Bryan","57","0","4"
"Unknown years","Bryan","12","0","0"
"01-04 years","Bulloch","180","0","1"
"05-09 years","Bulloch","340","0","1"
"10-17 years","Bulloch","930","0","3"
"18-29 years","Bulloch","3384","1","15"
"30-39 years","Bulloch","1245","5","31"
"40-49 years","Bulloch","973","7","37"
"50-59 years","Bulloch","854","18","61"
"60-69 years","Bulloch","576","24","71"
"70-79 years","Bulloch","281","26","60"
"80 & Older years","Bulloch","135","19","43"
"<1 years","Bulloch","74","0","4"
"Unknown years","Bulloch","3","0","0"
"01-04 years","Burke","38","0","0"
"05-09 years","Burke","80","0","0"
"10-17 years","Burke","209","0","1"
"18-29 years","Burke","519","2","14"
"30-39 years","Burke","415","1","18"
"40-49 years","Burke","412","4","23"
"50-59 years","Burke","370","6","38"
"60-69 years","Burke","288","8","49"
"70-79 years","Burke","144","16","42"
"80 & Older years","Burke","51","12","19"
"<1 years","Burke","17","0","0"
"Unknown years","Burke","2","0","0"
"01-04 years","Butts","65","0","3"
"05-09 years","Butts","98","0","0"
"10-17 years","Butts","309","0","5"
"18-29 years","Butts","791","0","10"
"30-39 years","Butts","713","0","11"
"40-49 years","Butts","642","5","26"
"50-59 years","Butts","645","17","51"
"60-69 years","Butts","428","19","50"
"70-79 years","Butts","285","34","50"
"80 & Older years","Butts","169","39","16"
"<1 years","Butts","31","0","3"
"01-04 years","Calhoun","19","0","0"
"05-09 years","Calhoun","13","0","0"
"10-17 years","Calhoun","64","0","1"
"18-29 years","Calhoun","109","0","7"
"30-39 years","Calhoun","88","3","7"
"40-49 years","Calhoun","107","1","11"
"50-59 years","Calhoun","106","4","21"
"60-69 years","Calhoun","96","4","25"
"70-79 years","Calhoun","34","7","11"
"80 & Older years","Calhoun","23","2","10"
"<1 years","Calhoun","5","0","0"
"Unknown years","Calhoun","1","0","0"
"01-04 years","Camden","162","0","0"
"05-09 years","Camden","281","0","2"
"10-17 years","Camden","696","0","1"
"18-29 years","Camden","1546","0","11"
"30-39 years","Camden","1240","3","26"
"40-49 years","Camden","869","10","30"
"50-59 years","Camden","921","13","38"
"60-69 years","Camden","621","22","52"
"70-79 years","Camden","349","13","35"
"80 & Older years","Camden","138","22","29"
"<1 years","Camden","32","0","2"
"Unknown years","Camden","18","0","0"
"01-04 years","Candler","16","0","0"
"05-09 years","Candler","41","0","0"
"10-17 years","Candler","110","0","0"
"18-29 years","Candler","208","0","1"
"30-39 years","Candler","167","0","6"
"40-49 years","Candler","177","5","4"
"50-59 years","Candler","190","13","20"
"60-69 years","Candler","136","10","20"
"70-79 years","Candler","97","15","23"
"80 & Older years","Candler","35","8","15"
"<1 years","Candler","9","0","0"
"01-04 years","Carroll","218","0","3"
"05-09 years","Carroll","359","0","3"
"10-17 years","Carroll","1223","0","7"
"18-29 years","Carroll","2948","1","20"
"30-39 years","Carroll","2017","4","27"
"40-49 years","Carroll","1835","10","48"
"50-59 years","Carroll","1744","17","67"
"60-69 years","Carroll","1178","33","101"
"70-79 years","Carroll","647","40","79"
"80 & Older years","Carroll","346","58","55"
"<1 years","Carroll","79","0","2"
"Unknown years","Carroll","17","0","1"
"01-04 years","Catoosa","212","0","1"
"05-09 years","Catoosa","350","0","2"
"10-17 years","Catoosa","1006","0","2"
"18-29 years","Catoosa","1903","1","13"
"30-39 years","Catoosa","1536","2","15"
"40-49 years","Catoosa","1577","3","35"
"50-59 years","Catoosa","1404","12","59"
"60-69 years","Catoosa","963","14","79"
"70-79 years","Catoosa","565","26","80"
"80 & Older years","Catoosa","373","44","62"
"<1 years","Catoosa","76","0","1"
"Unknown years","Catoosa","43","0","2"
"01-04 years","Charlton","23","0","0"
"05-09 years","Charlton","50","0","0"
"10-17 years","Charlton","107","0","0"
"18-29 years","Charlton","436","1","3"
"30-39 years","Charlton","366","2","6"
"40-49 years","Charlton","300","3","14"
"50-59 years","Charlton","221","5","13"
"60-69 years","Charlton","202","12","32"
"70-79 years","Charlton","99","11","25"
"80 & Older years","Charlton","40","10","18"
"<1 years","Charlton","9","0","0"
"Unknown years","Charlton","1","0","0"
"01-04 years","Chatham","1283","0","9"
"05-09 years","Chatham","1959","1","5"
"10-17 years","Chatham","4040","0","33"
"18-29 years","Chatham","10225","6","172"
"30-39 years","Chatham","7592","24","260"
"40-49 years","Chatham","5554","43","329"
"50-59 years","Chatham","4649","86","457"
"60-69 years","Chatham","3477","144","585"
"70-79 years","Chatham","1793","173","531"
"80 & Older years","Chatham","1009","211","430"
"<1 years","Chatham","473","0","16"
"Unknown years","Chatham","80","0","2"
"01-04 years","Chattahoochee","17","0","0"
"05-09 years","Chattahoochee","35","0","0"
"10-17 years","Chattahoochee","197","0","2"
"18-29 years","Chattahoochee","4682","7","10"
"30-39 years","Chattahoochee","461","2","5"
"40-49 years","Chattahoochee","96","1","1"
"50-59 years","Chattahoochee","62","1","10"
"60-69 years","Chattahoochee","28","1","6"
"70-79 years","Chattahoochee","19","1","5"
"80 & Older years","Chattahoochee","10","3","5"
"<1 years","Chattahoochee","12","0","0"
"Unknown years","Chattahoochee","3","0","0"
"01-04 years","Chattooga","69","0","0"
"05-09 years","Chattooga","130","0","1"
"10-17 years","Chattooga","460","0","3"
"18-29 years","Chattooga","766","0","9"
"30-39 years","Chattooga","646","2","12"
"40-49 years","Chattooga","650","6","34"
"50-59 years","Chattooga","625","13","47"
"60-69 years","Chattooga","467","23","60"
"70-79 years","Chattooga","286","22","69"
"80 & Older years","Chattooga","168","33","42"
"<1 years","Chattooga","32","0","3"
"Unknown years","Chattooga","10","0","1"
"01-04 years","Cherokee","676","0","8"
"05-09 years","Cherokee","1407","0","12"
"10-17 years","Cherokee","4314","0","23"
"18-29 years","Cherokee","7609","2","135"
"30-39 years","Cherokee","5877","8","187"
"40-49 years","Cherokee","6281","13","255"
"50-59 years","Cherokee","5928","44","392"
"60-69 years","Cherokee","3618","84","412"
"70-79 years","Cherokee","2195","128","404"
"80 & Older years","Cherokee","1152","190","331"
"<1 years","Cherokee","212","0","9"
"Unknown years","Cherokee","60","0","0"
"01-04 years","Clarke","430","0","6"
"05-09 years","Clarke","666","0","8"
"10-17 years","Clarke","1418","0","17"
"18-29 years","Clarke","9721","0","118"
"30-39 years","Clarke","3077","3","98"
"40-49 years","Clarke","2381","6","116"
"50-59 years","Clarke","1961","17","146"
"60-69 years","Clarke","1266","36","159"
"70-79 years","Clarke","757","60","173"
"80 & Older years","Clarke","368","60","108"
"<1 years","Clarke","152","0","5"
"Unknown years","Clarke","12","0","0"
"01-04 years","Clay","6","0","0"
"05-09 years","Clay","7","0","0"
"10-17 years","Clay","28","0","0"
"18-29 years","Clay","54","0","0"
"30-39 years","Clay","49","0","2"
"40-49 years","Clay","46","0","2"
"50-59 years","Clay","28","1","3"
"60-69 years","Clay","27","1","2"
"70-79 years","Clay","23","0","1"
"80 & Older years","Clay","14","2","4"
"<1 years","Clay","1","0","0"
"Unknown years","Clay","1","0","0"
"01-04 years","Clayton","1257","0","18"
"05-09 years","Clayton","2048","1","16"
"10-17 years","Clayton","4759","1","72"
"18-29 years","Clayton","10087","10","270"
"30-39 years","Clayton","9148","36","378"
"40-49 years","Clayton","7634","55","403"
"50-59 years","Clayton","6545","112","546"
"60-69 years","Clayton","3946","196","493"
"70-79 years","Clayton","1567","183","324"
"80 & Older years","Clayton","696","164","200"
"<1 years","Clayton","363","0","19"
"Unknown years","Clayton","53","0","8"
"01-04 years","Clinch","28","0","0"
"05-09 years","Clinch","37","0","0"
"10-17 years","Clinch","114","0","0"
"18-29 years","Clinch","211","0","2"
"30-39 years","Clinch","178","1","5"
"40-49 years","Clinch","158","0","4"
"50-59 years","Clinch","150","3","20"
"60-69 years","Clinch","156","12","24"
"70-79 years","Clinch","74","10","23"
"80 & Older years","Clinch","26","8","10"
"<1 years","Clinch","10","0","0"
"Unknown years","Clinch","1","0","0"
