"sex","county name","cases","deaths","hospitalization"
"Female","Georgia","473600","8329","31842"
"Male","Georgia","406467","9472","30666"
"Unknown","Georgia","10514","3","172"
"Female","Appling","1048","26","87"
"Male","Appling","877","40","91"
"Female","Atkinson","423","9","58"
"Male","Atkinson","363","11","59"
"Female","Bacon","552","13","42"
"Male","Bacon","736","15","48"
"Female","Baker","85","2","13"
"Male","Baker","79","7","21"
"Female","Baldwin","2128","36","140"
"Male","Baldwin","1707","79","181"
"Unknown","Baldwin","22","0","1"
"Female","Banks","888","20","111"
"Male","Banks","746","15","82"
"Unknown","Banks","16","0","0"
"Female","Barrow","4743","66","320"
"Male","Barrow","4067","69","289"
"Unknown","Barrow","35","0","1"
"Female","Bartow","5919","98","402"
"Male","Bartow","5257","112","435"
"Unknown","Bartow","113","0","0"
"Female","Ben Hill","862","26","85"
"Male","Ben Hill","632","35","71"
"Unknown","Ben Hill","1","0","0"
"Female","Berrien","584","16","38"
"Male","Berrien","479","16","32"
"Unknown","Berrien","5","0","0"
"Female","Bibb","7613","203","943"
"Male","Bibb","5664","204","822"
"Unknown","Bibb","123","0","2"
"Female","Bleckley","464","18","25"
"Male","Bleckley","333","16","23"
"Unknown","Bleckley","6","0","1"
"Female","Brantley","513","15","46"
"Male","Brantley","433","17","34"
"Female","Brooks","546","12","49"
"Male","Brooks","393","24","40"
"Unknown","Brooks","8","0","0"
"Female","Bryan","1446","18","84"
"Male","Bryan","1259","18","91"
"Unknown","Bryan","62","0","0"
"Female","Bulloch","2989","38","121"
"Male","Bulloch","2296","26","101"
"Unknown","Bulloch","1","0","0"
"Female","Burke","992","20","81"
"Male","Burke","794","16","72"
"Unknown","Burke","10","0","1"
"Female","Butts","1077","34","48"
"Male","Butts","1146","44","77"
"Unknown","Butts","131","0","1"
"Female","Calhoun","226","11","36"
"Male","Calhoun","224","4","38"
"Unknown","Calhoun","2","0","0"
"Female","Camden","1708","17","75"
"Male","Camden","1511","14","63"
"Unknown","Camden","17","0","0"
"Female","Candler","416","13","33"
"Male","Candler","348","24","29"
"Female","Carroll","3923","62","149"
"Male","Carroll","3494","70","163"
"Unknown","Carroll","38","0","1"
"Female","Catoosa","3072","33","138"
"Male","Catoosa","2595","31","117"
"Unknown","Catoosa","98","0","3"
"Female","Charlton","455","11","36"
"Male","Charlton","705","14","29"
"Female","Chatham","11027","198","843"
"Male","Chatham","9051","232","788"
"Unknown","Chatham","244","0","4"
"Female","Chattahoochee","249","1","12"
"Male","Chattahoochee","3196","12","19"
"Unknown","Chattahoochee","14","0","0"
"Female","Chattooga","1213","28","81"
"Male","Chattooga","1031","35","102"
"Unknown","Chattooga","11","0","0"
"Female","Cherokee","11877","130","607"
"Male","Cherokee","10505","175","709"
"Unknown","Cherokee","180","0","3"
"Female","Clarke","7132","57","255"
"Male","Clarke","5659","80","243"
"Unknown","Clarke","58","0","1"
"Female","Clay","105","1","4"
"Male","Clay","75","2","6"
"Unknown","Clay","5","0","0"
"Female","Clayton","13607","226","756"
"Male","Clayton","10368","237","648"
"Unknown","Clayton","164","0","1"
"Female","Clinch","375","10","34"
"Male","Clinch","365","15","33"
"Unknown","Clinch","1","0","0"
"Female","Cobb","32472","441","1560"
"Male","Cobb","28441","533","1631"
"Unknown","Cobb","342","0","9"
"Female","Coffee","2292","72","363"
"Male","Coffee","1948","65","288"
"Female","Colquitt","1825","35","130"
"Male","Colquitt","1714","47","121"
"Unknown","Colquitt","14","0","0"
"Female","Columbia","5921","72","228"
"Male","Columbia","5161","90","249"
"Unknown","Columbia","39","0","2"
"Female","Cook","667","17","59"
"Male","Cook","484","21","48"
"Unknown","Cook","15","0","0"
"Female","Coweta","4581","87","177"
"Male","Coweta","4160","120","190"
"Unknown","Coweta","28","0","0"
"Female","Crawford","291","9","44"
"Male","Crawford","230","8","26"
"Unknown","Crawford","2","0","0"
"Female","Crisp","819","25","99"
"Male","Crisp","607","31","66"
"Unknown","Crisp","23","0","1"
"Female","Dade","631","9","32"
"Male","Dade","576","4","30"
"Unknown","Dade","20","0","0"
"Female","Dawson","1461","17","118"
"Male","Dawson","1251","27","130"
"Unknown","Dawson","30","0","0"
"Female","DeKalb","31516","447","2472"
"Male","DeKalb","26273","502","2192"
"Unknown","DeKalb","575","0","8"
"Female","Decatur","1201","28","79"
"Male","Decatur","927","27","68"
"Unknown","Decatur","18","0","0"
"Female","Dodge","585","26","55"
"Male","Dodge","488","30","53"
"Unknown","Dodge","14","0","0"
"Female","Dooly","431","15","48"
"Male","Dooly","359","17","42"
"Unknown","Dooly","8","0","0"
"Female","Dougherty","3345","150","592"
"Male","Dougherty","2228","132","448"
"Unknown","Dougherty","30","0","0"
"Female","Douglas","6614","86","472"
"Male","Douglas","5449","92","398"
"Unknown","Douglas","59","0","1"
"Female","Early","608","24","45"
"Male","Early","403","19","28"
"Unknown","Early","7","0","0"
"Female","Echols","139","0","3"
"Male","Echols","217","4","10"
"Unknown","Echols","4","0","0"
"Female","Effingham","2018","30","129"
"Male","Effingham","1779","36","123"
"Unknown","Effingham","43","0","0"
"Female","Elbert","906","31","81"
"Male","Elbert","620","28","48"
"Unknown","Elbert","7","0","1"
"Female","Emanuel","1006","32","74"
"Male","Emanuel","734","22","50"
"Unknown","Emanuel","11","0","0"
"Female","Evans","437","7","51"
"Male","Evans","324","10","21"
"Female","Fannin","1141","28","87"
"Male","Fannin","979","33","91"
"Unknown","Fannin","16","0","0"
"Female","Fayette","3544","70","127"
"Male","Fayette","3164","84","139"
"Unknown","Fayette","39","0","0"
"Female","Floyd","5363","77","428"
"Male","Floyd","4558","112","458"
"Unknown","Floyd","106","0","5"
"Female","Forsyth","8973","77","425"
"Male","Forsyth","8505","111","551"
"Unknown","Forsyth","593","0","2"
"Female","Franklin","1304","15","84"
"Male","Franklin","1035","28","70"
"Unknown","Franklin","18","0","0"
"Female","Fulton","43682","605","2591"
"Male","Fulton","38829","684","2501"
"Unknown","Fulton","460","0","3"
"Female","Gilmer","1368","30","115"
"Male","Gilmer","1099","42","105"
"Unknown","Gilmer","42","0","2"
"Female","Glascock","65","3","8"
"Male","Glascock","71","4","12"
"Unknown","Glascock","10","0","0"
"Female","Glynn","3486","71","234"
"Male","Glynn","3167","83","220"
"Unknown","Glynn","107","0","2"
"Female","Gordon","3433","45","161"
"Male","Gordon","2959","61","168"
"Unknown","Gordon","125","0","1"
"Female","Grady","891","18","90"
"Male","Grady","664","29","87"
"Unknown","Grady","18","0","0"
"Female","Greene","823","25","65"
"Male","Greene","686","31","72"
"Unknown","Greene","4","0","0"
"Female","Gwinnett","45885","506","2831"
"Male","Gwinnett","40251","581","2652"
"Unknown","Gwinnett","921","0","11"
"Female","Habersham","2518","82","229"
"Male","Habersham","2107","71","246"
"Unknown","Habersham","42","0","0"
"Female","Hall","13217","210","1150"
"Male","Hall","11670","236","1236"
"Unknown","Hall","311","1","3"
"Female","Hancock","413","25","52"
"Male","Hancock","422","38","54"
"Unknown","Hancock","5","0","0"
"Female","Haralson","898","17","44"
"Male","Haralson","804","18","33"
"Unknown","Haralson","19","0","0"
"Female","Harris","1147","28","80"
"Male","Harris","1001","30","80"
"Unknown","Harris","42","0","0"
"Female","Hart","978","16","57"
"Male","Hart","727","21","57"
"Unknown","Hart","7","0","0"
"Female","Heard","350","10","19"
"Male","Heard","301","6","29"
"Female","Henry","10696","134","326"
"Male","Henry","8655","166","285"
"Unknown","Henry","80","0","0"
"Female","Houston","5494","91","393"
"Male","Houston","4578","106","377"
"Unknown","Houston","85","0","1"
"Female","Irwin","363","11","43"
"Male","Irwin","321","7","38"
"Unknown","Irwin","2","0","0"
"Female","Jackson","4606","66","236"
"Male","Jackson","3916","75","275"
"Unknown","Jackson","42","0","1"
"Female","Jasper","364","7","30"
"Male","Jasper","315","12","31"
"Unknown","Jasper","4","0","0"
"Female","Jeff Davis","684","14","42"
"Male","Jeff Davis","620","22","51"
"Female","Jefferson","915","27","83"
"Male","Jefferson","660","32","70"
"Unknown","Jefferson","10","0","1"
"Female","Jenkins","431","17","37"
"Male","Jenkins","296","21","44"
"Unknown","Jenkins","1","1","1"
"Female","Johnson","385","16","51"
"Male","Johnson","403","26","47"
"Unknown","Johnson","2","0","0"
"Female","Jones","918","23","87"
"Male","Jones","669","29","79"
"Unknown","Jones","1","0","0"
"Female","Lamar","767","20","62"
"Male","Lamar","586","26","61"
"Unknown","Lamar","5","0","0"
"Female","Lanier","222","3","10"
"Male","Lanier","276","6","17"
"Unknown","Lanier","5","0","0"
"Female","Laurens","2143","55","168"
"Male","Laurens","1571","91","185"
"Unknown","Laurens","19","0","2"
"Female","Lee","881","26","89"
"Male","Lee","718","25","95"
"Unknown","Lee","6","0","0"
"Female","Liberty","1739","28","115"
"Male","Liberty","1490","34","110"
"Unknown","Liberty","263","0","0"
"Female","Lincoln","276","13","28"
"Male","Lincoln","229","11","24"
"Unknown","Lincoln","11","0","0"
"Female","Long","362","4","26"
"Male","Long","300","7","22"
"Unknown","Long","18","0","0"
"Female","Lowndes","4340","81","211"
"Male","Lowndes","3473","62","171"
"Unknown","Lowndes","49","0","2"
"Female","Lumpkin","1532","35","158"
"Male","Lumpkin","1275","29","133"
"Unknown","Lumpkin","14","0","0"
"Female","Macon","325","10","35"
"Male","Macon","298","17","48"
"Unknown","Macon","1","0","0"
"Female","Madison","1500","20","80"
"Male","Madison","1261","26","79"
"Unknown","Madison","8","0","0"
"Female","Marion","246","10","17"
"Male","Marion","154","7","22"
"Unknown","Marion","2","0","0"
"Female","McDuffie","925","26","88"
"Male","McDuffie","692","16","72"
"Unknown","McDuffie","83","0","0"
"Female","McIntosh","386","9","27"
"Male","McIntosh","306","5","30"
"Unknown","McIntosh","8","0","0"
"Female","Meriwether","907","35","79"
"Male","Meriwether","635","38","61"
"Unknown","Meriwether","8","0","0"
"Female","Miller","384","3","20"
"Male","Miller","301","6","21"
"Unknown","Miller","1","0","0"
"Female","Mitchell","827","33","120"
"Male","Mitchell","713","41","112"
"Unknown","Mitchell","5","0","0"
"Female","Monroe","1009","44","93"
"Male","Monroe","855","43","100"
"Unknown","Monroe","22","0","0"
"Female","Montgomery","394","11","23"
"Male","Montgomery","327","10","20"
"Unknown","Montgomery","6","0","0"
"Female","Morgan","658","8","39"
"Male","Morgan","539","15","53"
"Unknown","Morgan","7","0","1"
"Female","Murray","2245","31","115"
"Male","Murray","1928","50","137"
"Unknown","Murray","39","0","4"
"Female","Muscogee","8117","220","640"
"Male","Muscogee","6203","187","547"
"Unknown","Muscogee","214","0","1"
"Female","Newton","4281","110","359"
"Male","Newton","3247","116","304"
"Unknown","Newton","74","0","2"
"Female","Non-GA Resident/Unknown State","9950","206","522"
"Male","Non-GA Resident/Unknown State","11512","272","714"
"Unknown","Non-GA Resident/Unknown State","2349","1","40"
"Female","Oconee","1622","27","67"
"Male","Oconee","1439","38","63"
"Unknown","Oconee","11","0","0"
"Female","Oglethorpe","685","9","36"
"Male","Oglethorpe","514","19","39"
"Unknown","Oglethorpe","3","0","0"
"Female","Paulding","5923","82","228"
"Male","Paulding","4866","87","193"
"Unknown","Paulding","111","0","6"
"Female","Peach","1056","27","121"
"Male","Peach","815","25","103"
"Unknown","Peach","7","0","1"
"Female","Pickens","1399","28","111"
"Male","Pickens","1151","36","103"
"Unknown","Pickens","15","0","0"
"Female","Pierce","723","21","66"
"Male","Pierce","553","23","73"
"Female","Pike","582","11","45"
"Male","Pike","482","15","26"
"Unknown","Pike","13","0","1"
"Female","Polk","2096","41","193"
"Male","Polk","1835","41","184"
"Unknown","Polk","35","0","2"
"Female","Pulaski","405","20","33"
"Male","Pulaski","205","12","24"
"Unknown","Pulaski","2","0","0"
"Female","Putnam","968","19","75"
"Male","Putnam","827","37","86"
"Unknown","Putnam","6","0","0"
"Female","Quitman","52","1","6"
"Male","Quitman","30","1","5"
"Female","Rabun","814","19","82"
"Male","Rabun","734","21","68"
"Unknown","Rabun","10","0","1"
"Female","Randolph","276","21","49"
"Male","Randolph","194","12","32"
"Female","Richmond","11106","176","678"
"Male","Richmond","8959","245","683"
"Unknown","Richmond","139","0","12"
"Female","Rockdale","3431","70","482"
"Male","Rockdale","2640","82","401"
"Unknown","Rockdale","53","0","4"
"Female","Schley","115","0","10"
"Male","Schley","97","5","11"
"Female","Screven","467","12","40"
"Male","Screven","346","9","32"
"Unknown","Screven","6","0","0"
"Female","Seminole","422","9","41"
"Male","Seminole","326","9","26"
"Unknown","Seminole","2","0","0"
"Female","Spalding","2305","81","258"
"Male","Spalding","1810","77","182"
"Unknown","Spalding","24","0","2"
"Female","Stephens","1661","42","133"
"Male","Stephens","1313","39","123"
"Unknown","Stephens","17","0","0"
"Female","Stewart","188","9","25"
"Male","Stewart","599","16","102"
"Unknown","Stewart","16","0","0"
"Female","Sumter","1046","41","142"
"Male","Sumter","773","52","124"
"Unknown","Sumter","4","0","0"
"Female","Talbot","226","7","21"
"Male","Talbot","160","11","21"
"Unknown","Talbot","6","0","0"
"Female","Taliaferro","55","0","1"
"Male","Taliaferro","45","3","8"
"Unknown","Taliaferro","1","0","0"
"Female","Tattnall","960","20","57"
"Male","Tattnall","895","27","64"
"Female","Taylor","283","12","36"
"Male","Taylor","226","10","38"
"Unknown","Taylor","4","0","0"
"Female","Telfair","357","21","29"
"Male","Telfair","350","24","41"
"Unknown","Telfair","20","0","0"
"Female","Terrell","341","24","60"
"Male","Terrell","229","22","53"
"Unknown","Terrell","6","0","0"
"Female","Thomas","2074","64","185"
"Male","Thomas","1516","50","167"
"Unknown","Thomas","17","0","0"
"Female","Tift","1910","41","242"
"Male","Tift","1505","56","174"
"Unknown","Tift","35","0","0"
"Female","Toombs","1657","55","88"
"Male","Toombs","1297","43","93"
"Unknown","Toombs","2","0","0"
"Female","Towns","627","21","68"
"Male","Towns","476","23","62"
"Unknown","Towns","11","0","0"
"Female","Treutlen","348","12","26"
"Male","Treutlen","276","12","27"
"Unknown","Treutlen","6","0","0"
"Female","Troup","3383","106","271"
"Male","Troup","2567","81","231"
"Unknown","Troup","59","0","1"
"Female","Turner","352","14","46"
"Male","Turner","250","20","41"
"Unknown","Turner","2","0","0"
"Female","Twiggs","273","13","45"
"Male","Twiggs","238","26","56"
"Unknown","Twiggs","2","0","0"
"Female","Union","1179","42","95"
"Male","Union","878","28","117"
"Unknown","Union","13","0","1"
"Female","Unknown","802","1","11"
"Male","Unknown","1021","4","18"
"Unknown","Unknown","507","0","7"
"Female","Upson","1025","57","98"
"Male","Upson","789","50","81"
"Unknown","Upson","11","0","0"
"Female","Walker","3518","44","137"
"Male","Walker","3028","36","152"
"Unknown","Walker","78","0","3"
"Female","Walton","4505","113","262"
"Male","Walton","3549","126","248"
"Unknown","Walton","74","0","0"
"Female","Ware","1688","81","173"
"Male","Ware","1353","72","180"
"Female","Warren","217","7","31"
"Male","Warren","159","7","17"
"Unknown","Warren","8","0","0"
"Female","Washington","893","30","57"
"Male","Washington","742","32","56"
"Unknown","Washington","6","0","0"
"Female","Wayne","1392","36","131"
"Male","Wayne","1374","42","141"
"Unknown","Wayne","1","0","0"
"Female","Webster","65","2","8"
"Male","Webster","39","2","7"
"Unknown","Webster","2","0","0"
"Female","Wheeler","155","0","3"
"Male","Wheeler","289","21","32"
"Unknown","Wheeler","16","0","0"
"Female","White","1605","31","141"
"Male","White","1374","36","154"
"Unknown","White","13","0","0"
"Female","Whitfield","7903","112","385"
"Male","Whitfield","6880","119","372"
"Unknown","Whitfield","138","0","4"
"Female","Wilcox","216","11","27"
"Male","Wilcox","259","18","46"
"Unknown","Wilcox","3","0","0"
"Female","Wilkes","364","8","35"
"Male","Wilkes","303","13","38"
"Unknown","Wilkes","4","0","0"
"Female","Wilkinson","407","15","58"
"Male","Wilkinson","321","13","63"
"Unknown","Wilkinson","7","0","0"
"Female","Worth","704","30","102"
"Male","Worth","489","31","73"
"Unknown","Worth","5","0","0"
