"Ethnicity","race","cases","Deaths"
"Hispanic/Latino","African-American/Black","1067","12"
"Hispanic/Latino","American Indian/Alaska Native","49","0"
"Hispanic/Latino","Asian","102","0"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","100","0"
"Hispanic/Latino","Other","16396","175"
"Hispanic/Latino","Unknown","6492","9"
"Hispanic/Latino","White","21972","278"
"Non-Hispanic/Latino","African-American/Black","84867","3174"
"Non-Hispanic/Latino","American Indian/Alaska Native","132","8"
"Non-Hispanic/Latino","Asian","4855","141"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","249","6"
"Non-Hispanic/Latino","Other","4273","15"
"Non-Hispanic/Latino","Unknown","3345","19"
"Non-Hispanic/Latino","White","108433","4054"
"Unknown","African-American/Black","13723","13"
"Unknown","American Indian/Alaska Native","49","0"
"Unknown","Asian","1368","0"
"Unknown","Native Hawaiian/Pacific Islander","90","0"
"Unknown","Other","4917","3"
"Unknown","Unknown","69860","54"
"Unknown","White","18451","18"
