Ethnicity,race,Confirmed_Cases,Deaths
Hispanic/Latino,African-American/Black,802,14
Hispanic/Latino,American Indian/Alaska Native,63,1
Hispanic/Latino,Asian,81,1
Hispanic/Latino,Native Hawaiian/Pacific Islander,88,0
Hispanic/Latino,Other,13487,147
Hispanic/Latino,Unknown,5297,5
Hispanic/Latino,White,17799,226
Non-Hispanic/Latino,African-American/Black,63414,2629
Non-Hispanic/Latino,American Indian/Alaska Native,123,7
Non-Hispanic/Latino,Asian,3340,117
Non-Hispanic/Latino,Native Hawaiian/Pacific Islander,189,6
Non-Hispanic/Latino,Other,3266,18
Non-Hispanic/Latino,Unknown,2511,25
Non-Hispanic/Latino,White,70690,3035
Unknown,African-American/Black,11811,21
Unknown,American Indian/Alaska Native,55,0
Unknown,Asian,1105,1
Unknown,Native Hawaiian/Pacific Islander,126,2
Unknown,Other,4894,5
Unknown,Unknown,80710,54
Unknown,White,14463,19
