"age group","county name","cases","deaths","confirmed_case_hospitalization"
"01-04 years","Georgia","41371","3","530"
"05-09 years","Georgia","72256","5","407"
"10-17 years","Georgia","179427","17","1494"
"18-29 years","Georgia","405202","249","7683"
"30-39 years","Georgia","317693","642","9471"
"40-49 years","Georgia","285867","1412","12694"
"50-59 years","Georgia","254706","3371","18392"
"60-69 years","Georgia","166929","5997","20684"
"70-79 years","Georgia","91508","7726","18841"
"80 & Older years","Georgia","48126","8934","13935"
"<1 years","Georgia","13781","2","614"
"Unknown years","Georgia","6827","0","212"
"01-04 years","Appling","74","0","0"
"05-09 years","Appling","125","0","0"
"10-17 years","Appling","413","0","3"
"18-29 years","Appling","628","1","8"
"30-39 years","Appling","489","4","10"
"40-49 years","Appling","474","9","29"
"50-59 years","Appling","475","11","44"
"60-69 years","Appling","391","22","73"
"70-79 years","Appling","263","25","51"
"80 & Older years","Appling","134","31","42"
"<1 years","Appling","15","0","0"
"Unknown years","Appling","6","0","0"
"01-04 years","Atkinson","34","0","2"
"05-09 years","Atkinson","69","0","1"
"10-17 years","Atkinson","179","0","2"
"18-29 years","Atkinson","311","0","16"
"30-39 years","Atkinson","231","0","15"
"40-49 years","Atkinson","216","4","35"
"50-59 years","Atkinson","208","5","37"
"60-69 years","Atkinson","139","7","44"
"70-79 years","Atkinson","69","8","26"
"80 & Older years","Atkinson","27","9","15"
"<1 years","Atkinson","8","0","0"
"01-04 years","Bacon","53","0","1"
"05-09 years","Bacon","76","0","0"
"10-17 years","Bacon","228","0","1"
"18-29 years","Bacon","626","0","10"
"30-39 years","Bacon","366","1","13"
"40-49 years","Bacon","374","5","24"
"50-59 years","Bacon","283","3","27"
"60-69 years","Bacon","242","18","50"
"70-79 years","Bacon","155","14","45"
"80 & Older years","Bacon","73","14","22"
"<1 years","Bacon","18","0","0"
"Unknown years","Bacon","2","0","0"
"01-04 years","Baker","12","0","0"
"05-09 years","Baker","21","0","0"
"10-17 years","Baker","22","0","0"
"18-29 years","Baker","55","0","0"
"30-39 years","Baker","34","0","4"
"40-49 years","Baker","35","3","3"
"50-59 years","Baker","39","0","4"
"60-69 years","Baker","46","3","17"
"70-79 years","Baker","24","3","11"
"80 & Older years","Baker","16","4","6"
