"ethnicity","race","cases","deaths"
"Hispanic/Latino","African-American/Black","5059","39"
"Hispanic/Latino","American Indian/Alaska Native","273","1"
"Hispanic/Latino","Asian","506","6"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","362","6"
"Hispanic/Latino","Other","45609","448"
"Hispanic/Latino","Unknown","22040","9"
"Hispanic/Latino","White","60631","751"
"Non-Hispanic/Latino","African-American/Black","335041","8344"
"Non-Hispanic/Latino","American Indian/Alaska Native","596","18"
"Non-Hispanic/Latino","Asian","24070","418"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","961","15"
"Non-Hispanic/Latino","Other","21395","293"
"Non-Hispanic/Latino","Unknown","11091","13"
"Non-Hispanic/Latino","White","485825","14656"
"Unknown","African-American/Black","28657","27"
"Unknown","American Indian/Alaska Native","214","0"
"Unknown","Asian","5119","2"
"Unknown","Native Hawaiian/Pacific Islander","216","0"
"Unknown","Other","28808","17"
"Unknown","Unknown","150474","78"
"Unknown","White","43678","48"
