Ethnicity,race,Confirmed_Cases,Deaths
Hispanic/Latino,African-American/Black,866,13
Hispanic/Latino,American Indian/Alaska Native,50,0
Hispanic/Latino,Asian,89,0
Hispanic/Latino,Native Hawaiian/Pacific Islander,90,0
Hispanic/Latino,Other,14323,152
Hispanic/Latino,Unknown,5606,7
Hispanic/Latino,White,19034,254
Non-Hispanic/Latino,African-American/Black,68558,2818
Non-Hispanic/Latino,American Indian/Alaska Native,127,7
Non-Hispanic/Latino,Asian,3758,126
Non-Hispanic/Latino,Native Hawaiian/Pacific Islander,201,6
Non-Hispanic/Latino,Other,3535,15
Non-Hispanic/Latino,Unknown,2816,26
Non-Hispanic/Latino,White,79763,3358
Unknown,African-American/Black,12477,15
Unknown,American Indian/Alaska Native,54,0
Unknown,Asian,1173,0
Unknown,Native Hawaiian/Pacific Islander,85,0
Unknown,Other,5140,4
Unknown,Unknown,78996,54
Unknown,White,15773,19
