"age group","county name","cases","deaths","confirmed_case_hospitalization"
"01-04 years","Georgia","33579","3","466"
"05-09 years","Georgia","59281","5","373"
"10-17 years","Georgia","156749","16","1410"
"18-29 years","Georgia","365689","234","7258"
"30-39 years","Georgia","281337","615","9059"
"40-49 years","Georgia","254937","1369","12180"
"50-59 years","Georgia","227582","3184","17572"
"60-69 years","Georgia","148522","5684","19635"
"70-79 years","Georgia","81695","7251","17747"
"80 & Older years","Georgia","43380","8438","13073"
"<1 years","Georgia","11424","1","571"
"Unknown years","Georgia","4763","0","192"
"01-04 years","Appling","60","0","0"
"05-09 years","Appling","99","0","0"
"10-17 years","Appling","367","0","3"
"18-29 years","Appling","547","1","8"
"30-39 years","Appling","419","3","10"
"40-49 years","Appling","421","9","28"
"50-59 years","Appling","427","11","44"
"60-69 years","Appling","357","22","69"
"70-79 years","Appling","234","25","47"
"80 & Older years","Appling","125","28","41"
"<1 years","Appling","12","0","0"
"Unknown years","Appling","1","0","0"
"01-04 years","Atkinson","27","0","2"
"05-09 years","Atkinson","50","0","1"
"10-17 years","Atkinson","132","0","1"
"18-29 years","Atkinson","280","0","16"
"30-39 years","Atkinson","202","0","15"
"40-49 years","Atkinson","197","4","34"
"50-59 years","Atkinson","195","5","37"
"60-69 years","Atkinson","130","7","41"
"70-79 years","Atkinson","63","8","25"
"80 & Older years","Atkinson","24","8","14"
"<1 years","Atkinson","7","0","0"
"Unknown years","Atkinson","1","0","0"
"01-04 years","Bacon","46","0","1"
"05-09 years","Bacon","64","0","0"
"10-17 years","Bacon","187","0","1"
"18-29 years","Bacon","567","0","9"
"30-39 years","Bacon","324","1","12"
"40-49 years","Bacon","315","5","22"
"50-59 years","Bacon","238","3","22"
"60-69 years","Bacon","219","17","47"
"70-79 years","Bacon","135","14","39"
"80 & Older years","Bacon","62","13","21"
"<1 years","Bacon","14","0","0"
"Unknown years","Bacon","1","0","0"
"01-04 years","Baker","10","0","0"
"05-09 years","Baker","17","0","0"
"10-17 years","Baker","19","0","0"
"18-29 years","Baker","46","0","0"
"30-39 years","Baker","31","0","4"
"40-49 years","Baker","30","3","3"
"50-59 years","Baker","37","0","4"
"60-69 years","Baker","41","3","16"
"70-79 years","Baker","23","3","11"
"80 & Older years","Baker","16","4","6"
"<1 years","Baker","3","0","0"
"01-04 years","Baldwin","97","0","1"
"05-09 years","Baldwin","189","0","0"
"10-17 years","Baldwin","492","1","5"
"18-29 years","Baldwin","1871","0","22"
"30-39 years","Baldwin","911","2","20"
"40-49 years","Baldwin","854","6","44"
"50-59 years","Baldwin","804","22","79"
"60-69 years","Baldwin","618","40","90"
"70-79 years","Baldwin","375","44","70"
"80 & Older years","Baldwin","214","62","75"
"<1 years","Baldwin","36","0","3"
"Unknown years","Baldwin","4","0","0"
"01-04 years","Banks","39","0","1"
"05-09 years","Banks","71","0","1"
"10-17 years","Banks","226","0","5"
"18-29 years","Banks","585","0","19"
"30-39 years","Banks","419","0","22"
"40-49 years","Banks","434","6","29"
"50-59 years","Banks","430","6","40"
"60-69 years","Banks","351","16","69"
"70-79 years","Banks","247","24","77"
"80 & Older years","Banks","107","15","36"
"<1 years","Banks","21","0","3"
"Unknown years","Banks","22","0","1"
"01-04 years","Barrow","307","0","1"
"05-09 years","Barrow","567","0","2"
"10-17 years","Barrow","1688","1","13"
"18-29 years","Barrow","3409","1","65"
"30-39 years","Barrow","3031","3","86"
"40-49 years","Barrow","2904","13","120"
"50-59 years","Barrow","2373","19","176"
"60-69 years","Barrow","1542","48","194"
"70-79 years","Barrow","849","55","142"
"80 & Older years","Barrow","365","63","121"
"<1 years","Barrow","127","0","11"
"Unknown years","Barrow","14","0","2"
"01-04 years","Bartow","374","0","12"
"05-09 years","Bartow","550","0","4"
"10-17 years","Bartow","1787","0","17"
"18-29 years","Bartow","3813","0","39"
"30-39 years","Bartow","3066","6","67"
"40-49 years","Bartow","2969","8","122"
"50-59 years","Bartow","3002","35","222"
"60-69 years","Bartow","1886","85","229"
"70-79 years","Bartow","1194","112","254"
"80 & Older years","Bartow","561","97","153"
"<1 years","Bartow","150","0","8"
"Unknown years","Bartow","51","0","3"
"01-04 years","Ben Hill","41","0","1"
"05-09 years","Ben Hill","37","0","0"
"10-17 years","Ben Hill","160","0","0"
"18-29 years","Ben Hill","403","0","5"
"30-39 years","Ben Hill","306","3","13"
"40-49 years","Ben Hill","280","2","14"
"50-59 years","Ben Hill","295","8","34"
"60-69 years","Ben Hill","250","17","36"
"70-79 years","Ben Hill","162","22","56"
"80 & Older years","Ben Hill","77","20","21"
"<1 years","Ben Hill","14","0","2"
"01-04 years","Berrien","47","0","1"
"05-09 years","Berrien","50","0","0"
"10-17 years","Berrien","162","0","1"
"18-29 years","Berrien","328","0","0"
"30-39 years","Berrien","283","0","5"
"40-49 years","Berrien","217","1","7"
"50-59 years","Berrien","241","6","23"
"60-69 years","Berrien","187","11","28"
"70-79 years","Berrien","129","18","22"
"80 & Older years","Berrien","64","15","15"
"<1 years","Berrien","13","0","0"
"Unknown years","Berrien","1","0","0"
"01-04 years","Bibb","413","0","7"
"05-09 years","Bibb","708","0","4"
"10-17 years","Bibb","1932","0","14"
"18-29 years","Bibb","5842","4","138"
"30-39 years","Bibb","4356","11","192"
"40-49 years","Bibb","3870","28","315"
"50-59 years","Bibb","3440","61","426"
"60-69 years","Bibb","2553","137","556"
"70-79 years","Bibb","1406","168","467"
"80 & Older years","Bibb","805","196","377"
"<1 years","Bibb","118","0","8"
"Unknown years","Bibb","14","0","1"
"01-04 years","Bleckley","17","0","0"
"05-09 years","Bleckley","46","0","0"
"10-17 years","Bleckley","145","0","0"
"18-29 years","Bleckley","302","0","6"
"30-39 years","Bleckley","182","1","5"
"40-49 years","Bleckley","161","1","2"
"50-59 years","Bleckley","160","4","9"
"60-69 years","Bleckley","115","9","15"
"70-79 years","Bleckley","79","8","14"
"80 & Older years","Bleckley","64","18","14"
"<1 years","Bleckley","9","0","0"
"Unknown years","Bleckley","1","0","0"
"01-04 years","Brantley","38","0","0"
"05-09 years","Brantley","70","0","0"
"10-17 years","Brantley","224","0","1"
"18-29 years","Brantley","399","0","5"
"30-39 years","Brantley","312","3","8"
"40-49 years","Brantley","287","5","20"
"50-59 years","Brantley","319","17","34"
"60-69 years","Brantley","225","15","38"
"70-79 years","Brantley","148","25","45"
"80 & Older years","Brantley","63","13","18"
"<1 years","Brantley","5","0","0"
"Unknown years","Brantley","2","0","0"
"01-04 years","Brooks","41","0","1"
"05-09 years","Brooks","56","0","0"
"10-17 years","Brooks","139","0","0"
"18-29 years","Brooks","294","0","4"
"30-39 years","Brooks","231","1","10"
"40-49 years","Brooks","218","2","15"
"50-59 years","Brooks","248","6","31"
"60-69 years","Brooks","149","12","28"
"70-79 years","Brooks","127","17","26"
"80 & Older years","Brooks","79","19","22"
"<1 years","Brooks","15","0","0"
"01-04 years","Bryan","151","0","0"
"05-09 years","Bryan","258","0","2"
"10-17 years","Bryan","681","0","4"
"18-29 years","Bryan","1091","1","20"
"30-39 years","Bryan","972","4","29"
"40-49 years","Bryan","941","5","51"
"50-59 years","Bryan","652","8","54"
"60-69 years","Bryan","409","18","61"
"70-79 years","Bryan","246","19","89"
"80 & Older years","Bryan","91","10","32"
"<1 years","Bryan","58","0","4"
"Unknown years","Bryan","14","0","0"
"01-04 years","Bulloch","203","0","1"
"05-09 years","Bulloch","362","0","1"
"10-17 years","Bulloch","979","0","3"
"18-29 years","Bulloch","3475","1","16"
"30-39 years","Bulloch","1296","5","31"
"40-49 years","Bulloch","1002","7","37"
"50-59 years","Bulloch","885","18","62"
"60-69 years","Bulloch","591","24","71"
"70-79 years","Bulloch","292","26","61"
"80 & Older years","Bulloch","140","19","43"
"<1 years","Bulloch","78","0","4"
"Unknown years","Bulloch","3","0","0"
"01-04 years","Burke","40","0","0"
"05-09 years","Burke","88","0","0"
"10-17 years","Burke","223","0","1"
"18-29 years","Burke","529","2","14"
"30-39 years","Burke","423","1","18"
"40-49 years","Burke","419","4","24"
"50-59 years","Burke","374","6","38"
"60-69 years","Burke","292","8","49"
"70-79 years","Burke","149","16","43"
"80 & Older years","Burke","51","12","19"
"<1 years","Burke","18","0","0"
"Unknown years","Burke","2","0","0"
"01-04 years","Butts","70","0","3"
"05-09 years","Butts","105","0","0"
"10-17 years","Butts","315","0","5"
"18-29 years","Butts","801","0","10"
"30-39 years","Butts","728","1","11"
"40-49 years","Butts","651","5","26"
"50-59 years","Butts","659","17","51"
"60-69 years","Butts","436","19","52"
"70-79 years","Butts","291","34","52"
"80 & Older years","Butts","172","39","17"
"<1 years","Butts","33","0","3"
"01-04 years","Calhoun","20","0","0"
"05-09 years","Calhoun","17","0","0"
"10-17 years","Calhoun","69","0","1"
"18-29 years","Calhoun","110","0","7"
"30-39 years","Calhoun","91","3","7"
"40-49 years","Calhoun","108","1","11"
"50-59 years","Calhoun","106","4","21"
"60-69 years","Calhoun","98","4","26"
"70-79 years","Calhoun","35","7","12"
"80 & Older years","Calhoun","24","2","10"
"<1 years","Calhoun","6","0","0"
"Unknown years","Calhoun","2","0","0"
"01-04 years","Camden","174","0","0"
"05-09 years","Camden","291","0","2"
"10-17 years","Camden","727","0","1"
"18-29 years","Camden","1598","0","11"
"30-39 years","Camden","1289","3","26"
"40-49 years","Camden","899","10","30"
"50-59 years","Camden","955","13","38"
"60-69 years","Camden","645","23","52"
"70-79 years","Camden","360","13","35"
"80 & Older years","Camden","142","22","29"
"<1 years","Camden","34","0","2"
"Unknown years","Camden","31","0","0"
"01-04 years","Candler","19","0","0"
"05-09 years","Candler","43","0","0"
"10-17 years","Candler","115","0","0"
"18-29 years","Candler","210","0","1"
"30-39 years","Candler","171","0","6"
"40-49 years","Candler","177","5","4"
"50-59 years","Candler","193","13","20"
"60-69 years","Candler","136","10","20"
"70-79 years","Candler","97","15","23"
"80 & Older years","Candler","35","8","15"
"<1 years","Candler","9","0","0"
"01-04 years","Carroll","234","0","3"
"05-09 years","Carroll","368","0","3"
"10-17 years","Carroll","1291","0","7"
"18-29 years","Carroll","3005","1","21"
"30-39 years","Carroll","2075","4","28"
"40-49 years","Carroll","1880","10","48"
"50-59 years","Carroll","1787","17","67"
"60-69 years","Carroll","1207","33","102"
"70-79 years","Carroll","665","40","79"
"80 & Older years","Carroll","357","58","56"
"<1 years","Carroll","85","0","2"
"Unknown years","Carroll","16","0","1"
"01-04 years","Catoosa","216","0","1"
"05-09 years","Catoosa","365","0","2"
"10-17 years","Catoosa","1045","0","2"
"18-29 years","Catoosa","1969","1","14"
"30-39 years","Catoosa","1596","2","15"
"40-49 years","Catoosa","1624","3","36"
"50-59 years","Catoosa","1458","12","59"
"60-69 years","Catoosa","991","15","79"
"70-79 years","Catoosa","577","26","80"
"80 & Older years","Catoosa","378","44","62"
"<1 years","Catoosa","76","0","1"
"Unknown years","Catoosa","43","0","2"
