Ethnicity,race,Confirmed_Cases,Deaths
Hispanic/Latino,African-American/Black,360,9
Hispanic/Latino,American Indian/Alaska Native,22,0
Hispanic/Latino,Asian,35,0
Hispanic/Latino,Native Hawaiian/Pacific Islander,24,0
Hispanic/Latino,Other,6311,71
Hispanic/Latino,Unknown,2929,3
Hispanic/Latino,White,8580,88
Non-Hispanic/Latino,African-American/Black,28914,1428
Non-Hispanic/Latino,American Indian/Alaska Native,55,4
Non-Hispanic/Latino,Asian,1237,49
Non-Hispanic/Latino,Native Hawaiian/Pacific Islander,71,6
Non-Hispanic/Latino,Other,1297,9
Non-Hispanic/Latino,Unknown,982,3
Non-Hispanic/Latino,White,25687,1394
Unknown,African-American/Black,4575,8
Unknown,American Indian/Alaska Native,11,0
Unknown,Asian,411,0
Unknown,Native Hawaiian/Pacific Islander,52,0
Unknown,Other,2360,3
Unknown,Unknown,39655,9
Unknown,White,4266,7
