"county_name","cases","county_id","State FIPS code","County FIPS code","population","confirmed_case_hospitalization","deaths","case rate","death rate","14 day case rate","14 day cases","antigen_cases","probable_deaths","antigen_case_hospitalization"
"Appling","2813","US-13001","13","1","18561","244","98","15155.43","527.99","32.33","6","736","10","17"
"Atkinson","1198","US-13003","13","3","8330","183","32","14381.75","384.15","48.02","4","401","5","18"
"Bacon","1982","US-13005","13","5","11404","166","52","17379.87","455.98","157.84","18","694","12","13"
"Baker","247","US-13007","13","7","3116","44","13","7926.83","417.2","128.37","4","131","1","3"
"Baldwin","5332","US-13009","13","9","44428","399","172","12001.44","387.14","47.27","21","1502","27","17"
"Banks","2509","US-13011","13","11","19982","292","64","12556.3","320.29","140.13","28","347","5","4"
"Barrow","13577","US-13013","13","13","86383","893","196","15717.21","226.9","235","203","1783","7","5"
"Bartow","15961","US-13015","13","15","110771","1065","323","14409.01","291.59","189.58","210","5371","47","79"
"Ben Hill","1875","US-13017","13","17","16645","181","72","11264.64","432.56","30.04","5","1375","38","61"
"Berrien","1558","US-13019","13","19","19276","96","51","8082.59","264.58","10.38","2","1970","21","34"
"Bibb","20601","US-13021","13","21","152150","2420","592","13539.93","389.09","101.87","155","5709","71","68"
"Bleckley","1110","US-13023","13","23","12838","64","40","8646.21","311.58","31.16","4","1234","44","64"
"Brantley","1910","US-13025","13","25","19202","165","76","9946.88","395.79","62.49","12","1244","13","31"
"Brooks","1412","US-13027","13","27","15727","136","54","8978.19","343.36","69.94","11","1040","19","25"
"Bryan","4706","US-13029","13","29","39137","335","65","12024.43","166.08","94.54","37","1706","11","16"
"Bulloch","8032","US-13031","13","31","79467","326","100","10107.34","125.84","45.3","36","3290","123","195"
"Burke","2331","US-13033","13","33","22342","199","48","10433.26","214.84","71.61","16","1469","38","29"
"Butts","3469","US-13035","13","35","25174","208","114","13780.09","452.85","131.09","33","1375","10","15"
"Calhoun","618","US-13037","13","37","6317","91","21","9783.12","332.44","63.32","4","231","1","3"
"Camden","6150","US-13039","13","39","53924","225","80","11404.94","148.36","92.72","50","1998","17","35"
"Candler","1117","US-13043","13","43","10837","88","50","10307.28","461.38","55.37","6","452","40","37"
"Carroll","10380","US-13045","13","45","120119","393","162","8641.43","134.87","124.04","149","6603","198","290"
"Catoosa","8785","US-13047","13","47","68771","331","98","12774.28","142.5","226.84","156","1284","25","32"
"Charlton","1754","US-13049","13","49","13251","112","43","13236.74","324.5","37.73","5","531","14","18"
"Chatham","33865","US-13051","13","51","292176","2708","678","11590.62","232.05","94.81","277","5746","53","56"
"Chattahoochee","5467","US-13053","13","53","10749","42","16","50860.55","148.85","781.47","84","765","5","4"
"Chattooga","3791","US-13055","13","55","24766","263","91","15307.28","367.44","165.55","41","982","17","20"
"Cherokee","32647","US-13057","13","57","266617","2078","461","12244.91","172.91","183.03","488","12801","29","46"
"Clarke","17945","US-13059","13","59","129779","821","180","13827.35","138.7","172.6","224","2730","8","5"
"Clay","236","US-13061","13","61","2855","14","4","8266.2","140.11","70.05","2","80","0","4"
"Clayton","37001","US-13063","13","63","304838","2374","737","12137.92","241.77","334.93","1021","4558","45","18"
"Clinch","1016","US-13065","13","65","6656","87","34","15264.42","510.82","75.12","5","489","2","10"
"Cobb","89552","US-13067","13","67","790588","4342","1335","11327.27","168.86","279.67","2211","25832","115","247"
