county_resident,Positive,DEATHS,HOSPITALIZATION,case_rate
Appling,220,13,38,1185.28
Atkinson,97,2,15,1164.47
Bacon,204,4,17,1788.85
Baker,36,3,12,1155.33
Baldwin,450,33,75,1012.87
Banks,114,0,20,570.51
Barrow,423,25,99,489.68
Bartow,604,39,150,545.27
Ben Hill,125,1,11,750.98
Berrien,95,0,4,492.84
Bibb,609,37,161,400.26
Bleckley,54,1,5,420.63
Brantley,76,2,6,395.79
Brooks,119,11,11,756.66
Bryan,101,5,20,258.07
Bulloch,164,3,17,206.37
Burke,135,6,31,604.24
Butts,247,32,29,981.17
Calhoun,159,6,31,2517.02
Camden,99,1,9,183.59
Candler,21,0,4,193.78
Carroll,635,39,111,528.64
Catoosa,276,6,23,401.33
Charlton,41,2,6,309.41
Chatham,807,33,155,276.2
Chattahoochee,317,1,8,2949.11
Chattooga,49,2,3,197.85
Cherokee,1114,39,172,417.83
Clarke,391,15,55,301.28
Clay,56,2,5,1961.47
Clayton,1631,76,211,535.04
Clinch,86,2,10,1292.07
Cobb,3969,229,806,502.03
Coffee,418,15,86,971.14
Colquitt,748,17,65,1647.83
Columbia,345,8,40,217.49
Cook,97,1,10,556.29
Coweta,554,14,54,364.47
Crawford,36,0,4,294.41
Crisp,258,11,42,1157.52
Dade,60,1,3,371.24
Dawson,124,3,20,458.9
DeKalb,4791,165,804,604.04
Decatur,244,8,27,926.98
Dodge,67,2,8,328.67
Dooly,194,12,41,1447.76
Dougherty,1854,152,454,2062.18
Douglas,740,36,166,487.14
Early,255,31,24,2513.31
Echols,177,0,6,4459.56
Effingham,101,1,14,157.75
Elbert,92,0,8,485.62
Emanuel,66,2,8,291.21
Evans,17,0,0,159.07
Fannin,79,1,6,300.15
Fayette,292,16,43,248.42
Floyd,426,15,49,426.36
Forsyth,660,14,81,261.38
Franklin,158,1,14,677.27
Fulton,5705,304,992,519.02
Gilmer,178,2,22,566.57
Glascock,3,0,0,99.17
Glynn,308,3,22,357.94
Gordon,298,18,39,513.36
Grady,164,4,32,668.3
Greene,89,9,19,475.5
Gwinnett,6407,162,862,659.74
Habersham,639,34,89,1395.2
Hall,2946,58,412,1427.68
Hancock,208,32,37,2538.75
Haralson,65,4,16,211.57
Harris,252,8,30,725.97
Hart,50,0,4,191.52
Heard,46,3,7,371.87
Henry,964,31,103,401.89
Houston,513,20,119,326.67
Irwin,46,1,8,487.65
Jackson,305,7,42,408.3
Jasper,63,1,7,443.69
Jeff Davis,75,2,5,495.11
Jefferson,70,1,10,457.13
Jenkins,75,9,19,874.53
Johnson,80,2,14,828.07
Jones,51,0,4,178.38
Lamar,91,6,12,470.36
Lanier,116,2,9,1120.66
Laurens,133,1,17,281.21
Lee,381,22,66,1271.23
Liberty,102,1,16,164.77
Lincoln,24,1,7,295.38
Long,32,1,2,160.68
Lowndes,939,4,73,796.59
Lumpkin,120,3,28,355.01
Macon,112,9,36,862.33
Madison,78,4,14,258.47
Marion,75,3,12,904.38
McDuffie,78,5,20,361.16
McIntosh,25,1,2,171.62
Meriwether,154,2,21,732.64
Miller,45,0,3,780.71
Mitchell,436,38,95,1976.79
Monroe,137,15,26,494.1
Montgomery,27,0,3,292.71
Morgan,45,0,5,235.13
Murray,168,1,16,417.28
Muscogee,1213,34,193,633
Newton,493,11,79,438.79
Non-Georgia Resident,3223,41,174,0
Oconee,134,10,23,321.06
Oglethorpe,81,7,16,531.5
Paulding,470,13,87,272.4
Peach,93,9,25,339.73
Pickens,80,5,16,238.59
Pierce,140,4,24,716.3
Pike,81,3,10,429.48
Polk,184,1,15,423.16
Pulaski,46,2,7,422.29
Putnam,120,11,18,548.32
Quitman,15,1,5,653.88
Rabun,35,4,15,206.05
Randolph,195,23,36,2887.18
Richmond,755,42,193,373.32
Rockdale,379,9,84,399.12
Schley,22,1,7,417.06
Screven,79,4,20,568.35
Seminole,48,2,8,589.68
Spalding,343,31,59,496.31
Stephens,165,5,33,626.71
Stewart,84,1,15,1370.53
Sumter,536,49,144,1823.19
Talbot,62,2,14,1006.82
Taliaferro,2,0,0,122.55
Tattnall,88,0,6,346.31
Taylor,26,2,10,326.72
Telfair,64,2,10,409.1
Terrell,218,27,52,2574.7
Thomas,372,33,66,837.25
Tift,549,25,83,1344.6
Toombs,163,5,14,604.08
Towns,36,1,10,299.15
Treutlen,19,1,3,278.23
Troup,1027,28,113,1458.52
Turner,170,16,34,2105
Twiggs,23,1,7,284.44
Union,56,3,16,221.04
Unknown,1792,1,28,0
Upson,323,43,43,1229.21
Walker,287,5,14,412.3
Walton,346,25,55,361.12
Ware,331,15,60,923.21
Warren,19,0,9,364.68
Washington,81,1,10,398.98
Wayne,48,0,6,160.14
Webster,17,1,5,666.67
Wheeler,38,0,2,480.47
White,129,4,26,406.2
Whitfield,800,10,45,764.29
Wilcox,122,15,20,1387.94
Wilkes,49,1,8,489.31
Wilkinson,74,7,23,829.69
Worth,288,21,51,1429.85
