"Ethnicity","race","cases","Deaths"
"Hispanic/Latino","African-American/Black","2997","23"
"Hispanic/Latino","American Indian/Alaska Native","148","0"
"Hispanic/Latino","Asian","312","2"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","201","2"
"Hispanic/Latino","Other","33321","329"
"Hispanic/Latino","Unknown","14458","8"
"Hispanic/Latino","White","44002","606"
"Non-Hispanic/Latino","African-American/Black","217815","6139"
"Non-Hispanic/Latino","American Indian/Alaska Native","383","13"
"Non-Hispanic/Latino","Asian","16505","356"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","667","10"
"Non-Hispanic/Latino","Other","11419","51"
"Non-Hispanic/Latino","Unknown","7119","12"
"Non-Hispanic/Latino","White","318679","10162"
"Unknown","African-American/Black","24501","16"
"Unknown","American Indian/Alaska Native","153","0"
"Unknown","Asian","3720","1"
"Unknown","Native Hawaiian/Pacific Islander","174","0"
"Unknown","Other","26342","8"
"Unknown","Unknown","128892","28"
"Unknown","White","37609","19"
