"county_name","cases","county_id","State FIPS code","County FIPS code","population","hospitalization","deaths","case rate","death rate","14 day case rate","14 day cases","antigen_cases","probable_deaths"
"Appling","1897","US-13001","13","1","18561","170","65","10220.35","350.2","86.2","16","382","5"
"Atkinson","778","US-13003","13","3","8330","115","18","9339.74","216.09","60.02","5","238","1"
"Bacon","1274","US-13005","13","5","11404","86","28","11171.52","245.53","87.69","10","351","8"
"Baker","161","US-13007","13","7","3116","33","9","5166.88","288.83","0","0","66","0"
"Baldwin","3810","US-13009","13","9","44428","316","111","8575.67","249.84","45.02","20","632","15"
"Banks","1615","US-13011","13","11","19982","185","33","8082.27","165.15","75.07","15","171","2"
"Barrow","8574","US-13013","13","13","86383","592","130","9925.56","150.49","158.6","137","1121","1"
"Bartow","11070","US-13015","13","15","110771","815","207","9993.59","186.87","132.71","147","3262","16"
"Ben Hill","1482","US-13017","13","17","16645","151","60","8903.57","360.47","0","0","583","18"
"Berrien","1054","US-13019","13","19","19276","71","31","5467.94","160.82","41.5","8","762","12"
"Bibb","13220","US-13021","13","21","152150","1752","401","8688.79","263.56","70.98","108","2338","36"
"Bleckley","796","US-13023","13","23","12838","47","34","6200.34","264.84","7.79","1","638","17"
"Brantley","921","US-13025","13","25","19202","73","32","4796.38","166.65","78.12","15","676","5"
"Brooks","934","US-13027","13","27","15727","86","36","5938.83","228.91","19.08","3","443","11"
"Bryan","2683","US-13029","13","29","39137","172","34","6855.41","86.87","114.98","45","872","3"
"Bulloch","5216","US-13031","13","31","79467","213","63","6563.73","79.28","75.5","60","1493","48"
"Burke","1756","US-13033","13","33","22342","148","36","7859.64","161.13","111.9","25","774","24"
"Butts","2238","US-13035","13","35","25174","123","73","8890.12","289.98","397.24","100","777","6"
"Calhoun","442","US-13037","13","37","6317","73","15","6996.99","237.45","15.83","1","134","0"
"Camden","3185","US-13039","13","39","53924","131","27","5906.46","50.07","64.91","35","711","6"
"Candler","738","US-13043","13","43","10837","61","36","6810","332.2","27.68","3","189","29"
"Carroll","7347","US-13045","13","45","120119","307","131","6116.43","109.06","55.78","67","3837","104"
"Catoosa","5538","US-13047","13","47","68771","247","63","8052.81","91.61","181.76","125","586","5"
"Charlton","1049","US-13049","13","49","13251","62","24","7916.38","181.12","45.28","6","296","8"
"Chatham","19916","US-13051","13","51","292176","1599","407","6816.44","139.3","107.47","314","2811","25"
"Chattahoochee","3212","US-13053","13","53","10749","27","13","29881.85","120.94","2028.1","218","597","2"
"Chattooga","2213","US-13055","13","55","24766","173","60","8935.64","242.27","117.1","29","545","8"
"Cherokee","22071","US-13057","13","57","266617","1249","298","8278.17","111.77","140.65","375","8253","14"
"Clarke","12636","US-13059","13","59","129779","487","133","9736.55","102.48","114.81","149","2206","7"
"Clay","183","US-13061","13","61","2855","10","3","6409.81","105.08","70.05","2","54","0"
"Clayton","23126","US-13063","13","63","304838","1324","434","7586.32","142.37","185.02","564","2566","19"
"Clinch","729","US-13065","13","65","6656","66","25","10952.52","375.6","75.12","5","226","1"
"Cobb","59671","US-13067","13","67","790588","3076","942","7547.67","119.15","132.81","1050","16716","78"
"Coffee","4225","US-13069","13","69","43042","645","136","9815.99","315.97","46.47","20","1051","33"
"Colquitt","3489","US-13071","13","71","45393","245","75","7686.21","165.22","41.86","19","1132","39"
"Columbia","10929","US-13073","13","73","158631","463","157","6889.57","98.97","79.43","126","5628","40"
"Cook","1160","US-13075","13","75","17437","106","37","6652.52","212.19","34.41","6","647","4"
"Coweta","8553","US-13077","13","77","152001","336","202","5626.94","132.89","67.1","102","5261","12"
"Crawford","520","US-13079","13","79","12228","69","17","4252.54","139.03","0","0","135","2"
"Crisp","1418","US-13081","13","81","22289","160","54","6361.88","242.27","62.81","14","626","23"
"Dade","1193","US-13083","13","83","16162","62","11","7381.51","68.06","105.19","17","193","1"
"Dawson","2680","US-13085","13","85","27021","244","41","9918.21","151.73","133.23","36","297","1"
"DeKalb","56803","US-13089","13","89","793154","4483","903","7161.66","113.85","153.19","1215","7027","67"
"Decatur","2128","US-13087","13","87","26322","143","54","8084.49","205.15","60.79","16","762","13"
"Dodge","1080","US-13091","13","91","20385","105","55","5298.01","269.81","29.43","6","1007","46"
"Dooly","784","US-13093","13","93","13400","90","32","5850.75","238.81","14.93","2","275","12"
"Dougherty","5455","US-13095","13","95","89905","1009","276","6067.52","306.99","57.84","52","1906","20"
"Douglas","11749","US-13097","13","97","151906","834","171","7734.39","112.57","158.65","241","3030","38"
"Early","1008","US-13099","13","99","10146","73","43","9934.95","423.81","49.28","5","155","5"
"Echols","358","US-13101","13","101","3969","13","4","9019.9","100.78","50.39","2","107","5"
"Effingham","3747","US-13103","13","103","64026","243","64","5852.31","99.96","92.15","59","750","3"
"Elbert","1521","US-13105","13","105","18945","128","57","8028.5","300.87","31.67","6","750","14"
"Emanuel","1728","US-13107","13","107","22664","124","53","7624.43","233.85","57.36","13","800","28"
"Evans","755","US-13109","13","109","10687","72","17","7064.66","159.07","46.79","5","195","12"
"Fannin","2104","US-13111","13","111","26320","174","58","7993.92","220.36","140.58","37","242","10"
"Fayette","6547","US-13113","13","113","117544","253","151","5569.83","128.46","83.37","98","2180","15"
"Floyd","9909","US-13115","13","115","99916","871","180","9917.33","180.15","83.07","83","1910","37"
"Forsyth","17663","US-13117","13","117","252507","942","173","6995.05","68.51","156.83","396","4210","7"
"Franklin","2317","US-13119","13","119","23329","151","42","9931.84","180.03","51.44","12","297","7"
"Fulton","80503","US-13121","13","121","1099181","4725","1252","7323.91","113.9","141.65","1557","14072","87"
"Gilmer","2461","US-13123","13","123","31417","207","70","7833.34","222.81","95.49","30","439","12"
"Glascock","144","US-13125","13","125","3025","19","7","4760.33","231.4","33.06","1","119","12"
"Glynn","6595","US-13127","13","127","86047","440","152","7664.42","176.65","151.08","130","1388","19"
"Gordon","6440","US-13129","13","129","58049","325","101","11094.08","173.99","89.58","52","1593","10"
"Grady","1521","US-13131","13","131","24540","173","46","6198.04","187.45","57.05","14","570","13"
"Greene","1492","US-13133","13","133","18717","136","56","7971.36","299.19","96.17","18","307","7"
"Gwinnett","85282","US-13135","13","135","971145","5346","1048","8781.59","107.91","142.2","1381","14001","69"
"Habersham","4621","US-13137","13","137","45800","470","149","10089.52","325.33","43.67","20","395","8"
"Hall","24772","US-13139","13","139","206349","2339","430","12004.9","208.38","107.58","222","1986","24"
"Hancock","830","US-13141","13","141","8193","104","62","10130.6","756.74","24.41","2","75","2"
"Haralson","1703","US-13143","13","143","30722","74","34","5543.26","110.67","61.84","19","890","47"
"Harris","2136","US-13145","13","145","34712","155","56","6153.49","161.33","63.38","22","366","1"
